proxy,beta,beta_se,p_value,ci_lower,ci_upper,r_squared_marginal,r_squared_conditional,n_observations,n_shocks,model_type
A_t,-0.01581585271498603,0.0067838432847270895,0.019732273801346487,-0.029112185553051124,-0.0025195198769209348,0.0,0.0,701,45,robust
A_t_unique,-0.00459099989560849,0.008393847698126183,0.5844143196265246,-0.02104294138393581,0.011860941592718827,0.0,0.0,701,45,robust
A_t_rate,-0.07477077471109823,0.0114760599613196,7.251078624011871e-11,-0.09726385223528465,-0.05227769718691182,0.0,0.0,701,45,robust
