frequency,total_edges,median_jaccard,median_precision,median_recall,median_mutual_info,consistent_overlap
1S,48,0.23251421236016864,0.23251421236016864,1.0,0.0,38
2S,48,0.23251421236016864,0.23251421236016864,1.0,0.0,38
5S,48,0.23251421236016864,0.23251421236016864,1.0,0.0,38
10S,48,0.3076716180695641,0.3076716180695641,1.0,0.0,47
15S,48,0.41673133010462093,0.41673133010462093,1.0,0.0,48
30S,48,0.43283208020050123,0.43283208020050123,1.0,0.0,48
