frequency,total_tests,median_mde_05,median_mde_10,median_observed_beta,exceeds_mde_05_rate,exceeds_mde_10_rate,power_sufficient
1S,252,0.0282915669575702,0.02510945215945385,0.0089661276495333,0.06746031746031746,0.0873015873015873,False
2S,252,0.0282915669575702,0.02510945215945385,0.0089661276495333,0.06746031746031746,0.0873015873015873,False
5S,252,0.0282915669575702,0.02510945215945385,0.0089661276495333,0.06746031746031746,0.0873015873015873,False
10S,252,0.0363188888998693,0.0322338951632995,0.00851336572608135,0.015873015873015872,0.027777777777777776,False
15S,252,0.043296216051578795,0.0384264423127543,0.0108505194922602,0.015873015873015872,0.015873015873015872,False
30S,252,0.05754438488814175,0.0510720378818526,0.013808978769278099,0.003968253968253968,0.007936507936507936,False
