venue,lrs,n_obs,frequency
BINANCE,0.9759043701238503,16705,5s
COINBASE,0.9662912721235294,16705,5s
BYBITSPOT,0.9811713725308786,16705,5s
BITGET,0.9733555297592171,16705,5s
