edge,lag,coef,se,p_value,r_squared,n_obs,pass,fdr_corrected,fdr_rejected
BINANCE_to_COINBASE,1,-0.01011542299777783,0.007639534679128911,0.18549106190379705,0.00010158389593162287,17259,False,0.7056133982419939,False
BINANCE_to_COINBASE,2,-0.0025232355518965,0.007639951692876779,0.7412010851105877,6.321082926308286e-06,17258,False,0.8807749515831441,False
BINANCE_to_COINBASE,3,-0.010792201048185505,0.007639655596123528,0.1577750951050203,0.00011563979286277615,17257,False,0.7056133982419939,False
BINANCE_to_BYBITSPOT,1,0.011332044460556301,0.0076724061137548715,0.13969735692786034,0.00012639595582764063,17259,False,0.7056133982419939,False
BINANCE_to_BYBITSPOT,2,-0.005731306576969374,0.007673245200523939,0.4551215357551519,3.2329199770808614e-05,17258,False,0.744744331235703,False
BINANCE_to_BYBITSPOT,3,0.006145475347731932,0.007673478801004075,0.42321670041135273,3.7170230962280115e-05,17257,False,0.744744331235703,False
BINANCE_to_BITGET,1,-0.008333852968915903,0.00751943099525153,0.2677438405432069,7.117467631434504e-05,17259,False,0.7056133982419939,False
BINANCE_to_BITGET,2,-0.003795135227076571,0.007520109961431634,0.6138006915807881,1.4759090179006229e-05,17258,False,0.8184009221077174,False
BINANCE_to_BITGET,3,-0.007687708598156198,0.00751958457411208,0.30662575172524575,6.0571016148536216e-05,17257,False,0.7056133982419939,False
COINBASE_to_BINANCE,1,-0.0012602213471333105,0.007584126647698879,0.8680285362209701,1.5999872303718021e-06,17259,False,0.8983171826277623,False
COINBASE_to_BINANCE,2,0.0026741358309701787,0.007584274363312397,0.7244004845515901,7.204363126622759e-06,17258,False,0.8807749515831441,False
COINBASE_to_BINANCE,3,-0.019070247407984662,0.007583368285795436,0.01192082289780827,0.0003663652346891366,17257,False,0.4291496243210977,False
COINBASE_to_BYBITSPOT,1,0.005145452182940634,0.007644799131975114,0.5009144983828888,2.6250539656103022e-05,17259,False,0.7840400844253913,False
COINBASE_to_BYBITSPOT,2,-0.00831302045428926,0.007644989138814995,0.27688339116774086,6.851632540638697e-05,17258,False,0.7056133982419939,False
COINBASE_to_BYBITSPOT,3,-0.008224155220120396,0.0076454170058112775,0.2820776494944026,6.705577000964968e-05,17257,False,0.7056133982419939,False
COINBASE_to_BITGET,1,-0.0011474971690516437,0.007492260810884507,0.8782757331041458,1.359288310243123e-06,17259,False,0.8983171826277623,False
COINBASE_to_BITGET,2,0.007250422481591893,0.007492405375599205,0.3332063269476082,5.4265073290760135e-05,17258,False,0.7056133982419939,False
COINBASE_to_BITGET,3,0.013102625935252146,0.007491760441467115,0.08031948442840453,0.0001772380558769937,17257,False,0.7056133982419939,False
BYBITSPOT_to_BINANCE,1,-0.0018249530094345782,0.007552078966798434,0.8090549520269164,3.383791219224719e-06,17259,False,0.8826054022111816,False
BYBITSPOT_to_BINANCE,2,-0.004143087553692644,0.007552232822112941,0.5832932066154268,1.7440132327739555e-05,17258,False,0.8078000965306669,False
BYBITSPOT_to_BINANCE,3,-0.004585012374944687,0.007553255872809785,0.5438425518901886,2.135445010353898e-05,17257,False,0.8078000965306669,False
BYBITSPOT_to_COINBASE,1,0.007534437076370815,0.007579675526360621,0.3202214153652849,5.725457907046483e-05,17259,False,0.7056133982419939,False
BYBITSPOT_to_COINBASE,2,0.007693206040699415,0.007579633975062959,0.310127758772466,5.969695802066077e-05,17258,False,0.7056133982419939,False
BYBITSPOT_to_COINBASE,3,0.01428646148127237,0.0075799559082040885,0.059477902226961143,0.00020583139911944937,17257,False,0.7056133982419939,False
BYBITSPOT_to_BITGET,1,-0.0024932898155576554,0.007460588903162344,0.7382366490313959,6.471891031645249e-06,17259,False,0.8807749515831441,False
BYBITSPOT_to_BITGET,2,-0.0040917160297616,0.007460927558790883,0.5834111808277038,1.7429206800367858e-05,17258,False,0.8078000965306669,False
BYBITSPOT_to_BITGET,3,-0.0022945799805754565,0.007461365216054417,0.7584450971965964,5.480907340871255e-06,17257,False,0.8807749515831441,False
BITGET_to_BINANCE,1,-0.010961773273259048,0.007705221943724131,0.15485800293542162,0.00011726680542245571,17259,False,0.7056133982419939,False
BITGET_to_BINANCE,2,-0.00776713835747929,0.00770584034532617,0.3134903205256798,5.887302729901123e-05,17258,False,0.7056133982419939,False
BITGET_to_BINANCE,3,-0.005972078591307459,0.007706155045921146,0.43836496880409137,3.480530658817038e-05,17257,False,0.744744331235703,False
BITGET_to_COINBASE,1,-0.0009883273168826868,0.0077340362510980335,0.8983171826277623,9.462883241440068e-07,17259,False,0.8983171826277623,False
BITGET_to_COINBASE,2,-0.0069292514328856865,0.007734010017756201,0.3702943721834342,4.651605183914054e-05,17258,False,0.7405887443668684,False
BITGET_to_COINBASE,3,-0.0019504025520375365,0.007734229340982123,0.8009064791536422,3.685512232176613e-06,17257,False,0.8826054022111816,False
BITGET_to_BYBITSPOT,1,0.009359818246196696,0.007767087563278289,0.22819608293308247,8.41427273867712e-05,17259,False,0.7056133982419939,False
BITGET_to_BYBITSPOT,2,-0.006538696548741882,0.0077678356185046284,0.3999308548012146,4.1060510806767425e-05,17258,False,0.744744331235703,False
BITGET_to_BYBITSPOT,3,-0.013382516626363923,0.0077675126751360676,0.08492757683211316,0.00017199743662577038,17257,False,0.7056133982419939,False
