edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.07667585436995084,285,21,0.0007667585436995084
BINANCE->BYBITSPOT,0.007741835091131227,268,2,7.741835091131228e-05
BINANCE->BITGET,0.021926150598221155,231,5,0.00021926150598221156
COINBASE->BINANCE,0.07667585436995084,285,21,0.0007667585436995084
COINBASE->BYBITSPOT,0.0073489923068102555,267,1,7.348992306810256e-05
COINBASE->BITGET,0.004968410373078392,230,1,4.9684103730783925e-05
BYBITSPOT->BINANCE,0.007741835091131228,268,2,7.741835091131228e-05
BYBITSPOT->COINBASE,0.0073489923068102555,267,1,7.348992306810256e-05
BYBITSPOT->BITGET,0.005068919394057093,224,1,5.0689193940570935e-05
BITGET->BINANCE,0.021926150598221155,231,5,0.00021926150598221156
BITGET->COINBASE,0.004968410373078393,230,1,4.968410373078393e-05
BITGET->BYBITSPOT,0.005068919394057093,224,1,5.0689193940570935e-05
