edge,lag,lag_s,coef,se,t,p_raw,n_obs_x,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs_y,p_fdr,bh_significant,placebo_robust,final_kept
BINANCE->BITGET,1,30,-0.01729758111944588,0.02359115722078604,-0.7332230868354807,0.4635116087572151,1928,-0.01729758111944588,0.02359115722078604,-0.7332230868354807,0.4635116087572151,1928,0.9531106818045705,False,True,False
BINANCE->BITGET,3,90,0.002228316165348671,0.010594270598713788,0.21033219272492462,0.8334306823418003,1926,0.002228316165348671,0.010594270598713788,0.21033219272492462,0.8334306823418003,1926,0.9531106818045705,False,True,False
BINANCE->BITGET,6,180,-0.0038695923461624674,0.008077163481242409,-0.4790781262690571,0.6319375782572902,1923,-0.0038695923461624674,0.008077163481242409,-0.4790781262690571,0.6319375782572902,1923,0.9531106818045705,False,True,False
BINANCE->BYBITSPOT,1,30,-0.010161054714547429,0.013933029941957584,-0.7292781797553365,0.46592023757783196,1927,-0.010161054714547429,0.013933029941957584,-0.7292781797553365,0.46592023757783196,1927,0.9531106818045705,False,True,False
BINANCE->BYBITSPOT,3,90,0.007169394697700646,0.013869491473021378,0.516918353614218,0.6052725993607595,1925,0.007169394697700646,0.013869491473021378,0.516918353614218,0.6052725993607595,1925,0.9531106818045705,False,True,False
BINANCE->BYBITSPOT,6,180,-0.012828669818258304,0.010178215624114004,-1.2604046025380815,0.20767659758144474,1922,-0.012828669818258304,0.010178215624114004,-1.2604046025380815,0.20767659758144474,1922,0.9531106818045705,False,True,False
BINANCE->COINBASE,1,30,-0.0017162197341546812,0.007841420168272979,-0.21886593210483035,0.8267774956254272,1943,-0.0017162197341546812,0.007841420168272979,-0.21886593210483035,0.8267774956254272,1943,0.9531106818045705,False,True,False
BINANCE->COINBASE,3,90,-0.0030214526993615574,0.009912979186703821,-0.30479764382176866,0.7605529869803784,1941,-0.0030214526993615574,0.009912979186703821,-0.30479764382176866,0.7605529869803784,1941,0.9531106818045705,False,True,False
BINANCE->COINBASE,6,180,-0.007583353760419712,0.009869030069471546,-0.7683990936330966,0.4423438361664047,1938,-0.007583353760419712,0.009869030069471546,-0.7683990936330966,0.4423438361664047,1938,0.9531106818045705,False,True,False
BITGET->BINANCE,1,30,-0.03605385746617319,0.02484521634858265,-1.4511388011410884,0.146896640284925,2020,-0.03605385746617319,0.02484521634858265,-1.4511388011410884,0.146896640284925,2020,0.9531106818045705,False,True,False
BITGET->BINANCE,3,90,0.019836885546881976,0.018846617927966876,1.0525435185612597,0.2926763935759997,2018,0.019836885546881976,0.018846617927966876,1.0525435185612597,0.2926763935759997,2018,0.9531106818045705,False,True,False
BITGET->BINANCE,6,180,0.014001500755271717,0.032779022129185,0.42714821388174956,0.669317059984154,2015,0.014001500755271717,0.032779022129185,0.42714821388174956,0.669317059984154,2015,0.9531106818045705,False,True,False
BITGET->BYBITSPOT,1,30,0.009780163721717227,0.014793955303181647,0.6610918798445921,0.5086065304506229,2868,0.009780163721717227,0.014793955303181647,0.6610918798445921,0.5086065304506229,2868,0.9531106818045705,False,True,False
BITGET->BYBITSPOT,3,90,0.006299286302827181,0.015422340841600369,0.4084520221363171,0.6829723829931531,2866,0.006299286302827181,0.015422340841600369,0.4084520221363171,0.6829723829931531,2866,0.9531106818045705,False,True,False
