full_path,venue,date,size_mb,last_modified,source_root
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250803_BTCUSDT.csv.gz,BYBITSPOT,20250803,11.01,2025-10-11 13:24:52,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250802_BTCUSDT.csv.gz,BINANCE,20250802,89.21,2025-10-11 13:23:38,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250803_BTCUSDT.csv.gz,BINANCE,20250803,64.61,2025-10-11 13:24:35,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250802_BTCUSDT.csv.gz,BYBITSPOT,20250802,15.12,2025-10-11 13:24:00,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250801_BTCUSDT.csv.gz,BINANCE,20250801,149.5,2025-10-04 14:38:52,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250801_BTCUSDT.csv.gz,BYBITSPOT,20250801,26.79,2025-10-11 13:22:50,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/COINBASE_20250802_BTCUSDT.csv.gz,COINBASE,20250802,25.14,2025-10-11 13:23:50,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250801_BTCUSDT.csv.gz,BITGET,20250801,10.97,2025-10-11 13:22:58,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/COINBASE_20250803_BTCUSDT.csv.gz,COINBASE,20250803,17.19,2025-10-11 13:24:46,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250803_BTCUSDT.csv.gz,BITGET,20250803,3.9,2025-10-11 13:24:57,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/COINBASE_20250801_BTCUSDT.csv.gz,COINBASE,20250801,44.22,2025-10-11 13:22:37,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250802_BTCUSDT.csv.gz,BITGET,20250802,4.66,2025-10-11 13:24:05,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul_aug/D-20250803/E-BYBITSPOT/BYBITSPOT_20250803_BTCUSDT.csv.gz,BYBITSPOT,20250803,11.01,2025-10-10 23:21:21,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul_aug/D-20250803/E-BITGET/BITGET_20250803_BTCUSDT.csv.gz,BITGET,20250803,3.9,2025-10-10 23:21:39,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul_aug/D-20250803/E-COINBASE/COINBASE_20250803_BTCUSDT.csv.gz,COINBASE,20250803,17.19,2025-10-10 23:20:54,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BITGET_20250730_BTCUSDT.csv.gz,BITGET,20250730,11.11,2025-10-11 21:29:05,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BITGET_20250731_BTCUSDT.csv.gz,BITGET,20250731,6.06,2025-10-11 21:30:11,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BITGET_20250729_BTCUSDT.csv.gz,BITGET,20250729,32.93,2025-10-11 21:28:07,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BITGET_20250728_BTCUSDT.csv.gz,BITGET,20250728,18.19,2025-10-11 21:26:50,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250731_BTC-USD.csv.gz,COINBASE,20250731,25.13,2025-10-11 21:29:45,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250728_BTCUSDT.csv.gz,BINANCE,20250728,67.27,2025-10-11 21:26:13,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250729_BTCUSDT.csv.gz,BYBITSPOT,20250729,19.5,2025-10-11 21:27:51,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250728_BTCUSDT.csv.gz,BYBITSPOT,20250728,18.87,2025-10-11 21:26:38,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250730_BTC-USD.csv.gz,COINBASE,20250730,27.65,2025-10-11 21:28:48,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250729_BTCUSDT.csv.gz,BINANCE,20250729,71.9,2025-10-11 21:27:26,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250730_BTCUSDT.csv.gz,BYBITSPOT,20250730,22.61,2025-10-11 21:28:58,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250728_BTC-USD.csv.gz,COINBASE,20250728,26.02,2025-10-11 21:26:26,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250731_BTCUSDT.csv.gz,BINANCE,20250731,68.59,2025-10-11 21:29:32,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250729_BTC-USD.csv.gz,COINBASE,20250729,27.03,2025-10-11 21:27:40,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250730_BTCUSDT.csv.gz,BINANCE,20250730,73.43,2025-10-11 21:28:36,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250731_BTCUSDT.csv.gz,BYBITSPOT,20250731,18.36,2025-10-11 21:30:05,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw
