edge,lag,lag_s,coef,se,t,p_raw,p_fdr,bh_significant,beta_magnitude,run_length,is_candidate,rules_passed,n_obs
BINANCE->COINBASE,1,5,0.05838824991414491,0.013973186649034422,4.17859228397122,2.9478477443722895e-05,2.9478477443722895e-05,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,16998
COINBASE->BINANCE,1,5,0.11543180472013805,0.027149821426505464,4.251659814139544,2.1332483395530843e-05,2.1332483395530843e-05,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,16998
