edge,lag,lag_s,coef,se,t,p_raw,n_obs_x,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs_y,p_fdr,bh_significant,placebo_robust,final_kept
BINANCE->BITGET,1,15,-0.0075462374331071395,0.013434217951223616,-0.5617176571428047,0.574333201796134,5078,-0.0075462374331071395,0.013434217951223616,-0.5617176571428047,0.574333201796134,5078,0.7193503978368068,False,True,False
BINANCE->BITGET,3,45,-0.0011957597109921855,0.014276037809623396,-0.08375991482637644,0.9332506235241869,5076,-0.0011957597109921855,0.014276037809623396,-0.08375991482637644,0.9332506235241869,5076,0.9332506235241869,False,True,False
BINANCE->BITGET,6,90,-0.007457648426352125,0.01477874580687965,-0.5046198455406492,0.6138477944631209,5073,-0.007457648426352125,0.01477874580687965,-0.5046198455406492,0.6138477944631209,5073,0.7193503978368068,False,True,False
BINANCE->BYBITSPOT,1,15,-0.006840257388386895,0.013370582549077241,-0.5115900794359158,0.6089582610393607,5558,-0.006840257388386895,0.013370582549077241,-0.5115900794359158,0.6089582610393607,5558,0.7193503978368068,False,True,False
BINANCE->BYBITSPOT,3,45,0.016986730655666867,0.013674874750321099,1.2421854653745916,0.21422058878703698,5556,0.016986730655666867,0.013674874750321099,1.2421854653745916,0.21422058878703698,5556,0.7193503978368068,False,True,False
BINANCE->BYBITSPOT,6,90,-0.013050317603613188,0.016243416894453723,-0.8034219455433166,0.42176529538014007,5553,-0.013050317603613188,0.016243416894453723,-0.8034219455433166,0.42176529538014007,5553,0.7193503978368068,False,True,False
BINANCE->COINBASE,1,15,0.012336874138763986,0.014732781843704473,0.8373757427240877,0.4024163933837077,5720,0.012336874138763986,0.014732781843704473,0.8373757427240877,0.4024163933837077,5720,0.7193503978368068,False,True,False
BINANCE->COINBASE,3,45,-0.0097126617927231,0.016194131304259587,-0.599764297957023,0.5486871035116971,5718,-0.0097126617927231,0.016194131304259587,-0.599764297957023,0.5486871035116971,5718,0.7193503978368068,False,True,False
BINANCE->COINBASE,6,90,0.02012891629162996,0.017379645186544595,1.1581891388216523,0.246835273456381,5715,0.02012891629162996,0.017379645186544595,1.1581891388216523,0.246835273456381,5715,0.7193503978368068,False,True,False
BITGET->BINANCE,1,15,0.016577025982326358,0.015154396314079728,1.093875707006876,0.2740567887164058,5573,0.016577025982326358,0.015154396314079728,1.093875707006876,0.2740567887164058,5573,0.7193503978368068,False,True,False
BITGET->BINANCE,3,45,-0.008161343275035229,0.015353257396089021,-0.5315707972898436,0.5950444968369979,5571,-0.008161343275035229,0.015353257396089021,-0.5315707972898436,0.5950444968369979,5571,0.7193503978368068,False,True,False
BITGET->BINANCE,6,90,0.012329005504386772,0.013361450255308136,0.9227295891393824,0.35618813782547276,5568,0.012329005504386772,0.013361450255308136,0.9227295891393824,0.35618813782547276,5568,0.7193503978368068,False,True,False
BITGET->BYBITSPOT,1,15,-0.006343275868676401,0.01439170396429134,-0.4407591960212162,0.6594045313504062,5543,-0.006343275868676401,0.01439170396429134,-0.4407591960212162,0.6594045313504062,5543,0.7193503978368068,False,True,False
BITGET->BYBITSPOT,3,45,0.02643966459270127,0.013850373581603027,1.9089495627627089,0.05632022364672351,5541,0.02643966459270127,0.013850373581603027,1.9089495627627089,0.05632022364672351,5541,0.7193503978368068,False,True,False
BITGET->BYBITSPOT,6,90,-0.018757310857861607,0.017194287407451887,-1.0909036480181387,0.27536275920012576,5538,-0.018757310857861607,0.017194287407451887,-1.0909036480181387,0.27536275920012576,5538,0.7193503978368068,False,True,False
BITGET->COINBASE,1,15,-0.005689896922333673,0.012544468519234365,-0.4535781578637138,0.6501501159105127,5582,-0.005689896922333673,0.012544468519234365,-0.4535781578637138,0.6501501159105127,5582,0.7193503978368068,False,True,False
BITGET->COINBASE,3,45,-0.007456802724030956,0.013335289511131422,-0.5591781654088955,0.5760625822725824,5580,-0.007456802724030956,0.013335289511131422,-0.5591781654088955,0.5760625822725824,5580,0.7193503978368068,False,True,False
BITGET->COINBASE,6,90,0.006346749515480736,0.012366681497440484,0.5132136310613574,0.6078222278447338,5577,0.006346749515480736,0.012366681497440484,0.5132136310613574,0.6078222278447338,5577,0.7193503978368068,False,True,False
