date,venue,key,abs_path,size_bytes,sha256,reason
20250719,BYBITSPOT,T-TRADES/D-20250719/E-BYBITSPOT/IDDI-33092978+SC-BYBITSPOT_SPOT_BTC_EUR+S-BTCEUR.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250719/E-BYBITSPOT/QUARANTINE_IDDI_cc63304a__BTCUSDT.csv.gz,60874,7636ec95a02c9036d6f5390c1445313a63dabc1dee56dc55c85b5ae836854585,Non-target BTC pair (not BTCUSDT)
20250719,BITGET,T-TRADES/D-20250719/E-BITGET/IDDI-36881220+SC-BITGET_SPOT_SOL_BTC+S-SOLBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250719/E-BITGET/QUARANTINE_IDDI_436209e0__BTCUSDT.csv.gz,295898,bc23687aa303a0acd051460a7a7de5deee34a48d1c6b7c17c70af8a709ed4089,Non-target BTC pair (not BTCUSDT)
20250719,BITGET,T-TRADES/D-20250719/E-BITGET/IDDI-36881221+SC-BITGET_SPOT_AVAX_BTC+S-AVAXBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250719/E-BITGET/QUARANTINE_IDDI_ef0710bc__BTCUSDT.csv.gz,260262,380298f84f8552be510e70a50fc00385e437fcd735bc232f59fbc9d2d9599fc6,Non-target BTC pair (not BTCUSDT)
20250720,COINBASE,T-TRADES/D-20250720/E-COINBASE/IDDI-138306+SC-COINBASE_SPOT_BCH_BTC+S-BCH__002DBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-COINBASE/QUARANTINE_IDDI_b3321fa0__BTC_USD.csv.gz,103140,1dad18182ec853bd5ebab8c0b3fa83ed189c135de78daa55ff6f9be8527179b3,Non-target BTC pair (not BTC-USD)
20250720,COINBASE,T-TRADES/D-20250720/E-COINBASE/IDDI-27577+SC-COINBASE_SPOT_BTC_EUR+S-BTC__002DEUR.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-COINBASE/QUARANTINE_IDDI_3ce0d4f9__BTC_USD.csv.gz,1747162,f1587b62a74f5497fa3b048501a67b5521e898c8ce90e0409350eee77ad23e8b,Non-target BTC pair (not BTC-USD)
20250720,BINANCE,T-TRADES/D-20250720/E-BINANCE/IDDI-13110746+SC-BINANCE_SPOT_ARKM_BTC+S-ARKMBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-BINANCE/QUARANTINE_IDDI_843da87e__BTCUSDT.csv.gz,6051,76e863d1b1dd540c839419b94d73d7ebd5a7c045d559d1c02f1930c1f46ea5f1,Non-target BTC pair (not BTCUSDT)
20250720,BINANCE,T-TRADES/D-20250720/E-BINANCE/IDDI-137772+SC-BINANCE_SPOT_ICX_BTC+S-ICXBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-BINANCE/QUARANTINE_IDDI_80a7f39b__BTCUSDT.csv.gz,4591,9b193cd93e3a6cdb0017212407f931c5b96b5a6ead62f10b28b72aa68f3c59fd,Non-target BTC pair (not BTCUSDT)
20250720,BYBITSPOT,T-TRADES/D-20250720/E-BYBITSPOT/IDDI-12529783+SC-BYBITSPOT_SPOT_MNT_BTC+S-MNTBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-BYBITSPOT/QUARANTINE_IDDI_3367305b__BTCUSDT.csv.gz,8634,92157913b54854bfcda8370dfbb09b2b81d11b0a9e37eb49d95d5009dfab297c,Non-target BTC pair (not BTCUSDT)
20250720,BYBITSPOT,T-TRADES/D-20250720/E-BYBITSPOT/IDDI-33092978+SC-BYBITSPOT_SPOT_BTC_EUR+S-BTCEUR.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-BYBITSPOT/QUARANTINE_IDDI_ae1ff877__BTCUSDT.csv.gz,86718,abe8471a9add94145e2cdbb75281dd341cd1d2d3e8040b22a2ddd2342b812adb,Non-target BTC pair (not BTCUSDT)
20250720,BITGET,T-TRADES/D-20250720/E-BITGET/IDDI-36881220+SC-BITGET_SPOT_SOL_BTC+S-SOLBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-BITGET/QUARANTINE_IDDI_4d5bbeea__BTCUSDT.csv.gz,307541,40b77613ab5442d53ce99cfff420e6f721780086dfe593980a5cf6719fb3d2af,Non-target BTC pair (not BTCUSDT)
20250720,BITGET,T-TRADES/D-20250720/E-BITGET/IDDI-36881221+SC-BITGET_SPOT_AVAX_BTC+S-AVAXBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250720/E-BITGET/QUARANTINE_IDDI_d356b987__BTCUSDT.csv.gz,273875,e93b9d462037710eadd98501176de321c9f88021bf86b54c5b68b022c5e89984,Non-target BTC pair (not BTCUSDT)
