date,venue,filename,key,size_bytes,sha256,attempts,status,is_priority
20250710,BITGET,IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,T-TRADES/D-20250710/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,4192377,c3464490fdf77ba45d93cd36f6404ee6108625a327a0793020a703105af270cf,1,success,True
20250710,BITGET,IDDI-6891663+SC-BITGET_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,T-TRADES/D-20250710/E-BITGET/IDDI-6891663+SC-BITGET_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,206300,f96a14567f22e43eb1fe19e626f2932a963f69ee2d1105a257f0f5e10d18d3d9,1,success,True
20250711,BINANCE,IDDI-138177+SC-BINANCE_SPOT_ETH_BTC+S-ETHBTC.csv.gz,T-TRADES/D-20250711/E-BINANCE/IDDI-138177+SC-BINANCE_SPOT_ETH_BTC+S-ETHBTC.csv.gz,4580273,e091e2072baa4ccf657a784fa167424c2f34cbff66530b11a54418b3f0f600af,1,success,True
20250711,BINANCE,IDDI-138196+SC-BINANCE_SPOT_LTC_BTC+S-LTCBTC.csv.gz,T-TRADES/D-20250711/E-BINANCE/IDDI-138196+SC-BINANCE_SPOT_LTC_BTC+S-LTCBTC.csv.gz,337980,934ff2d7df0d28ab748910b5250d218b40b6553b72e04b1eb7679e6bc1a01ab4,1,success,True
20250711,BINANCE,IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,T-TRADES/D-20250711/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,140409435,dddc4adf7a8ddc56d8831b4bcf75173dfd07e304cb30eed637343c82a821adaa,1,success,True
20250711,BINANCE,IDDI-36885797+SC-BINANCE_SPOT_BTC_JPY+S-BTCJPY.csv.gz,T-TRADES/D-20250711/E-BINANCE/IDDI-36885797+SC-BINANCE_SPOT_BTC_JPY+S-BTCJPY.csv.gz,1445795,6eb0ee77afb071225a6db536f55e62221cbeca3a3519f5e1572c40987f2afcb5,1,success,True
20250711,BINANCE,IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,T-TRADES/D-20250711/E-BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,1036036,807fd163d7e7ae3201d1d65ec65517b5d233f939bceebee4483b97940eed90a2,1,success,True
20250711,BYBITSPOT,IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,T-TRADES/D-20250711/E-BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,1611173,e4f2361ffa1f16fa67e1ee88454c4c391ac4a06e09eba30d6641daaf4b728ba1,1,success,True
20250711,BINANCE,IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,T-TRADES/D-20250711/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,136082162,b4f56f9067aec40f250c61c7d9bc0e50a0b1c97d8a0e181738f70381f934c796,1,success,True
20250711,BYBITSPOT,IDDI-6072818+SC-BYBITSPOT_SPOT_ETH_BTC+S-ETHBTC.csv.gz,T-TRADES/D-20250711/E-BYBITSPOT/IDDI-6072818+SC-BYBITSPOT_SPOT_ETH_BTC+S-ETHBTC.csv.gz,1043492,2dc0ed331adc8a4bc5ebb540a23117ce9d48811468775a949c2c79104e318663,1,success,True
20250711,BYBITSPOT,IDDI-6072968+SC-BYBITSPOT_SPOT_LTC_BTC+S-LTCBTC.csv.gz,T-TRADES/D-20250711/E-BYBITSPOT/IDDI-6072968+SC-BYBITSPOT_SPOT_LTC_BTC+S-LTCBTC.csv.gz,58856,e7a9cc639add76922117c3fb5d0162317c5d86ea9e979640e2ff755595632cee,1,success,True
20250711,BYBITSPOT,IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,T-TRADES/D-20250711/E-BYBITSPOT/IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,47268,78a298ddbfb1b7bf3e3d1821a44c3cd959003a74f487673a143e51646d61278c,1,success,True
20250711,BYBITSPOT,IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,T-TRADES/D-20250711/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,33723136,6b9ef335f1a47a69cff659cd7519db0679f1c2e5b7c522eaaf4ed103ebd19d60,1,success,True
