date,venue,key,abs_path,size_bytes,sha256
20250707,COINBASE,T-TRADES/D-20250707/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/E-COINBASE/IDDI_6bc99d65__BTC-USD.csv.gz,25820939,46e2c5010cc23a1075d4c11f837ef5f0d679a57dbdc96f4a4299e07911a47356
20250707,COINBASE,T-TRADES/D-20250707/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/E-COINBASE/IDDI_b777a051__BTC-USD.csv.gz,760907,5894c365939de1bd1682ba7cd228c813b5e0dc40343c99d618411ecb5c5195aa
20250708,COINBASE,T-TRADES/D-20250708/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/E-COINBASE/IDDI_2cb45db2__BTC-USD.csv.gz,23786134,66f568408e3dcc09d27c01af274b7157bad982295e39b9ad357a5052ab700287
