edge,freq,lag_s,coef,se,t,p_raw,placebo_type,n_obs
BINANCE->COINBASE,5s,5,-0.002545522513004577,0.007035608046290272,-0.36180561740456496,0.7175018710913088,session_shuffle,16704
BINANCE->COINBASE,5s,15,-0.0101103219353276,0.007036055418138879,-1.4369304012676327,0.15075650463912438,session_shuffle,16702
BINANCE->COINBASE,5s,30,-0.005648006239354905,0.007036999531196613,-0.8026156907238681,0.4222083202218907,session_shuffle,16699
BINANCE->BYBITSPOT,5s,5,-0.0014092959659765885,0.007518793375725013,-0.18743645363717615,0.85132071999992,session_shuffle,16704
BINANCE->BYBITSPOT,5s,15,-0.006259738780702075,0.00752000482860498,-0.8324115374089867,0.40518859523170336,session_shuffle,16702
BINANCE->BYBITSPOT,5s,30,0.004226371363691527,0.007521114021011691,0.5619342230265807,0.5741683783748237,session_shuffle,16699
BINANCE->BITGET,5s,5,0.010743956868170729,0.007450394191529455,1.4420655594821827,0.14930263012305067,session_shuffle,16704
BINANCE->BITGET,5s,15,-0.004348806953186767,0.007450720191650447,-0.5836760529619943,0.5594461643240982,session_shuffle,16702
BINANCE->BITGET,5s,30,-0.006893142798821393,0.00745190442038626,-0.9250176075747487,0.35497011703406756,session_shuffle,16699
COINBASE->BINANCE,5s,5,-0.002956553553369308,0.00850886375872919,-0.3474674923941752,0.7282445145750107,session_shuffle,16704
COINBASE->BINANCE,5s,15,-0.0014231310891605763,0.008508887359574027,-0.16725231267273719,0.8671735495669777,session_shuffle,16702
COINBASE->BINANCE,5s,30,-0.01236699381799104,0.008511392346841288,-1.4529930373354984,0.14624447979796162,session_shuffle,16699
COINBASE->BYBITSPOT,5s,5,-0.0019283485849973777,0.008268953264462028,-0.2332034688459247,0.8156062701613229,session_shuffle,16704
COINBASE->BYBITSPOT,5s,15,-0.0028290739442164434,0.00827073488198368,-0.34205835207933893,0.7323112835561152,session_shuffle,16702
COINBASE->BYBITSPOT,5s,30,-0.007669204758332671,0.008271242661988453,-0.9272131252511157,0.3538292916711243,session_shuffle,16699
COINBASE->BITGET,5s,5,-0.005957934338961368,0.008193761776191464,-0.7271305295051756,0.4671561896520544,session_shuffle,16704
COINBASE->BITGET,5s,15,-0.0011481891531560883,0.008194332303396392,-0.1401199158935971,0.8885669350405467,session_shuffle,16702
COINBASE->BITGET,5s,30,0.006558045882170253,0.008194675909066316,0.8002812990950198,0.42355922152849157,session_shuffle,16699
BYBITSPOT->BINANCE,5s,5,-0.0009216849010999724,0.007961995216509104,-0.11576054444103026,0.9078437128828811,session_shuffle,16704
BYBITSPOT->BINANCE,5s,15,-0.0035806858495452906,0.007961961857264195,-0.44972406471382514,0.652915254056174,session_shuffle,16702
BYBITSPOT->BINANCE,5s,30,-0.0035882550757178073,0.007963365645180933,-0.4505952929449191,0.6522871105620807,session_shuffle,16699
BYBITSPOT->COINBASE,5s,5,-0.009649942739820942,0.007239510324340292,-1.332955173415034,0.18256469671653242,session_shuffle,16704
BYBITSPOT->COINBASE,5s,15,0.001992440952904914,0.007241571979318812,0.2751392872424829,0.7832126328734257,session_shuffle,16702
BYBITSPOT->COINBASE,5s,30,0.009362611619724275,0.007241782686271674,1.2928600629611657,0.19607735113509706,session_shuffle,16699
BYBITSPOT->BITGET,5s,5,0.000743930246046848,0.007667414629619484,0.0970249141311623,0.9227077733436664,session_shuffle,16704
BYBITSPOT->BITGET,5s,15,0.0037132582490525356,0.007667316836564591,0.4842969617929985,0.628181482913674,session_shuffle,16702
BYBITSPOT->BITGET,5s,30,0.00869186383486569,0.007667599095070434,1.1335835020969947,0.2569855722876493,session_shuffle,16699
BITGET->BINANCE,5s,5,6.009268670808604e-05,0.008034669878055472,0.007479173086154163,0.9940326282269218,session_shuffle,16704
BITGET->BINANCE,5s,15,0.009817425627928374,0.008035304398567793,1.2217863992406093,0.22180565896732274,session_shuffle,16702
BITGET->BINANCE,5s,30,-0.00014707574001014744,0.008036406588001517,-0.01830118205190537,0.9853988031546956,session_shuffle,16699
BITGET->COINBASE,5s,5,-0.01374566143883648,0.007305273326766642,-1.8816080965064168,0.05990662198726571,session_shuffle,16704
BITGET->COINBASE,5s,15,0.0062288751727569815,0.007306402832558434,0.8525228235432316,0.3939362028719935,session_shuffle,16702
BITGET->COINBASE,5s,30,-0.00010115367242325862,0.007308540640668515,-0.013840474781023597,0.9889574167751878,session_shuffle,16699
BITGET->BYBITSPOT,5s,5,0.014013187196223867,0.007807289393976593,1.7948850733053638,0.07269008704465518,session_shuffle,16704
BITGET->BYBITSPOT,5s,15,0.00535519093002385,0.0078082435929233045,0.6858380974278667,0.4928247299164723,session_shuffle,16702
BITGET->BYBITSPOT,5s,30,0.004159989046485491,0.007808799917748632,0.532730904915395,0.5942269590862201,session_shuffle,16699
