current_path,suggested_path,size,modified_ts
data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-137915+SC-BINANCE_SPOT_TRX_ETH+S-TRXETH.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-137915+SC-BINANCE_SPOT_TRX_ETH+S-TRXETH.csv.gz,54533,2025-10-11T14:35:29.297142
data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-138209+SC-BINANCE_SPOT_POWR_ETH+S-POWRETH.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-138209+SC-BINANCE_SPOT_POWR_ETH+S-POWRETH.csv.gz,25278,2025-10-11T14:36:52.276516
data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-10845939+SC-BINANCE_SPOT_ARB_ETH+S-ARBETH.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-10845939+SC-BINANCE_SPOT_ARB_ETH+S-ARBETH.csv.gz,57793,2025-10-11T14:35:11.509980
data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,155244332,2025-10-11T14:37:08.103652
data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-13110741+SC-BINANCE_SPOT_ARKM_BNB+S-ARKMBNB.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-13110741+SC-BINANCE_SPOT_ARKM_BNB+S-ARKMBNB.csv.gz,4775,2025-10-11T14:35:13.427291
data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-138143+SC-BINANCE_SPOT_XLM_BTC+S-XLMBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w6b/20250714/BINANCE/IDDI-138143+SC-BINANCE_SPOT_XLM_BTC+S-XLMBTC.csv.gz,852143,2025-10-11T14:36:20.465168
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6072968+SC-BYBITSPOT_SPOT_LTC_BTC+S-LTCBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6072968+SC-BYBITSPOT_SPOT_LTC_BTC+S-LTCBTC.csv.gz,20413,2025-10-11T14:51:02.359726
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6072818+SC-BYBITSPOT_SPOT_ETH_BTC+S-ETHBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6072818+SC-BYBITSPOT_SPOT_ETH_BTC+S-ETHBTC.csv.gz,712429,2025-10-11T14:51:01.265849
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BITGET/IDDI-6891538+SC-BITGET_SPOT_ETH_BTC+S-ETHBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BITGET/IDDI-6891538+SC-BITGET_SPOT_ETH_BTC+S-ETHBTC.csv.gz,323565,2025-10-11T14:51:08.172011
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BITGET/IDDI-36881236+SC-BITGET_SPOT_LTC_BTC+S-LTCBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BITGET/IDDI-36881236+SC-BITGET_SPOT_LTC_BTC+S-LTCBTC.csv.gz,107378,2025-10-11T14:51:05.504006
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,103953691,2025-10-11T14:50:59.048541
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-138196+SC-BINANCE_SPOT_LTC_BTC+S-LTCBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-138196+SC-BINANCE_SPOT_LTC_BTC+S-LTCBTC.csv.gz,152990,2025-10-11T14:50:09.842776
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-138177+SC-BINANCE_SPOT_ETH_BTC+S-ETHBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-138177+SC-BINANCE_SPOT_ETH_BTC+S-ETHBTC.csv.gz,3332785,2025-10-11T14:50:08.267943
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-36885797+SC-BINANCE_SPOT_BTC_JPY+S-BTCJPY.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250709/BINANCE/IDDI-36885797+SC-BINANCE_SPOT_BTC_JPY+S-BTCJPY.csv.gz,1882192,2025-10-11T14:50:46.806149
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,82461605,2025-10-11T14:45:52.228449
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138210+SC-BINANCE_SPOT_REQ_BTC+S-REQBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138210+SC-BINANCE_SPOT_REQ_BTC+S-REQBTC.csv.gz,1173,2025-10-11T14:45:22.740371
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36850213+SC-BINANCE_SPOT_MANTA_BTC+S-MANTABTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36850213+SC-BINANCE_SPOT_MANTA_BTC+S-MANTABTC.csv.gz,12709,2025-10-11T14:45:40.095478
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36774890+SC-BINANCE_SPOT_TIA_BTC+S-TIABTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36774890+SC-BINANCE_SPOT_TIA_BTC+S-TIABTC.csv.gz,84282,2025-10-11T14:45:36.675560
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138105+SC-BINANCE_SPOT_BNB_BTC+S-BNBBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138105+SC-BINANCE_SPOT_BNB_BTC+S-BNBBTC.csv.gz,819379,2025-10-11T14:45:01.541216
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36859609+SC-BINANCE_SPOT_RONIN_BTC+S-RONINBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36859609+SC-BINANCE_SPOT_RONIN_BTC+S-RONINBTC.csv.gz,8774,2025-10-11T14:45:42.680494
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138229+SC-BINANCE_SPOT_ZRX_BTC+S-ZRXBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138229+SC-BINANCE_SPOT_ZRX_BTC+S-ZRXBTC.csv.gz,22902,2025-10-11T14:45:24.950526
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138071+SC-BINANCE_SPOT_LRC_BTC+S-LRCBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138071+SC-BINANCE_SPOT_LRC_BTC+S-LRCBTC.csv.gz,2136,2025-10-11T14:45:00.105755
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138192+SC-BINANCE_SPOT_KNC_BTC+S-KNCBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138192+SC-BINANCE_SPOT_KNC_BTC+S-KNCBTC.csv.gz,8832,2025-10-11T14:45:20.218742
