date,venue,filename,total_observations,total_hours,valid_hours,coverage_pct,missing_hours_count,min_timestamp,max_timestamp,venues_found,validation_status
20250908,BINANCE,BINANCE_20250908_BTCUSDT.csv.gz,1974209,24,0,0.0,24,2025-09-08 00:00:00.001000+00:00,2025-09-08 23:59:58.724000+00:00,['BINANCE'],FAIL
20250908,COINBASE,COINBASE_20250908_BTCUSDT.csv.gz,355695,24,0,0.0,24,2025-09-08 00:00:00.390175+00:00,2025-09-08 23:59:59.554964+00:00,['COINBASE'],FAIL
20250908,BYBITSPOT,BYBITSPOT_20250908_BTCUSDT.csv.gz,606675,24,0,0.0,24,2025-09-08 00:00:00.372000+00:00,2025-09-08 23:59:59.264000+00:00,['BYBITSPOT'],FAIL
20250908,BITGET,BITGET_20250908_BTCUSDT.csv.gz,190270,24,0,0.0,24,2025-09-08 00:00:00.058000+00:00,2025-09-08 23:59:55.785000+00:00,['BITGET'],FAIL
20250909,BINANCE,BINANCE_20250909_BTCUSDT.csv.gz,2260836,24,0,0.0,24,2025-09-09 00:00:00.086000+00:00,2025-09-09 23:59:59.692000+00:00,['BINANCE'],FAIL
20250909,COINBASE,COINBASE_20250909_BTCUSDT.csv.gz,333808,24,0,0.0,24,2025-09-09 00:00:00.798736+00:00,2025-09-09 23:59:59.926213+00:00,['COINBASE'],FAIL
20250909,BYBITSPOT,BYBITSPOT_20250909_BTCUSDT.csv.gz,554606,24,0,0.0,24,2025-09-09 00:00:01.382000+00:00,2025-09-09 23:59:58.288000+00:00,['BYBITSPOT'],FAIL
20250909,BITGET,BITGET_20250909_BTCUSDT.csv.gz,277734,24,0,0.0,24,2025-09-09 00:00:00.043000+00:00,2025-09-09 23:59:55.959000+00:00,['BITGET'],FAIL
20250910,BINANCE,BINANCE_20250910_BTCUSDT.csv.gz,2200957,24,0,0.0,24,2025-09-10 00:00:00.101000+00:00,2025-09-10 23:59:59.842000+00:00,['BINANCE'],FAIL
20250910,COINBASE,COINBASE_20250910_BTCUSDT.csv.gz,419922,24,0,0.0,24,2025-09-10 00:00:00.272859+00:00,2025-09-10 23:59:59.984686+00:00,['COINBASE'],FAIL
20250910,BYBITSPOT,BYBITSPOT_20250910_BTCUSDT.csv.gz,746276,24,0,0.0,24,2025-09-10 00:00:01.712000+00:00,2025-09-10 23:59:56.932000+00:00,['BYBITSPOT'],FAIL
20250910,BITGET,BITGET_20250910_BTCUSDT.csv.gz,182627,24,0,0.0,24,2025-09-10 00:00:00.043000+00:00,2025-09-10 23:59:59.955000+00:00,['BITGET'],FAIL
20250911,BINANCE,BINANCE_20250911_BTCUSDT.csv.gz,2160421,24,0,0.0,24,2025-09-11 00:00:00.027000+00:00,2025-09-11 23:59:59.805000+00:00,['BINANCE'],FAIL
20250911,COINBASE,COINBASE_20250911_BTCUSDT.csv.gz,356317,24,0,0.0,24,2025-09-11 00:00:00.019833+00:00,2025-09-11 23:59:59.732588+00:00,['COINBASE'],FAIL
20250911,BYBITSPOT,BYBITSPOT_20250911_BTCUSDT.csv.gz,624566,24,0,0.0,24,2025-09-11 00:00:00.074000+00:00,2025-09-11 23:59:59.138000+00:00,['BYBITSPOT'],FAIL
20250911,BITGET,BITGET_20250911_BTCUSDT.csv.gz,215916,24,0,0.0,24,2025-09-11 00:00:00.047000+00:00,2025-09-11 23:59:43.874000+00:00,['BITGET'],FAIL
20250912,BINANCE,BINANCE_20250912_BTCUSDT.csv.gz,2481491,24,0,0.0,24,2025-09-12 00:00:00.463000+00:00,2025-09-12 23:59:59.582000+00:00,['BINANCE'],FAIL
20250912,COINBASE,COINBASE_20250912_BTCUSDT.csv.gz,440487,24,0,0.0,24,2025-09-12 00:00:00.374018+00:00,2025-09-12 23:59:58.643546+00:00,['COINBASE'],FAIL
20250912,BYBITSPOT,BYBITSPOT_20250912_BTCUSDT.csv.gz,658957,24,0,0.0,24,2025-09-12 00:00:00.532000+00:00,2025-09-12 23:59:57.391000+00:00,['BYBITSPOT'],FAIL
20250912,BITGET,BITGET_20250912_BTCUSDT.csv.gz,207165,24,0,0.0,24,2025-09-12 00:00:00.047000+00:00,2025-09-12 23:59:57.156000+00:00,['BITGET'],FAIL
20250913,BINANCE,BINANCE_20250913_BTCUSDT.csv.gz,1849505,24,0,0.0,24,2025-09-13 00:00:00.053000+00:00,2025-09-13 23:59:59.324000+00:00,['BINANCE'],FAIL
20250913,COINBASE,COINBASE_20250913_BTCUSDT.csv.gz,268858,24,0,0.0,24,2025-09-13 00:00:00.211437+00:00,2025-09-13 23:59:59.821460+00:00,['COINBASE'],FAIL
20250913,BYBITSPOT,BYBITSPOT_20250913_BTCUSDT.csv.gz,366300,24,0,0.0,24,2025-09-13 00:00:00.570000+00:00,2025-09-13 23:59:58.332000+00:00,['BYBITSPOT'],FAIL
20250913,BITGET,BITGET_20250913_BTCUSDT.csv.gz,134382,24,0,0.0,24,2025-09-13 00:00:00.046000+00:00,2025-09-13 23:59:57.881000+00:00,['BITGET'],FAIL
20250914,BINANCE,BINANCE_20250914_BTCUSDT.csv.gz,2095643,24,0,0.0,24,2025-09-14 00:00:00.006000+00:00,2025-09-14 23:59:59.927000+00:00,['BINANCE'],FAIL
20250914,COINBASE,COINBASE_20250914_BTCUSDT.csv.gz,225015,24,0,0.0,24,2025-09-14 00:00:00.612901+00:00,2025-09-14 23:59:59.564582+00:00,['COINBASE'],FAIL
20250914,BYBITSPOT,BYBITSPOT_20250914_BTCUSDT.csv.gz,330138,24,0,0.0,24,2025-09-14 00:00:02.227000+00:00,2025-09-14 23:59:59.561000+00:00,['BYBITSPOT'],FAIL
20250914,BITGET,BITGET_20250914_BTCUSDT.csv.gz,167792,24,0,0.0,24,2025-09-14 00:00:00.181000+00:00,2025-09-14 23:59:59.946000+00:00,['BITGET'],FAIL
