edge,jaccard,precision,recall,mutual_info,residual_windows,vmm_windows,day,frequency
BITGET->BYBITSPOT,0.43333333333333335,0.43333333333333335,1.0,0.0,240,104,2025-09-06,30S
BINANCE->BYBITSPOT,0.4323308270676692,0.4323308270676692,1.0,0.0,266,115,2025-09-06,30S
BINANCE->COINBASE,0.41754385964912283,0.41754385964912283,1.0,0.0,285,119,2025-09-06,30S
COINBASE->BITGET,0.483739837398374,0.483739837398374,1.0,0.0,246,119,2025-09-06,30S
BYBITSPOT->BINANCE,0.4807017543859649,0.4807017543859649,1.0,0.0,285,137,2025-09-06,30S
BITGET->COINBASE,0.4122448979591837,0.4122448979591837,1.0,0.0,245,101,2025-09-06,30S
BYBITSPOT->BITGET,0.4959349593495935,0.4959349593495935,1.0,0.0,246,122,2025-09-06,30S
COINBASE->BYBITSPOT,0.2413793103448276,0.2413793103448276,1.0,0.0,261,63,2025-09-07,1S
BINANCE->BITGET,0.20080321285140562,0.20080321285140562,1.0,0.0,249,50,2025-09-07,1S
BYBITSPOT->COINBASE,0.21602787456445993,0.21602787456445993,1.0,0.0,287,62,2025-09-07,1S
BITGET->BINANCE,0.2912280701754386,0.2912280701754386,1.0,0.0,285,83,2025-09-07,1S
COINBASE->BINANCE,0.3170731707317073,0.3170731707317073,1.0,0.0,287,91,2025-09-07,1S
BITGET->BYBITSPOT,0.2226148409893993,0.2226148409893993,1.0,0.0,283,63,2025-09-07,1S
BINANCE->BYBITSPOT,0.14285714285714285,0.14285714285714285,1.0,0.0,259,37,2025-09-07,1S
BINANCE->COINBASE,0.23157894736842105,0.23157894736842105,1.0,0.0,285,66,2025-09-07,1S
COINBASE->BITGET,0.33067729083665337,0.33067729083665337,1.0,0.0,251,83,2025-09-07,1S
BYBITSPOT->BINANCE,0.3867595818815331,0.3867595818815331,1.0,0.0,287,111,2025-09-07,1S
BITGET->COINBASE,0.21754385964912282,0.21754385964912282,1.0,0.0,285,62,2025-09-07,1S
BYBITSPOT->BITGET,0.38267148014440433,0.38267148014440433,1.0,0.0,277,106,2025-09-07,1S
COINBASE->BYBITSPOT,0.2413793103448276,0.2413793103448276,1.0,0.0,261,63,2025-09-07,2S
BINANCE->BITGET,0.20080321285140562,0.20080321285140562,1.0,0.0,249,50,2025-09-07,2S
BYBITSPOT->COINBASE,0.21602787456445993,0.21602787456445993,1.0,0.0,287,62,2025-09-07,2S
BITGET->BINANCE,0.2912280701754386,0.2912280701754386,1.0,0.0,285,83,2025-09-07,2S
COINBASE->BINANCE,0.3170731707317073,0.3170731707317073,1.0,0.0,287,91,2025-09-07,2S
BITGET->BYBITSPOT,0.2226148409893993,0.2226148409893993,1.0,0.0,283,63,2025-09-07,2S
BINANCE->BYBITSPOT,0.14285714285714285,0.14285714285714285,1.0,0.0,259,37,2025-09-07,2S
BINANCE->COINBASE,0.23157894736842105,0.23157894736842105,1.0,0.0,285,66,2025-09-07,2S
COINBASE->BITGET,0.33067729083665337,0.33067729083665337,1.0,0.0,251,83,2025-09-07,2S
BYBITSPOT->BINANCE,0.3867595818815331,0.3867595818815331,1.0,0.0,287,111,2025-09-07,2S
BITGET->COINBASE,0.21754385964912282,0.21754385964912282,1.0,0.0,285,62,2025-09-07,2S
BYBITSPOT->BITGET,0.38267148014440433,0.38267148014440433,1.0,0.0,277,106,2025-09-07,2S
COINBASE->BYBITSPOT,0.2413793103448276,0.2413793103448276,1.0,0.0,261,63,2025-09-07,5S
BINANCE->BITGET,0.20080321285140562,0.20080321285140562,1.0,0.0,249,50,2025-09-07,5S
BYBITSPOT->COINBASE,0.21602787456445993,0.21602787456445993,1.0,0.0,287,62,2025-09-07,5S
BITGET->BINANCE,0.2912280701754386,0.2912280701754386,1.0,0.0,285,83,2025-09-07,5S
COINBASE->BINANCE,0.3170731707317073,0.3170731707317073,1.0,0.0,287,91,2025-09-07,5S
BITGET->BYBITSPOT,0.2226148409893993,0.2226148409893993,1.0,0.0,283,63,2025-09-07,5S
BINANCE->BYBITSPOT,0.14285714285714285,0.14285714285714285,1.0,0.0,259,37,2025-09-07,5S
BINANCE->COINBASE,0.23157894736842105,0.23157894736842105,1.0,0.0,285,66,2025-09-07,5S
COINBASE->BITGET,0.33067729083665337,0.33067729083665337,1.0,0.0,251,83,2025-09-07,5S
BYBITSPOT->BINANCE,0.3867595818815331,0.3867595818815331,1.0,0.0,287,111,2025-09-07,5S
BITGET->COINBASE,0.21754385964912282,0.21754385964912282,1.0,0.0,285,62,2025-09-07,5S
BYBITSPOT->BITGET,0.38267148014440433,0.38267148014440433,1.0,0.0,277,106,2025-09-07,5S
