window,window_min,total_beacons,positive_responses,conditional_prob,baseline_prob,lift
1m,1,240,23,0.09583333333333334,0.25,0.38333333333333336
5m,5,240,40,0.16666666666666666,0.25,0.6666666666666666
10m,10,240,59,0.24583333333333332,0.25,0.9833333333333333
30m,30,240,124,0.5166666666666667,0.25,2.066666666666667
