edge,freq,lag,lag_s,placebo_p_values,placebo_median_p
BINANCE->BITGET,5s,1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3606941453556505, 0.01839736403495129, 0.0, 5.773159728050814e-15, 0.0, 0.0, 2.0133899445440306e-06, 0.0, 0.0, 0.0, 3.2117414687782286e-06, 0.0, 0.0, 1.459943277382081e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.326672684688674e-14, 0.0, 5.051781215570372e-10, 0.0, 0.5764984391510151, 6.813098174518473e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1857274707715035e-05, 0.0, 0.0, 0.0, 0.0, 0.03888461418512601, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3087309014281345e-12, 1.4941115011879447e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.8231803695972815e-06, 0.0, 0.0, 0.0, 0.0, 0.7303316852761048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3009579012956962e-05, 0.0, 0.0, 0.0, 0.0]",0.0
BINANCE->BITGET,5s,2,10,"[0.0, 1.5285239129747552e-05, 0.0, 0.0, 0.0003247629442919564, 0.0003246070910876142, 0.0, 0.0, 0.07139463563436843, 0.0, 0.0644457219958563, 0.0670294776592315, 5.346834086594754e-13, 0.0, 9.103828801926284e-15, 0.27303296306984204, 0.01952752942934266, 8.215650382226158e-15, 0.12425287032094112, 7.624368780767554e-08, 0.0, 0.0002537259972703598, 3.858894537245305e-09, 4.488713067907213e-08, 0.21777338991655526, 4.968199185384492e-10, 0.0007059855681688099, 2.220446049250313e-16, 0.42139096848004787, 0.0015958540173448554, 0.426103719398945, 0.0, 1.3358747708025476e-07, 0.007427572283383199, 0.0, 8.893696495615444e-05, 3.2926994464332893e-12, 0.0, 2.181462844363935e-06, 6.268541241638559e-12, 0.0, 2.3953283800892677e-11, 6.903429923710291e-06, 0.0020353651932629724, 4.116529561670745e-09, 0.9172289044946613, 0.06144960288280932, 0.0, 1.3322676295501878e-15, 8.881784197001252e-16, 4.440892098500626e-15, 0.014460713800798608, 0.8235378273904526, 0.0, 0.0, 0.0, 0.31099778661169486, 0.002500441758348071, 2.886579864025407e-15, 0.0, 0.08379309985382499, 7.3757254000828e-05, 0.0023094196362354324, 0.00019040452089091886, 0.0, 0.0, 1.3743057352133548e-06, 0.0, 4.440892098500626e-16, 0.6417729858644039, 4.440892098500626e-16, 0.0, 3.3256509790469124e-07, 0.0, 0.0, 0.0, 1.5549415088855767e-09, 0.0019287933102647425, 1.2444831831714964e-09, 0.0, 0.00021144400760286786, 6.661338147750939e-16, 0.0, 0.15233175282968214, 0.43590511166063406, 0.11944541594479774, 0.0, 3.3306690738754696e-15, 0.17900131087831883, 0.0, 9.665794831192898e-10, 0.0, 0.9748044488278265, 0.003941349448884246, 0.016751769177481668, 8.150667918371823e-09, 2.398081733190338e-14, 1.8207657603852567e-13, 6.114372763654785e-08, 0.0003289060548514744]",2.706918023065441e-09
BINANCE->BITGET,5s,3,15,"[2.123390352437582e-11, 0.061752415206541844, 4.440892098500626e-15, 0.0, 0.25503116672659254, 0.25497900045182886, 0.0, 0.0, 0.5137044266961404, 1.8476331575811855e-12, 0.5438666819503419, 0.532249437859742, 1.9270508830881994e-06, 0.0, 0.0, 0.17396821185497346, 1.6878390667329768e-06, 1.0929360305667046e-07, 6.593980528668553e-05, 5.10702591327572e-15, 0.0, 0.22937192778308302, 0.0005945183934785714, 2.4424906541753444e-15, 0.22122485161878447, 0.00016705688518658945, 5.283311788062406e-09, 7.573588423070987e-09, 0.09864230390980766, 0.4837901913633109, 0.09699496080052361, 0.0, 0.004838567192982701, 2.9149694524832626e-07, 0.0, 1.9048784771769078e-10, 6.506775994230551e-06, 0.0, 6.759037773917953e-13, 9.964955458130476e-06, 0.0, 2.39965074866344e-05, 0.041330573708761476, 0.5296173758508527, 2.220446049250313e-16, 0.010506146868420663, 0.5579946349207829, 0.0, 3.133020531898012e-08, 0.0, 7.230988496864654e-08, 0.9914855919747729, 0.025611020711294286, 3.708144902248023e-14, 0.0, 0.0, 0.000526233361981765, 0.5708052568523132, 5.330604646580639e-08, 0.0, 0.46727712313781855, 0.13172459489596866, 3.8296597670850474e-08, 6.345171055244236e-10, 0.0, 0.0, 0.01767725877531867, 0.0, 1.4213382248939865e-08, 0.046588539761830194, 1.436580054914316e-08, 0.0, 0.00810476708194452, 0.0, 0.0, 0.0, 0.0003401872509201098, 0.5192202718541408, 0.0002963565656945999, 0.0, 0.21186870314388906, 1.7362781434826502e-08, 0.0, 0.3055924620866728, 0.0012237970305741808, 0.3687500639238437, 0.0, 5.9327684098775535e-08, 0.2661492084187489, 8.914202709320307e-12, 0.0002532876635854553, 0.0, 0.015379497400484166, 0.6697993597935363, 0.9488475461399133, 2.220446049250313e-16, 2.3069234988959408e-07, 9.289768747589022e-07, 0.003084337091319611, 0.25641209198051595]",2.6109464756896017e-07
BINANCE->BITGET,5s,5,25,"[0.012860590275348693, 0.01906536664200109, 0.00027684554150053664, 0.0, 0.0021139461072823273, 0.00211483115754052, 0.0, 5.45056788170406e-06, 1.1545720290939698e-06, 0.004562677071807242, 1.4556146257227454e-06, 1.3327193273404703e-06, 0.5829128420617864, 0.0, 0.0, 2.5659334657035515e-08, 0.0, 0.27167316277844766, 2.220446049250313e-16, 0.0, 0.0, 0.0026123543004963334, 0.4363776232832901, 0.0, 5.551912773960055e-08, 0.6540863089137368, 0.0, 0.11715472608436239, 4.624031602062928e-09, 0.00044572655312036247, 4.403363673688432e-09, 0.0, 0.16304398465078473, 0.0, 6.8480603165888e-07, 0.0, 0.766274745391184, 0.0, 0.0, 0.836859876480271, 1.5156868423682468e-05, 0.9905000778001654, 0.02984219591947146, 0.0003396882059960582, 0.0, 1.326538878743122e-11, 1.6177760193691881e-06, 1.4987344698624838e-11, 0.1859284480515142, 0.0, 0.2403663780058214, 2.425333836764132e-05, 1.1970380242587453e-10, 0.0007733896384223282, 5.7684079735054183e-11, 6.953736919612652e-09, 1.687538997430238e-14, 0.00026774704056742316, 0.2191825227692461, 8.878717761007238e-10, 7.932685852640731e-07, 0.0068339865060755844, 0.0, 0.0, 1.0111290593695088e-06, 0.0, 0.06574682665817666, 2.283027100702384e-10, 0.1443379283733246, 5.714095863140756e-10, 0.14484152241708736, 0.0, 0.11762616787645963, 0.0, 0.0, 7.022500843056889e-07, 0.528834242088807, 0.00036103345336324644, 0.5525688725201783, 0.0, 0.00304085599292625, 0.15404017382503987, 0.0, 1.65703698096209e-07, 1.0147438445073931e-13, 3.2441706809827053e-07, 1.4164989625697899e-08, 0.22643745139712146, 1.0289921048567408e-07, 0.008960888156623437, 0.579952361129533, 1.232628443759154e-09, 3.3434144341981664e-11, 0.00015372277838587856, 1.9108358166208816e-05, 0.0, 0.3364141148707951, 0.48741071223905674, 0.2101009921946595, 0.002090685716358731]",1.0828505442317393e-06
BINANCE->BITGET,5s,10,50,"[0.00012823634076930546, 0.31658629101629865, 6.433513715098371e-07, 0.0, 0.08342515490828029, 0.08344743222240236, 0.0, 3.914092161494409e-09, 0.0004293363806033845, 2.9349427473901457e-05, 0.000510290302259131, 0.00047783946357204954, 0.05850379821857854, 0.0, 0.0, 2.3662703132032448e-05, 1.9984014443252818e-14, 0.014611194385048876, 7.154055126079584e-12, 0.0, 0.0, 0.09543328664344686, 0.5723715877801245, 0.0, 4.294404860694101e-05, 0.37090218772682126, 0.0, 0.0036216588117765625, 6.21935376377003e-06, 0.03008607132084684, 5.985209601488961e-06, 0.0, 0.9584989862318385, 1.3322676295501878e-15, 2.8546942587581725e-10, 0.0, 0.10099294508447332, 0.0, 0.0, 0.1214462866049606, 1.447550568300926e-08, 0.1754975717433127, 0.40688002992869343, 0.025055285571238928, 0.0, 5.797597113499364e-08, 0.0005520104523808467, 6.661338147750939e-16, 0.0076914584973182265, 0.0, 0.011845587291562154, 0.003983874328171488, 3.419888621181144e-07, 2.551590370769574e-06, 3.1086244689504383e-15, 9.874323581016142e-13, 2.420807998504415e-10, 0.021321534660950547, 0.010130846967222995, 8.126832540256146e-14, 0.00032422273518428746, 0.17315133995360954, 0.0, 0.0, 4.653635254925348e-10, 0.0, 0.61896509154333, 1.5765166949677223e-14, 0.0050725378058058546, 1.1920306737245312e-06, 0.005101372187430009, 0.0, 0.8243457790485631, 0.0, 0.0, 2.946056731900626e-10, 0.47578531330263374, 0.02610812307094479, 0.4538764548870797, 0.0, 0.10502637791414138, 0.0056405014048110935, 0.0, 9.92296354838107e-05, 1.070364463728879e-09, 0.0001652966321088467, 2.354338946020107e-12, 0.01070395717981687, 6.896003018708186e-05, 7.630903860333937e-05, 0.4298621649149239, 1.2079226507921703e-13, 1.2250484715536913e-07, 0.014581532504579942, 0.0033583121991251907, 0.0, 0.021224688626874766, 0.041632405953643925, 0.9286132853209299, 0.08283832972486405]",3.6146738040421234e-05
COINBASE->BINANCE,5s,1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1231682250922859e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
COINBASE->BINANCE,5s,2,10,"[9.755392634369642e-06, 0.0, 0.0004607378815166818, 0.06663777623997325, 0.0, 0.0, 0.029508465385909677, 0.0055582028857430466, 0.0, 3.424818527952844e-05, 0.0, 0.0, 2.315166058863838e-09, 0.0, 0.0, 0.0, 0.0, 3.132143255868414e-08, 0.0, 0.0, 0.1377378294071967, 0.0, 1.9841905896100798e-12, 0.0, 0.0, 1.2740253296783521e-11, 0.0, 2.473898630395155e-07, 0.0, 0.0, 0.0, 0.00012255169289754342, 5.129230373768223e-14, 0.0, 0.014816598100628076, 0.0, 6.596301282968398e-10, 0.0, 0.0, 4.143130283296159e-10, 0.003184571739470954, 1.5165246836090773e-10, 4.440892098500626e-16, 0.0, 0.0, 0.0, 0.0, 0.3140870917465759, 8.554122588044777e-08, 0.0, 4.400211528476916e-08, 0.0, 0.0, 0.00019760415200753556, 0.2436308611351028, 0.07607230496021278, 0.0, 0.0, 5.6269397807895416e-08, 0.1325636720814407, 0.0, 0.0, 0.0, 0.0, 0.01249291732880109, 0.4138242058583548, 3.1086244689504383e-15, 0.1823917028257691, 1.5602282177340498e-07, 0.0, 1.5478847159577924e-07, 0.05415445551973663, 1.7985612998927536e-14, 0.03681515311243744, 0.0, 0.014656911932209749, 4.618527782440651e-12, 0.0, 5.652145418366672e-12, 0.0, 0.0, 1.343182778335006e-07, 0.11901376049491086, 0.0, 0.0, 0.0, 0.061380116630529225, 5.164062466533892e-08, 0.0, 1.5484756542782918e-05, 7.0912165028858e-12, 0.12207116330274292, 0.0, 0.0, 0.0, 0.0, 1.658923554082037e-08, 4.69167482641808e-09, 1.212363542890671e-13, 0.0]",2.220446049250313e-16
COINBASE->BINANCE,5s,3,15,"[0.1245875250739299, 6.619228831716839e-08, 0.5377293858110677, 2.4293697993282848e-06, 2.1714714470988383e-09, 2.1728037147283885e-09, 4.285478665266851e-07, 0.9099256349593867, 1.2168044349891716e-13, 0.20890856754904918, 1.6053824936079764e-13, 1.4455103780619538e-13, 0.0020209737022880425, 0.0, 0.0, 1.5543122344752192e-15, 0.0, 0.008120936579676608, 0.0, 0.0, 1.2725131278035207e-05, 2.9656737066119376e-09, 3.3393205848941676e-05, 0.0, 3.552713678800501e-15, 0.00010238417983332582, 0.0, 0.02303826217717453, 2.220446049250313e-16, 2.383921948734269e-10, 2.220446049250313e-16, 1.8616219676914625e-11, 3.4487809041916506e-06, 0.0, 0.6535667944590378, 0.0, 0.0010066983518552952, 0.0, 0.0, 0.0007745882306060548, 0.9495152394925286, 0.00043659035167076254, 1.4123780078811876e-07, 1.6423240545293538e-10, 0.0, 0.0, 1.822986206434507e-13, 0.060442896383381406, 0.013581298978648126, 0.0, 0.009678681527659272, 5.126121749299273e-12, 0.0, 0.40338040583832613, 0.0857134658986538, 0.2665207584839242, 0.0, 1.1882117512129753e-10, 0.010978433660923104, 0.16736681828704003, 7.793765632868599e-14, 1.2741276478323016e-08, 0.0, 0.0, 0.6981745010317923, 0.0002165812033505521, 5.788573869125457e-07, 0.12085995087273638, 0.018352324877247472, 0.0, 0.01828005943532096, 1.5453201114290493e-06, 1.770682849899785e-06, 6.793467377530504e-07, 0.0, 0.6563922105030549, 5.5730110972929126e-05, 1.784974390517391e-10, 6.294055079081318e-05, 0.0, 3.716013496912751e-09, 0.017033779987259523, 9.025136529672295e-06, 1.2434497875801753e-14, 0.0, 2.731148640577885e-14, 0.3103914584300296, 0.010506954458980422, 7.105427357601002e-15, 0.1512922401401049, 7.213120022586672e-05, 0.1806721411252954, 0.0, 5.6393334446624976e-11, 3.791633673699835e-12, 0.0, 0.005826704876771505, 0.002969446798051667, 5.930498264472561e-06, 2.1365593738664757e-09]",3.94667823977457e-08
COINBASE->BINANCE,5s,5,25,"[0.0664962139659584, 0.0422927111126854, 0.005886922834712038, 6.661338147750939e-16, 0.008941488429550004, 0.008944104098363548, 0.0, 0.000496310991169091, 5.204403463832108e-05, 0.0345036169549211, 6.0871949920437984e-05, 5.7346608369757135e-05, 0.7762862768579439, 0.0, 0.0, 4.010321271508133e-06, 1.9917401061775308e-13, 0.4689144630342563, 1.910360758472507e-11, 0.0, 1.1102230246251565e-14, 0.010368337073514367, 0.4366694793254262, 0.0, 6.733619931198476e-06, 0.607504710365272, 2.220446049250313e-16, 0.2720474691556558, 1.2718428776814505e-06, 0.003031939037581477, 1.2308920733783424e-06, 0.0, 0.2036897694688251, 2.4868995751603507e-14, 0.00013450335201103947, 0.0, 0.9341305377414435, 0.0, 0.0, 0.9923597959509145, 0.0009448102951112869, 0.8842120483129499, 0.05836317886259779, 0.0025131954883292895, 0.0, 2.5624528277035097e-08, 6.538079488804804e-05, 1.5636528205575928e-07, 0.3664946175693551, 0.0, 0.43296216969467816, 0.0004112082735214795, 1.1083547524215476e-07, 0.011250149218883232, 3.655957581116809e-07, 7.47976689230434e-06, 3.081956911898942e-10, 0.002132750789129556, 0.4077600138012196, 2.0462999650305846e-06, 4.0385359737937776e-05, 0.020388651365895072, 2.4424906541753444e-15, 0.0, 0.00017189110499971072, 1.63069557856943e-12, 0.10366980947106352, 8.69807578851578e-07, 0.3111791299093849, 3.143822653317585e-07, 0.311878946388908, 4.440892098500626e-16, 0.1594149849277806, 0.0, 0.0, 0.00013664977613436768, 0.5098979821939511, 0.002621174988709951, 0.528499085262661, 0.0, 0.011532272648607567, 0.32451981966522525, 5.995204332975845e-15, 1.4048653286691248e-05, 1.0097165326072854e-09, 2.2089955659554406e-05, 1.170699851993362e-05, 0.41647796743305165, 1.0195122510658905e-05, 0.052888717074697, 0.5498869622935691, 2.515990635387766e-06, 4.7398315050628526e-08, 0.0014557003800412804, 0.00034951234799751596, 0.0, 0.5392903144759118, 0.688858707608202, 0.24694148040429065, 0.008872629317069558]",6.312637240424301e-05
COINBASE->BINANCE,5s,10,50,"[0.9834424320135295, 0.00012066626635309774, 0.3472065772604509, 3.6976199879745764e-10, 9.502889299239925e-06, 9.507289867372037e-06, 3.902145273571023e-11, 0.09509820118415035, 4.647146667480229e-09, 0.764247493564782, 5.796829904980427e-09, 5.328559149475609e-09, 0.12592443357446914, 0.0, 0.0, 1.3315992752893635e-10, 0.0, 0.27559655462285715, 0.0, 0.0, 3.269209569722875e-09, 1.2020117538424913e-05, 0.009533884835178474, 0.0, 2.706947999087106e-10, 0.019904877955277955, 0.0, 0.4739256426882872, 2.8025359810612827e-11, 1.7685828803681858e-06, 2.681499466916648e-11, 0.0, 0.0020322710537359345, 0.0, 0.04500467527732921, 0.0, 0.08329383529427181, 0.0, 0.0, 0.07108124752277889, 0.13550786981358054, 0.04997715132297831, 0.0002096062895957651, 1.3284311493055867e-06, 0.0, 1.574296248918472e-13, 6.412797848298624e-09, 0.0005981254745286435, 0.362067002658808, 0.0, 0.3028351208703073, 8.98194159049126e-08, 1.078692690725802e-12, 0.4710631853466596, 0.0010623091597139478, 0.00766377877806268, 4.440892098500626e-16, 1.0354770403342428e-06, 0.323809839253546, 0.0033250851077515353, 3.252689229071848e-09, 3.578287307703931e-05, 0.0, 0.0, 0.05194185063072809, 1.5027572031200975e-07, 0.0005783087785242724, 0.0018943462047793513, 0.42271063844638723, 4.302558309632332e-12, 0.42186416758515, 2.0506663034325356e-10, 0.0012757739688549208, 7.068035046131627e-11, 0.0, 0.045424744936225725, 0.013380575466312994, 1.4162703232400986e-06, 0.014493963935526821, 0.0, 1.4242781580131592e-05, 0.40695172628930076, 2.073806459890193e-09, 7.461746776016298e-10, 2.4424906541753444e-15, 1.399006244184875e-09, 0.01017328141858842, 0.31636494113495917, 4.790561280998418e-10, 0.9032586253631991, 0.01584714339217408, 0.003804053241201366, 3.5216274341109965e-13, 5.823181403741273e-07, 7.087991349408185e-08, 0.0, 0.22989338413588634, 0.15732451651787382, 0.0029567220532527028, 9.387328401722073e-06]",1.5924266018041422e-06
COINBASE->BYBITSPOT,5s,1,5,"[0.0, 0.0, 7.993605777301127e-15, 0.07257897727732421, 0.0, 0.0, 0.15798580055666012, 3.653521929436465e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02872677262596257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6507958641868261, 0.0, 0.0, 4.883760063023601e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 8.848477506262498e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.522073534576123e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1102230246251565e-15, 2.560118972372294e-07, 5.4360662637975565e-09, 0.0, 0.0, 0.0, 3.176411733640805e-08, 0.0, 0.0, 0.0, 0.0, 3.079536625705259e-11, 0.003345459783423932, 0.0, 9.265577349815146e-08, 0.0, 0.0, 0.0, 0.09045308331421964, 0.0, 0.13069887372141897, 0.0, 4.742095605081431e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03541174766182631, 0.0, 0.0, 0.0, 2.8243707372865856e-09, 0.0, 0.0, 0.0, 0.0, 2.4263593134676853e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
COINBASE->BYBITSPOT,5s,2,10,"[0.4330721943400482, 0.00041063348963676916, 0.07022310604755466, 8.659739592076221e-15, 2.8548079684664884e-05, 2.856210149437821e-05, 4.440892098500626e-16, 0.008676487893622964, 7.333607054960112e-09, 0.27321943604244536, 9.357724151115576e-09, 8.527988537565534e-09, 0.3429702969674895, 0.0, 0.0, 1.4253065394598252e-10, 0.0, 0.6478180521734993, 0.0, 0.0, 1.7497114868092467e-13, 3.662016128314072e-05, 0.03281760043421689, 0.0, 3.1414204570978654e-10, 0.06587339197916964, 0.0, 0.9689377121582623, 2.4986679392213773e-11, 4.74678069806167e-06, 2.3781643321285628e-11, 0.0, 0.007250262609019842, 0.0, 0.0027073107715795963, 0.0, 0.24064836762830333, 0.0, 0.0, 0.2094872046291123, 0.015198182266942917, 0.1532022728280924, 0.0007263089222024899, 3.490769375558145e-06, 0.0, 7.30526750203353e-14, 1.045920461351102e-08, 4.365008495543776e-06, 0.7971184350524645, 0.0, 0.6966044026166407, 1.8881534824544133e-07, 6.430411758628907e-13, 0.11743716056230857, 1.0066932286001418e-05, 0.00018537227267034773, 0.0, 2.6701355637648305e-06, 0.7330364540279608, 5.369074266292628e-05, 4.946608012090792e-09, 0.00011561920018388072, 0.0, 0.0, 0.0033781652933446704, 3.4899860779091796e-11, 0.002050242409401326, 2.346091339600065e-05, 0.8929595787024487, 3.0526692285093304e-12, 0.8916670805779945, 3.9968028886505635e-15, 0.004555299683218328, 8.881784197001252e-16, 0.0, 0.002746367794564719, 0.04532695053903146, 3.739426146731617e-06, 0.0488887386832364, 0.0, 4.382070385844372e-05, 0.8686928450926761, 9.370282327836321e-14, 9.693379432462734e-10, 6.661338147750939e-16, 1.945700933703165e-09, 0.0002831389992576927, 0.7202142102353055, 5.926381607679332e-10, 0.36998482423338896, 0.053185271977762794, 6.550037431773958e-05, 1.8185453143360064e-13, 1.435461610910238e-06, 1.4583564977854735e-07, 0.0, 0.5618771984239543, 0.41307890844697903, 0.010509028141494348, 2.8179984339349318e-05]",4.052217321137697e-06
COINBASE->BYBITSPOT,5s,3,15,"[0.036885884809871206, 0.02576872337347247, 0.0018511215397067904, 0.0, 0.003959063923189232, 0.00396046583897669, 0.0, 8.608596477110986e-05, 7.4543234729329555e-06, 0.01645584777089093, 9.03169943677895e-06, 8.395191599674945e-06, 0.7224492576599366, 0.0, 0.0, 3.210712691270601e-07, 4.440892098500626e-16, 0.39720645460249826, 8.859579736508749e-14, 0.0, 0.0, 0.004735843511907367, 0.40613046662629726, 0.0, 6.067713576030087e-07, 0.5921626208914859, 0.0, 0.20609279585146534, 7.827773518265246e-08, 0.0010662485698185176, 7.519032041436446e-08, 0.0, 0.1671079639193993, 0.0, 1.6988794597994072e-05, 0.0, 0.8964389596518452, 0.0, 0.0, 0.9612690614138861, 0.00019149651064531703, 0.9007159738189661, 0.03789831464970539, 0.0008487702627810734, 0.0, 6.398910290528192e-10, 9.85783006623997e-06, 3.766800649174229e-09, 0.29542430930290076, 0.0, 0.3609824759527691, 9.345474548849708e-05, 3.886792665497296e-09, 0.004125577527203106, 1.0855478516091921e-08, 4.662306134495253e-07, 2.743583138453687e-12, 0.0006951615665264921, 0.3358972067081569, 9.279698853781326e-08, 5.463057236587687e-06, 0.010716269339083873, 0.0, 0.0, 2.3046817066552094e-05, 2.4424906541753444e-15, 0.07518712683428785, 3.196486120238262e-08, 0.2424898658718695, 1.4027562666996118e-08, 0.24314916925956354, 0.0, 0.12519013110563626, 0.0, 0.0, 1.7326572377518445e-05, 0.4851623985601754, 0.0008933150665892953, 0.505425546540655, 0.0, 0.0053861162183694855, 0.2551061273787265, 0.0, 1.4964396795047463e-06, 1.1865619597983823e-11, 2.6072647452135556e-06, 8.144020737788082e-07, 0.34454468705243935, 1.0096687959038064e-06, 0.0278394138144622, 0.5288050842086107, 1.2003676563843158e-07, 1.3652430297383944e-09, 0.0004367055255176666, 7.6624668780223e-05, 0.0, 0.46944367284636823, 0.6276811495483368, 0.20946481113836324, 0.0039221880735520465]",9.44476475150946e-06
COINBASE->BYBITSPOT,5s,5,25,"[6.841051277683974e-06, 0.8544961879044299, 3.318762931137087e-08, 0.0, 0.6394534738663862, 0.6395332705661665, 0.0, 2.3508484048306855e-10, 0.03863689267764947, 1.50983289537443e-06, 0.04267592101082185, 0.041093805973786424, 0.005643096209441589, 0.0, 0.0, 0.006958773868071644, 8.460467437743091e-09, 0.001117981276705926, 4.476762685001745e-07, 0.0, 0.0, 0.6806937630041392, 0.11358265290674607, 0.0, 0.009962367658036486, 0.06048432582467278, 2.1332047239752683e-11, 0.0002364260868596979, 0.003082123782166324, 0.39000304018307386, 0.0030103100004963412, 0.0, 0.30229279765732553, 1.3308292245994835e-09, 1.9410029139521612e-11, 7.478462293875054e-13, 0.010993744371108116, 0.0, 2.886579864025407e-15, 0.013842333921413763, 8.25773227575155e-10, 0.022133265621849807, 0.7360212883089714, 0.35570610750458354, 0.0, 0.0001636628006076446, 0.04464537403883262, 2.220446049250313e-16, 0.0005430303143296733, 0.0, 0.0008814759023483276, 0.1350653007400311, 0.0005056320278851167, 1.297196308147619e-07, 4.440892098500626e-16, 9.481304630298837e-14, 4.6448035826429646e-06, 0.327729162494629, 0.0007391321901069059, 9.325873406851315e-15, 0.03284610829142376, 0.8896066586077804, 1.620263923030052e-10, 2.4997781622460025e-12, 3.0857316701826676e-11, 0.0, 0.5262284842764635, 1.9984014443252818e-15, 0.0003422870335465511, 0.0011075603745438478, 0.0003444334500195545, 0.0, 0.37899743660267715, 0.0, 0.0, 1.999822529796802e-11, 0.08635158862294467, 0.3631772178942314, 0.08063654779029883, 0.0, 0.7113680446148438, 0.0003848461438000772, 0.0, 0.016409832393728507, 1.2336693328673931e-05, 0.022170008721206225, 2.1316282072803006e-13, 0.0007863178058331588, 0.013221075210582578, 4.0073954139518975e-06, 0.07456308220454555, 1.354472090042691e-14, 0.0002637784937546961, 0.26954426570932544, 0.12303014727558326, 0.0, 0.0017135749503762732, 0.003760585207474687, 0.24684903810290426, 0.6373467535832877]",0.00036463979690981585
COINBASE->BYBITSPOT,5s,10,50,"[0.011926825177468903, 0.07154747337960199, 0.0003998137825700354, 0.0, 0.014139023636988934, 0.014143410982334848, 0.0, 1.338738070466583e-05, 5.063862889920223e-05, 0.004715317998398083, 6.0330063247571175e-05, 5.6439692241783135e-05, 0.43379322557489286, 0.0, 0.0, 2.8261484694702688e-06, 9.769962616701378e-15, 0.20263125970406204, 2.0692336732963668e-12, 0.0, 0.0, 0.01653989087484886, 0.6868849600918314, 0.0, 5.079782207983996e-06, 0.913924451780108, 0.0, 0.09068526597956095, 7.672912150091804e-07, 0.004444621469602783, 7.392421943475114e-07, 0.0, 0.34013992723402353, 8.881784197001252e-16, 2.2677553126460026e-06, 0.0, 0.5770387962713159, 0.0, 0.0, 0.6339862713191344, 3.225826574682067e-05, 0.7620251181071589, 0.09929879040736078, 0.003629395415032599, 0.0, 8.776152693457107e-09, 6.534216172981999e-05, 2.608229188183486e-10, 0.14055188380686734, 0.0, 0.1799348878787348, 0.000502679972065323, 4.7224769650355825e-08, 0.0009823895012202044, 8.089358072282948e-10, 4.595432034903979e-08, 5.275269110427416e-11, 0.003038677846044946, 0.16460244083382003, 8.079903190960636e-09, 3.8126326500131924e-05, 0.03365992067298951, 0.0, 0.0, 3.1632113719481936e-06, 0.0, 0.17649103235502173, 2.5730089170394876e-09, 0.11044159171120649, 1.5582513590572944e-07, 0.11080680224963779, 0.0, 0.2688676741143554, 0.0, 0.0, 2.3169751386387105e-06, 0.7868552364503647, 0.003798229397357966, 0.8116076521506288, 0.0, 0.01850817797752402, 0.11747409445928914, 0.0, 1.1646042316293403e-05, 2.091313788810112e-10, 1.9377276482268613e-05, 8.391757022607749e-08, 0.16985173623439498, 8.114071960330094e-06, 0.00861923317502633, 0.8397533641299924, 1.0655861082398133e-08, 1.7806817576015987e-08, 0.0020071741210638816, 0.00042020130188014093, 0.0, 0.24978560747667644, 0.36150130250907697, 0.4080234089565553, 0.01402354391836047]",2.581777111454464e-05
