window_index,coordination_index,raw_score
0,14.859392170541518,-0.19781551536027475
1,0.0,-0.2808615937540944
2,32.79789711218791,-0.09756091069311776
3,39.42412270665974,-0.06052830236984018
4,34.6588155552545,-0.08716062129138911
5,56.25376051670138,0.033529072580065065
6,67.57005994330133,0.0967735363187933
7,54.15457671812243,0.021797167243760154
8,44.12484938575701,-0.03425691038961186
9,50.12405325428837,-0.0007285971821407008
10,62.63267978706395,0.06917953685979418
11,39.62267608335482,-0.05941862849508595
12,61.50017755333457,0.0628502154310268
13,48.47343470715965,-0.009953563835547815
14,37.906433247205804,-0.06901035576615293
15,39.82501768566335,-0.05828778300862266
16,48.13062833430831,-0.01186943795657351
17,54.176747780660705,0.021921076739955952
18,78.41283783055266,0.15737158582828645
19,94.41923726118351,0.24682805125183255
20,32.03996458006219,-0.10179683930700298
21,49.69059058829649,-0.0031511306295127503
22,61.57269454499298,0.06325549794225141
23,73.04031779692646,0.1273456793333084
24,71.28152367538235,0.11751614170350513
25,50.21586131783424,-0.0002155008485281876
26,25.61475977999311,-0.1377059838668129
27,29.556932039549068,-0.11567399610098397
28,54.07413477338484,0.021347593804136387
29,64.46164621892422,0.07940125306034303
30,74.35461875325005,0.1346910363303668
31,43.9481999753302,-0.035244167514140175
32,19.85416144614224,-0.16990077994849223
33,29.775277540496493,-0.11445370812550638
34,54.602412491640806,0.024300029024936796
35,79.15242331864137,0.16150497659675336
36,50.47844803106633,0.0012520421385583773
37,33.33337542547799,-0.0945682328316479
38,26.270991115176052,-0.13403844226883802
39,34.6406157662463,-0.0872623361588197
40,46.80543225328314,-0.0192756855586912
41,51.04723577424504,0.004430879534283537
42,54.57118549196215,0.0241255077636662
43,49.62042017216463,-0.0035432986140529555
44,69.16120848077108,0.10566613735269614
45,67.0791638035317,0.09403001903096293
46,95.4380485516318,0.2525219774450459
47,62.37619044896259,0.06774607084485361
48,56.90208119417793,0.037152403143531194
49,58.27511089767866,0.04482598299695322
50,5.414598828882569,-0.25060051755032403
51,21.125093767118585,-0.16279780131049087
52,26.042848330140828,-0.13531348524459177
53,34.09252676710999,-0.09032549254278678
54,34.604231577974744,-0.08746567988357082
55,55.89964190479516,0.03154997668788072
56,64.16113896697904,0.07772178000272863
57,33.72537330019801,-0.09237743755142461
58,49.07165345449951,-0.006610242627111803
59,37.06995819035245,-0.07368524235294306
60,36.44466644595777,-0.07717986895866351
61,60.487299677985526,0.05718944987115693
62,51.29007233970733,0.00578804301855089
63,31.854346760153835,-0.1028342190225716
64,56.07655965339452,0.03253873349911612
65,69.38540029305582,0.10691909915655516
66,87.41921351464048,0.20770636214489327
67,100.0,0.2780177832802976
68,91.46148297491814,0.23029777252254463
69,32.400079036716036,-0.09978423387504516
70,44.181480643996835,-0.03394040996635438
71,44.94245024118941,-0.029687507822143435
72,58.45394735192713,0.04582546305836744
73,64.92064937538761,0.08196652704175379
