edge,tsi,significant_windows,total_windows,n_obs,environment,day,frequency
BINANCE->BITGET,0.40186915887850466,86,214,5173,Vol_High,2025-09-02,5S
COINBASE->BINANCE,0.2304147465437788,50,217,5580,Vol_High,2025-09-02,5S
COINBASE->BYBITSPOT,0.2330508474576271,55,236,6019,Vol_High,2025-09-02,5S
COINBASE->BITGET,0.28761061946902655,65,226,5907,Vol_High,2025-09-02,5S
BYBITSPOT->BINANCE,0.23113207547169812,49,212,5260,Vol_High,2025-09-02,5S
BYBITSPOT->COINBASE,0.2838983050847458,67,236,6019,Vol_High,2025-09-02,5S
BYBITSPOT->BITGET,0.21875,49,224,5606,Vol_High,2025-09-02,5S
BITGET->BINANCE,0.205607476635514,44,214,5174,Vol_High,2025-09-02,5S
BITGET->COINBASE,0.28761061946902655,65,226,5907,Vol_High,2025-09-02,5S
BITGET->BYBITSPOT,0.21238938053097345,48,226,5606,Vol_High,2025-09-02,5S
BINANCE->COINBASE,0.4178321678321678,239,572,10845,Wash_Low,2025-09-02,5S
BINANCE->BYBITSPOT,0.26024955436720143,146,561,10670,Wash_Low,2025-09-02,5S
BINANCE->BITGET,0.6730769230769231,385,572,10618,Wash_Low,2025-09-02,5S
COINBASE->BINANCE,0.44076655052264807,253,574,10865,Wash_Low,2025-09-02,5S
