edge,tsi,significant_windows,total_windows,n_obs,environment,day,frequency
COINBASE->BINANCE,0.31196581196581197,73,234,2921,Vol_Med,2025-09-02,10S
COINBASE->BYBITSPOT,0.4043478260869565,93,230,2907,Vol_Med,2025-09-02,10S
COINBASE->BITGET,0.5394190871369294,130,241,2895,Vol_Med,2025-09-02,10S
BYBITSPOT->BINANCE,0.3521739130434783,81,230,2861,Vol_Med,2025-09-02,10S
BYBITSPOT->COINBASE,0.2773109243697479,66,238,2974,Vol_Med,2025-09-02,10S
BYBITSPOT->BITGET,0.36681222707423583,84,229,2813,Vol_Med,2025-09-02,10S
BITGET->BINANCE,0.2974137931034483,69,232,2790,Vol_Med,2025-09-02,10S
BITGET->COINBASE,0.2145922746781116,50,233,2882,Vol_Med,2025-09-02,10S
BITGET->BYBITSPOT,0.34649122807017546,79,228,2754,Vol_Med,2025-09-02,10S
BINANCE->COINBASE,0.21359223300970873,44,206,2840,Vol_High,2025-09-02,10S
BINANCE->BYBITSPOT,0.37244897959183676,73,196,2690,Vol_High,2025-09-02,10S
BINANCE->BITGET,0.9278350515463918,180,194,2627,Vol_High,2025-09-02,10S
COINBASE->BINANCE,0.29901960784313725,61,204,2835,Vol_High,2025-09-02,10S
COINBASE->BYBITSPOT,0.31555555555555553,71,225,3068,Vol_High,2025-09-02,10S
COINBASE->BITGET,0.34418604651162793,74,215,2989,Vol_High,2025-09-02,10S
BYBITSPOT->BINANCE,0.275,55,200,2705,Vol_High,2025-09-02,10S
BYBITSPOT->COINBASE,0.3436123348017621,78,227,3098,Vol_High,2025-09-02,10S
BYBITSPOT->BITGET,0.2336448598130841,50,214,2908,Vol_High,2025-09-02,10S
BITGET->BINANCE,0.2755102040816326,54,196,2630,Vol_High,2025-09-02,10S
BITGET->COINBASE,0.29577464788732394,63,213,2988,Vol_High,2025-09-02,10S
BITGET->BYBITSPOT,0.26666666666666666,56,210,2880,Vol_High,2025-09-02,10S
BINANCE->COINBASE,0.3740875912408759,205,548,4647,Wash_Low,2025-09-02,10S
BINANCE->BYBITSPOT,0.39042357274401474,212,543,4561,Wash_Low,2025-09-02,10S
BINANCE->BITGET,0.7606177606177607,394,518,4361,Wash_Low,2025-09-02,10S
COINBASE->BINANCE,0.48816029143898,268,549,4669,Wash_Low,2025-09-02,10S
COINBASE->BYBITSPOT,0.3945945945945946,219,555,4900,Wash_Low,2025-09-02,10S
COINBASE->BITGET,0.47217235188509876,263,557,4763,Wash_Low,2025-09-02,10S
BYBITSPOT->BINANCE,0.4244604316546763,236,556,4714,Wash_Low,2025-09-02,10S
BYBITSPOT->COINBASE,0.3710247349823322,210,566,5010,Wash_Low,2025-09-02,10S
BYBITSPOT->BITGET,0.3945945945945946,219,555,4781,Wash_Low,2025-09-02,10S
BITGET->BINANCE,0.4096153846153846,213,520,4383,Wash_Low,2025-09-02,10S
BITGET->COINBASE,0.34900542495479203,193,553,4734,Wash_Low,2025-09-02,10S
BITGET->BYBITSPOT,0.34870848708487084,189,542,4629,Wash_Low,2025-09-02,10S
BINANCE->COINBASE,0.4897959183673469,240,490,3948,Wash_High,2025-09-02,10S
BINANCE->BYBITSPOT,0.4410569105691057,217,492,3857,Wash_High,2025-09-02,10S
BINANCE->BITGET,0.6933867735470942,346,499,4234,Wash_High,2025-09-02,10S
COINBASE->BINANCE,0.6091269841269841,307,504,3968,Wash_High,2025-09-02,10S
COINBASE->BYBITSPOT,0.5364238410596026,243,453,3540,Wash_High,2025-09-02,10S
COINBASE->BITGET,0.5791666666666667,278,480,3858,Wash_High,2025-09-02,10S
BYBITSPOT->BINANCE,0.5264227642276422,259,492,3877,Wash_High,2025-09-02,10S
BYBITSPOT->COINBASE,0.45253863134657835,205,453,3587,Wash_High,2025-09-02,10S
BYBITSPOT->BITGET,0.49390243902439024,243,492,3813,Wash_High,2025-09-02,10S
BITGET->BINANCE,0.5177865612648221,262,506,4240,Wash_High,2025-09-02,10S
BITGET->COINBASE,0.44948453608247424,218,485,3890,Wash_High,2025-09-02,10S
BITGET->BYBITSPOT,0.4094650205761317,199,486,3811,Wash_High,2025-09-02,10S
BINANCE->COINBASE,0.30244755244755245,173,572,5731,Full,2025-09-02,15S
BINANCE->BYBITSPOT,0.29411764705882354,165,561,5621,Full,2025-09-02,15S
BINANCE->BITGET,0.38286713286713286,219,572,5731,Full,2025-09-02,15S
COINBASE->BINANCE,0.3867595818815331,222,574,5760,Full,2025-09-02,15S
COINBASE->BYBITSPOT,0.33747779751332146,190,563,5641,Full,2025-09-02,15S
COINBASE->BITGET,0.367595818815331,211,574,5751,Full,2025-09-02,15S
BYBITSPOT->BINANCE,0.33797909407665505,194,574,5755,Full,2025-09-02,15S
BYBITSPOT->COINBASE,0.2665505226480836,153,574,5756,Full,2025-09-02,15S
BYBITSPOT->BITGET,0.35365853658536583,203,574,5753,Full,2025-09-02,15S
BITGET->BINANCE,0.33797909407665505,194,574,5754,Full,2025-09-02,15S
BITGET->COINBASE,0.29442508710801396,169,574,5754,Full,2025-09-02,15S
BITGET->BYBITSPOT,0.29307282415630553,165,563,5641,Full,2025-09-02,15S
BINANCE->COINBASE,0.2872340425531915,54,188,1897,Vol_Low,2025-09-02,15S
BINANCE->BYBITSPOT,0.31527093596059114,64,203,1967,Vol_Low,2025-09-02,15S
BINANCE->BITGET,0.4312796208530806,91,211,2123,Vol_Low,2025-09-02,15S
COINBASE->BINANCE,0.421875,81,192,1917,Vol_Low,2025-09-02,15S
COINBASE->BYBITSPOT,0.3588235294117647,61,170,1652,Vol_Low,2025-09-02,15S
COINBASE->BITGET,0.48633879781420764,89,183,1830,Vol_Low,2025-09-02,15S
BYBITSPOT->BINANCE,0.4019607843137255,82,204,2024,Vol_Low,2025-09-02,15S
BYBITSPOT->COINBASE,0.2742857142857143,48,175,1692,Vol_Low,2025-09-02,15S
BYBITSPOT->BITGET,0.40487804878048783,83,205,1927,Vol_Low,2025-09-02,15S
BITGET->BINANCE,0.3886255924170616,82,211,2140,Vol_Low,2025-09-02,15S
BITGET->COINBASE,0.26229508196721313,48,183,1828,Vol_Low,2025-09-02,15S
BITGET->BYBITSPOT,0.36923076923076925,72,195,1886,Vol_Low,2025-09-02,15S
BINANCE->COINBASE,0.30392156862745096,62,204,1939,Vol_Med,2025-09-02,15S
BINANCE->BYBITSPOT,0.37823834196891193,73,193,1856,Vol_Med,2025-09-02,15S
BINANCE->BITGET,0.4842105263157895,92,190,1855,Vol_Med,2025-09-02,15S
COINBASE->BINANCE,0.40384615384615385,84,208,1953,Vol_Med,2025-09-02,15S
COINBASE->BYBITSPOT,0.35384615384615387,69,195,1937,Vol_Med,2025-09-02,15S
COINBASE->BITGET,0.4030612244897959,79,196,1928,Vol_Med,2025-09-02,15S
BYBITSPOT->BINANCE,0.38578680203045684,76,197,1921,Vol_Med,2025-09-02,15S
BYBITSPOT->COINBASE,0.37185929648241206,74,199,1994,Vol_Med,2025-09-02,15S
BYBITSPOT->BITGET,0.4648648648648649,86,185,1889,Vol_Med,2025-09-02,15S
BITGET->BINANCE,0.36507936507936506,69,189,1853,Vol_Med,2025-09-02,15S
BITGET->COINBASE,0.32663316582914576,65,199,1926,Vol_Med,2025-09-02,15S
BITGET->BYBITSPOT,0.3128491620111732,56,179,1831,Vol_Med,2025-09-02,15S
BINANCE->COINBASE,0.3177083333333333,61,192,1895,Vol_High,2025-09-02,15S
BINANCE->BYBITSPOT,0.2777777777777778,50,180,1798,Vol_High,2025-09-02,15S
BINANCE->BITGET,0.3409090909090909,60,176,1753,Vol_High,2025-09-02,15S
COINBASE->BINANCE,0.38095238095238093,72,189,1890,Vol_High,2025-09-02,15S
COINBASE->BYBITSPOT,0.34299516908212563,71,207,2052,Vol_High,2025-09-02,15S
COINBASE->BITGET,0.39800995024875624,80,201,1993,Vol_High,2025-09-02,15S
BYBITSPOT->BINANCE,0.3,54,180,1810,Vol_High,2025-09-02,15S
BYBITSPOT->COINBASE,0.3160377358490566,67,212,2070,Vol_High,2025-09-02,15S
BYBITSPOT->BITGET,0.3401015228426396,67,197,1937,Vol_High,2025-09-02,15S
BITGET->BINANCE,0.3220338983050847,57,177,1761,Vol_High,2025-09-02,15S
BITGET->COINBASE,0.3564356435643564,72,202,2000,Vol_High,2025-09-02,15S
BITGET->BYBITSPOT,0.3697916666666667,71,192,1924,Vol_High,2025-09-02,15S
BINANCE->COINBASE,0.3053571428571429,171,560,4279,Wash_Low,2025-09-02,15S
BINANCE->BYBITSPOT,0.3834862385321101,209,545,4137,Wash_Low,2025-09-02,15S
BINANCE->BITGET,0.4399260628465804,238,541,3958,Wash_Low,2025-09-02,15S
COINBASE->BINANCE,0.44665461121157324,247,553,4284,Wash_Low,2025-09-02,15S
COINBASE->BYBITSPOT,0.4221014492753623,233,552,4345,Wash_Low,2025-09-02,15S
COINBASE->BITGET,0.42907801418439717,242,564,4355,Wash_Low,2025-09-02,15S
BYBITSPOT->BINANCE,0.4249084249084249,232,546,4134,Wash_Low,2025-09-02,15S
BYBITSPOT->COINBASE,0.39928698752228164,224,561,4376,Wash_Low,2025-09-02,15S
BYBITSPOT->BITGET,0.4537205081669691,250,551,4199,Wash_Low,2025-09-02,15S
BITGET->BINANCE,0.44360902255639095,236,532,3983,Wash_Low,2025-09-02,15S
BITGET->COINBASE,0.3435251798561151,191,556,4353,Wash_Low,2025-09-02,15S
BITGET->BYBITSPOT,0.3974121996303142,215,541,4161,Wash_Low,2025-09-02,15S
BINANCE->COINBASE,0.48,12,25,1452,Wash_High,2025-09-02,15S
BINANCE->BYBITSPOT,0.45454545454545453,15,33,1484,Wash_High,2025-09-02,15S
BINANCE->BITGET,0.5614035087719298,32,57,1773,Wash_High,2025-09-02,15S
COINBASE->BINANCE,0.7647058823529411,26,34,1476,Wash_High,2025-09-02,15S
COINBASE->BYBITSPOT,0.6666666666666666,14,21,1296,Wash_High,2025-09-02,15S
COINBASE->BITGET,0.75,18,24,1396,Wash_High,2025-09-02,15S
BYBITSPOT->BINANCE,0.5098039215686274,26,51,1621,Wash_High,2025-09-02,15S
BYBITSPOT->COINBASE,0.34615384615384615,9,26,1380,Wash_High,2025-09-02,15S
BYBITSPOT->BITGET,0.6304347826086957,29,46,1554,Wash_High,2025-09-02,15S
BITGET->BINANCE,0.5454545454545454,42,77,1771,Wash_High,2025-09-02,15S
BITGET->COINBASE,0.5172413793103449,15,29,1401,Wash_High,2025-09-02,15S
BITGET->BYBITSPOT,0.4090909090909091,18,44,1480,Wash_High,2025-09-02,15S
BINANCE->COINBASE,0.28496503496503495,163,572,2866,Full,2025-09-02,30S
BINANCE->BYBITSPOT,0.31194295900178254,175,561,2811,Full,2025-09-02,30S
BINANCE->BITGET,0.38070175438596493,217,570,2866,Full,2025-09-02,30S
COINBASE->BINANCE,0.4425087108013937,254,574,2880,Full,2025-09-02,30S
COINBASE->BYBITSPOT,0.33037300177619894,186,563,2821,Full,2025-09-02,30S
COINBASE->BITGET,0.4125874125874126,236,572,2876,Full,2025-09-02,30S
BYBITSPOT->BINANCE,0.3519163763066202,202,574,2880,Full,2025-09-02,30S
BYBITSPOT->COINBASE,0.3170731707317073,182,574,2880,Full,2025-09-02,30S
BYBITSPOT->BITGET,0.38286713286713286,219,572,2879,Full,2025-09-02,30S
BITGET->BINANCE,0.3929824561403509,224,570,2878,Full,2025-09-02,30S
BITGET->COINBASE,0.30823117338003503,176,571,2878,Full,2025-09-02,30S
BITGET->BYBITSPOT,0.295169946332737,165,559,2822,Full,2025-09-02,30S
BINANCE->COINBASE,0.3023255813953488,39,129,951,Vol_Low,2025-09-02,30S
BINANCE->BYBITSPOT,0.3358208955223881,45,134,982,Vol_Low,2025-09-02,30S
BINANCE->BITGET,0.43478260869565216,60,138,1064,Vol_Low,2025-09-02,30S
COINBASE->BINANCE,0.5074626865671642,68,134,961,Vol_Low,2025-09-02,30S
COINBASE->BYBITSPOT,0.44339622641509435,47,106,821,Vol_Low,2025-09-02,30S
COINBASE->BITGET,0.5537190082644629,67,121,909,Vol_Low,2025-09-02,30S
BYBITSPOT->BINANCE,0.41304347826086957,57,138,1016,Vol_Low,2025-09-02,30S
BYBITSPOT->COINBASE,0.33636363636363636,37,110,844,Vol_Low,2025-09-02,30S
BYBITSPOT->BITGET,0.44166666666666665,53,120,966,Vol_Low,2025-09-02,30S
BITGET->BINANCE,0.4892086330935252,68,139,1074,Vol_Low,2025-09-02,30S
BITGET->COINBASE,0.29508196721311475,36,122,919,Vol_Low,2025-09-02,30S
BITGET->BYBITSPOT,0.3103448275862069,36,116,939,Vol_Low,2025-09-02,30S
BINANCE->COINBASE,0.23655913978494625,22,93,965,Vol_Med,2025-09-02,30S
BINANCE->BYBITSPOT,0.25287356321839083,22,87,929,Vol_Med,2025-09-02,30S
BINANCE->BITGET,0.3770491803278688,23,61,925,Vol_Med,2025-09-02,30S
COINBASE->BINANCE,0.3723404255319149,35,94,971,Vol_Med,2025-09-02,30S
COINBASE->BYBITSPOT,0.41935483870967744,39,93,972,Vol_Med,2025-09-02,30S
COINBASE->BITGET,0.3333333333333333,31,93,973,Vol_Med,2025-09-02,30S
BYBITSPOT->BINANCE,0.4065934065934066,37,91,962,Vol_Med,2025-09-02,30S
BYBITSPOT->COINBASE,0.43564356435643564,44,101,992,Vol_Med,2025-09-02,30S
BYBITSPOT->BITGET,0.4024390243902439,33,82,944,Vol_Med,2025-09-02,30S
BITGET->BINANCE,0.3333333333333333,20,60,927,Vol_Med,2025-09-02,30S
BITGET->COINBASE,0.2289156626506024,19,83,965,Vol_Med,2025-09-02,30S
BITGET->BYBITSPOT,0.25925925925925924,21,81,920,Vol_Med,2025-09-02,30S
BINANCE->COINBASE,0.3108108108108108,46,148,950,Vol_High,2025-09-02,30S
BINANCE->BYBITSPOT,0.2517985611510791,35,139,900,Vol_High,2025-09-02,30S
BINANCE->BITGET,0.21367521367521367,25,117,877,Vol_High,2025-09-02,30S
COINBASE->BINANCE,0.3422818791946309,51,149,948,Vol_High,2025-09-02,30S
COINBASE->BYBITSPOT,0.3333333333333333,52,156,1028,Vol_High,2025-09-02,30S
COINBASE->BITGET,0.4025974025974026,62,154,994,Vol_High,2025-09-02,30S
BYBITSPOT->BINANCE,0.3358208955223881,45,134,902,Vol_High,2025-09-02,30S
BYBITSPOT->COINBASE,0.3057324840764331,48,157,1044,Vol_High,2025-09-02,30S
BYBITSPOT->BITGET,0.3197278911564626,47,147,969,Vol_High,2025-09-02,30S
BITGET->BINANCE,0.20512820512820512,24,117,877,Vol_High,2025-09-02,30S
BITGET->COINBASE,0.31210191082802546,49,157,994,Vol_High,2025-09-02,30S
BITGET->BYBITSPOT,0.2896551724137931,42,145,963,Vol_High,2025-09-02,30S
BINANCE->COINBASE,0.3888888888888889,7,18,1657,Wash_Low,2025-09-02,30S
BINANCE->BYBITSPOT,0.3333333333333333,2,6,1561,Wash_Low,2025-09-02,30S
BINANCE->BITGET,0.5555555555555556,5,9,1448,Wash_Low,2025-09-02,30S
COINBASE->BINANCE,0.35294117647058826,6,17,1636,Wash_Low,2025-09-02,30S
COINBASE->BYBITSPOT,0.47368421052631576,9,19,1736,Wash_Low,2025-09-02,30S
COINBASE->BITGET,0.4666666666666667,7,15,1683,Wash_Low,2025-09-02,30S
BYBITSPOT->BINANCE,0.4,2,5,1550,Wash_Low,2025-09-02,30S
BYBITSPOT->COINBASE,0.3,3,10,1720,Wash_Low,2025-09-02,30S
BYBITSPOT->BITGET,0.2,1,5,1584,Wash_Low,2025-09-02,30S
BITGET->BINANCE,0.25,2,8,1443,Wash_Low,2025-09-02,30S
BITGET->COINBASE,0.38095238095238093,8,21,1701,Wash_Low,2025-09-02,30S
BITGET->BYBITSPOT,0.375,3,8,1580,Wash_Low,2025-09-02,30S
BINANCE->COINBASE,0.0,0,1,1209,Wash_High,2025-09-02,30S
BINANCE->BYBITSPOT,0.0,0,1,1250,Wash_High,2025-09-02,30S
BINANCE->BITGET,0.0,0,2,1418,Wash_High,2025-09-02,30S
COINBASE->BINANCE,0.3333333333333333,1,3,1244,Wash_High,2025-09-02,30S
COINBASE->BYBITSPOT,0.5,1,2,1085,Wash_High,2025-09-02,30S
COINBASE->BITGET,0.0,0,1,1193,Wash_High,2025-09-02,30S
BYBITSPOT->BINANCE,0.3333333333333333,1,3,1330,Wash_High,2025-09-02,30S
BYBITSPOT->COINBASE,0.6666666666666666,2,3,1160,Wash_High,2025-09-02,30S
BYBITSPOT->BITGET,0.0,0,1,1295,Wash_High,2025-09-02,30S
BITGET->BINANCE,0.5,4,8,1435,Wash_High,2025-09-02,30S
BITGET->COINBASE,0.5,1,2,1177,Wash_High,2025-09-02,30S
BITGET->BYBITSPOT,0.4,2,5,1242,Wash_High,2025-09-02,30S
BINANCE->COINBASE,0.2574430823117338,147,571,17083,Full,2025-09-03,1S
BINANCE->BYBITSPOT,0.20863309352517986,116,556,16211,Full,2025-09-03,1S
BINANCE->BITGET,0.24022346368715083,129,537,15230,Full,2025-09-03,1S
COINBASE->BINANCE,0.289198606271777,166,574,17112,Full,2025-09-03,1S
COINBASE->BYBITSPOT,0.26654740608228983,149,559,16125,Full,2025-09-03,1S
COINBASE->BITGET,0.30241187384044527,163,539,15142,Full,2025-09-03,1S
BYBITSPOT->BINANCE,0.24041811846689895,138,574,16211,Full,2025-09-03,1S
BYBITSPOT->COINBASE,0.18641114982578397,107,574,16125,Full,2025-09-03,1S
BYBITSPOT->BITGET,0.2857142857142857,158,553,14740,Full,2025-09-03,1S
BITGET->BINANCE,0.22473867595818817,129,574,15230,Full,2025-09-03,1S
BITGET->COINBASE,0.22125435540069685,127,574,15142,Full,2025-09-03,1S
BITGET->BYBITSPOT,0.22822299651567945,131,574,14740,Full,2025-09-03,1S
BINANCE->COINBASE,0.21132075471698114,56,265,6242,Vol_Low,2025-09-03,1S
BINANCE->BYBITSPOT,0.16783216783216784,48,286,6407,Vol_Low,2025-09-03,1S
BINANCE->BITGET,0.30952380952380953,78,252,5336,Vol_Low,2025-09-03,1S
COINBASE->BINANCE,0.37358490566037733,99,265,6268,Vol_Low,2025-09-03,1S
COINBASE->BYBITSPOT,0.3125,70,224,4792,Vol_Low,2025-09-03,1S
COINBASE->BITGET,0.37745098039215685,77,204,4099,Vol_Low,2025-09-03,1S
BYBITSPOT->BINANCE,0.32653061224489793,96,294,6394,Vol_Low,2025-09-03,1S
BYBITSPOT->COINBASE,0.21367521367521367,50,234,4790,Vol_Low,2025-09-03,1S
BYBITSPOT->BITGET,0.34801762114537443,79,227,4645,Vol_Low,2025-09-03,1S
BITGET->BINANCE,0.2873134328358209,77,268,5327,Vol_Low,2025-09-03,1S
BITGET->COINBASE,0.271889400921659,59,217,4099,Vol_Low,2025-09-03,1S
BITGET->BYBITSPOT,0.24152542372881355,57,236,4632,Vol_Low,2025-09-03,1S
BINANCE->COINBASE,0.33797909407665505,97,287,5480,Vol_Med,2025-09-03,1S
BINANCE->BYBITSPOT,0.3087719298245614,88,285,5091,Vol_Med,2025-09-03,1S
BINANCE->BITGET,0.27835051546391754,81,291,5299,Vol_Med,2025-09-03,1S
COINBASE->BINANCE,0.37943262411347517,107,282,5489,Vol_Med,2025-09-03,1S
COINBASE->BYBITSPOT,0.3894736842105263,111,285,5354,Vol_Med,2025-09-03,1S
COINBASE->BITGET,0.34915254237288135,103,295,5369,Vol_Med,2025-09-03,1S
BYBITSPOT->BINANCE,0.3620689655172414,105,290,5104,Vol_Med,2025-09-03,1S
BYBITSPOT->COINBASE,0.25,71,284,5356,Vol_Med,2025-09-03,1S
BYBITSPOT->BITGET,0.3210332103321033,87,271,4899,Vol_Med,2025-09-03,1S
BITGET->BINANCE,0.28013029315960913,86,307,5308,Vol_Med,2025-09-03,1S
BITGET->COINBASE,0.24482758620689654,71,290,5369,Vol_Med,2025-09-03,1S
BITGET->BYBITSPOT,0.28363636363636363,78,275,4912,Vol_Med,2025-09-03,1S
BINANCE->COINBASE,0.29515418502202645,67,227,5361,Vol_High,2025-09-03,1S
BINANCE->BYBITSPOT,0.3194444444444444,69,216,4713,Vol_High,2025-09-03,1S
BINANCE->BITGET,0.29850746268656714,60,201,4595,Vol_High,2025-09-03,1S
COINBASE->BINANCE,0.2807017543859649,64,228,5355,Vol_High,2025-09-03,1S
COINBASE->BYBITSPOT,0.27165354330708663,69,254,5979,Vol_High,2025-09-03,1S
COINBASE->BITGET,0.3020408163265306,74,245,5674,Vol_High,2025-09-03,1S
BYBITSPOT->BINANCE,0.29107981220657275,62,213,4713,Vol_High,2025-09-03,1S
BYBITSPOT->COINBASE,0.22745098039215686,58,255,5979,Vol_High,2025-09-03,1S
BYBITSPOT->BITGET,0.24444444444444444,55,225,5196,Vol_High,2025-09-03,1S
BITGET->BINANCE,0.2727272727272727,57,209,4595,Vol_High,2025-09-03,1S
BITGET->COINBASE,0.24609375,63,256,5674,Vol_High,2025-09-03,1S
BITGET->BYBITSPOT,0.24336283185840707,55,226,5196,Vol_High,2025-09-03,1S
BINANCE->COINBASE,0.37653239929947463,215,571,10465,Wash_Low,2025-09-03,1S
BINANCE->BYBITSPOT,0.29676258992805754,165,556,10035,Wash_Low,2025-09-03,1S
BINANCE->BITGET,0.3240223463687151,174,537,9197,Wash_Low,2025-09-03,1S
COINBASE->BINANCE,0.42857142857142855,246,574,10478,Wash_Low,2025-09-03,1S
COINBASE->BYBITSPOT,0.2992831541218638,167,558,10590,Wash_Low,2025-09-03,1S
COINBASE->BITGET,0.38404452690166974,207,539,9753,Wash_Low,2025-09-03,1S
BYBITSPOT->BINANCE,0.3606271777003484,207,574,10035,Wash_Low,2025-09-03,1S
BYBITSPOT->COINBASE,0.2700348432055749,155,574,10590,Wash_Low,2025-09-03,1S
BYBITSPOT->BITGET,0.31103074141048825,172,553,9356,Wash_Low,2025-09-03,1S
BITGET->BINANCE,0.30313588850174217,174,574,9197,Wash_Low,2025-09-03,1S
BITGET->COINBASE,0.259581881533101,149,574,9753,Wash_Low,2025-09-03,1S
BITGET->BYBITSPOT,0.2931937172774869,168,573,9356,Wash_Low,2025-09-03,1S
BINANCE->COINBASE,0.6690017513134852,382,571,6618,Wash_High,2025-09-03,1S
BINANCE->BYBITSPOT,0.5884476534296029,326,554,6176,Wash_High,2025-09-03,1S
BINANCE->BITGET,0.6604127579737336,352,533,6033,Wash_High,2025-09-03,1S
COINBASE->BINANCE,0.8248686514886164,471,571,6634,Wash_High,2025-09-03,1S
COINBASE->BYBITSPOT,0.8144144144144144,452,555,5535,Wash_High,2025-09-03,1S
COINBASE->BITGET,0.8424015009380863,449,533,5389,Wash_High,2025-09-03,1S
BYBITSPOT->BINANCE,0.7530647985989493,430,571,6176,Wash_High,2025-09-03,1S
BYBITSPOT->COINBASE,0.702276707530648,401,571,5535,Wash_High,2025-09-03,1S
BYBITSPOT->BITGET,0.7652495378927912,414,541,5384,Wash_High,2025-09-03,1S
BITGET->BINANCE,0.6841155234657039,379,554,6033,Wash_High,2025-09-03,1S
BITGET->COINBASE,0.644808743169399,354,549,5389,Wash_High,2025-09-03,1S
BITGET->BYBITSPOT,0.6838235294117647,372,544,5384,Wash_High,2025-09-03,1S
BINANCE->COINBASE,0.2574430823117338,147,571,17083,Full,2025-09-03,2S
BINANCE->BYBITSPOT,0.20863309352517986,116,556,16211,Full,2025-09-03,2S
BINANCE->BITGET,0.24022346368715083,129,537,15230,Full,2025-09-03,2S
COINBASE->BINANCE,0.289198606271777,166,574,17112,Full,2025-09-03,2S
COINBASE->BYBITSPOT,0.26654740608228983,149,559,16125,Full,2025-09-03,2S
COINBASE->BITGET,0.30241187384044527,163,539,15142,Full,2025-09-03,2S
BYBITSPOT->BINANCE,0.24041811846689895,138,574,16211,Full,2025-09-03,2S
BYBITSPOT->COINBASE,0.18641114982578397,107,574,16125,Full,2025-09-03,2S
BYBITSPOT->BITGET,0.2857142857142857,158,553,14740,Full,2025-09-03,2S
BITGET->BINANCE,0.22473867595818817,129,574,15230,Full,2025-09-03,2S
BITGET->COINBASE,0.22125435540069685,127,574,15142,Full,2025-09-03,2S
BITGET->BYBITSPOT,0.22822299651567945,131,574,14740,Full,2025-09-03,2S
BINANCE->COINBASE,0.21132075471698114,56,265,6242,Vol_Low,2025-09-03,2S
BINANCE->BYBITSPOT,0.16783216783216784,48,286,6407,Vol_Low,2025-09-03,2S
BINANCE->BITGET,0.30952380952380953,78,252,5336,Vol_Low,2025-09-03,2S
COINBASE->BINANCE,0.37358490566037733,99,265,6268,Vol_Low,2025-09-03,2S
COINBASE->BYBITSPOT,0.3125,70,224,4792,Vol_Low,2025-09-03,2S
COINBASE->BITGET,0.37745098039215685,77,204,4099,Vol_Low,2025-09-03,2S
BYBITSPOT->BINANCE,0.32653061224489793,96,294,6394,Vol_Low,2025-09-03,2S
BYBITSPOT->COINBASE,0.21367521367521367,50,234,4790,Vol_Low,2025-09-03,2S
BYBITSPOT->BITGET,0.34801762114537443,79,227,4645,Vol_Low,2025-09-03,2S
BITGET->BINANCE,0.2873134328358209,77,268,5327,Vol_Low,2025-09-03,2S
BITGET->COINBASE,0.271889400921659,59,217,4099,Vol_Low,2025-09-03,2S
BITGET->BYBITSPOT,0.24152542372881355,57,236,4632,Vol_Low,2025-09-03,2S
BINANCE->COINBASE,0.33797909407665505,97,287,5480,Vol_Med,2025-09-03,2S
BINANCE->BYBITSPOT,0.3087719298245614,88,285,5091,Vol_Med,2025-09-03,2S
BINANCE->BITGET,0.27835051546391754,81,291,5299,Vol_Med,2025-09-03,2S
COINBASE->BINANCE,0.37943262411347517,107,282,5489,Vol_Med,2025-09-03,2S
COINBASE->BYBITSPOT,0.3894736842105263,111,285,5354,Vol_Med,2025-09-03,2S
COINBASE->BITGET,0.34915254237288135,103,295,5369,Vol_Med,2025-09-03,2S
BYBITSPOT->BINANCE,0.3620689655172414,105,290,5104,Vol_Med,2025-09-03,2S
BYBITSPOT->COINBASE,0.25,71,284,5356,Vol_Med,2025-09-03,2S
BYBITSPOT->BITGET,0.3210332103321033,87,271,4899,Vol_Med,2025-09-03,2S
BITGET->BINANCE,0.28013029315960913,86,307,5308,Vol_Med,2025-09-03,2S
BITGET->COINBASE,0.24482758620689654,71,290,5369,Vol_Med,2025-09-03,2S
BITGET->BYBITSPOT,0.28363636363636363,78,275,4912,Vol_Med,2025-09-03,2S
BINANCE->COINBASE,0.29515418502202645,67,227,5361,Vol_High,2025-09-03,2S
BINANCE->BYBITSPOT,0.3194444444444444,69,216,4713,Vol_High,2025-09-03,2S
BINANCE->BITGET,0.29850746268656714,60,201,4595,Vol_High,2025-09-03,2S
COINBASE->BINANCE,0.2807017543859649,64,228,5355,Vol_High,2025-09-03,2S
COINBASE->BYBITSPOT,0.27165354330708663,69,254,5979,Vol_High,2025-09-03,2S
COINBASE->BITGET,0.3020408163265306,74,245,5674,Vol_High,2025-09-03,2S
BYBITSPOT->BINANCE,0.29107981220657275,62,213,4713,Vol_High,2025-09-03,2S
BYBITSPOT->COINBASE,0.22745098039215686,58,255,5979,Vol_High,2025-09-03,2S
BYBITSPOT->BITGET,0.24444444444444444,55,225,5196,Vol_High,2025-09-03,2S
BITGET->BINANCE,0.2727272727272727,57,209,4595,Vol_High,2025-09-03,2S
BITGET->COINBASE,0.24609375,63,256,5674,Vol_High,2025-09-03,2S
BITGET->BYBITSPOT,0.24336283185840707,55,226,5196,Vol_High,2025-09-03,2S
BINANCE->COINBASE,0.37653239929947463,215,571,10465,Wash_Low,2025-09-03,2S
BINANCE->BYBITSPOT,0.29676258992805754,165,556,10035,Wash_Low,2025-09-03,2S
BINANCE->BITGET,0.3240223463687151,174,537,9197,Wash_Low,2025-09-03,2S
COINBASE->BINANCE,0.42857142857142855,246,574,10478,Wash_Low,2025-09-03,2S
