day,frequency,edge,delta_vol,delta_wash,delta_vol_p,delta_wash_p,vol_high_tsi,vol_low_tsi,wash_high_tsi,wash_low_tsi
2025-09-01,1S,BINANCE->COINBASE,-0.015643224699828484,0.0805351537688318,0.8756923206228087,0.4206168491029201,0.569811320754717,0.5854545454545454,0.8780918727915195,0.7975567190226877
2025-09-01,1S,BINANCE->BYBITSPOT,0.08366835438779457,0.48329768134764506,0.40277047152074896,1.3450645828250174e-06,0.3438914027149321,0.26022304832713755,0.7971274685816876,0.31382978723404253
2025-09-01,1S,BINANCE->BITGET,0.015252427678072111,0.5111341241448566,0.8787734443371384,3.198795777148433e-07,0.26244343891402716,0.24719101123595505,0.7907801418439716,0.27964601769911507
2025-09-01,1S,COINBASE->BINANCE,0.03892649903288198,0.43818557233191374,0.6970801316327251,1.1767272562357434e-05,0.2765151515151515,0.2375886524822695,0.9312169312169312,0.4930313588850174
2025-09-01,1S,COINBASE->BYBITSPOT,-0.046001631986944125,0.6196133128126202,0.6455045064592786,5.786717771627536e-10,0.28294573643410853,0.32894736842105265,0.9293478260869565,0.30973451327433627
2025-09-01,1S,COINBASE->BITGET,-0.03762873914724596,0.6145898110499881,0.7067032518420695,7.951230784897234e-10,0.26053639846743293,0.2981651376146789,0.9243243243243243,0.30973451327433627
2025-09-01,1S,BYBITSPOT->BINANCE,-0.06745003996802557,0.5810289865816591,0.49999323171114507,6.236476668419755e-09,0.2311111111111111,0.29856115107913667,0.851063829787234,0.2700348432055749
2025-09-01,1S,BYBITSPOT->COINBASE,0.009370015948963334,0.6071613907628438,0.925347343581771,1.2663108339694418e-09,0.24621212121212122,0.23684210526315788,0.851063829787234,0.24390243902439024
2025-09-01,1S,BYBITSPOT->BITGET,0.08086339690317207,0.5688416336079118,0.4187257196403462,1.2822290562652938e-08,0.34156378600823045,0.2607003891050584,0.8650088809946714,0.2961672473867596
2025-09-01,1S,BITGET->BINANCE,0.03909090909090909,0.5303794919360252,0.6958644340220195,1.1341972827594304e-07,0.2863636363636364,0.24727272727272728,0.8126094570928196,0.28222996515679444
2025-09-01,1S,BITGET->COINBASE,0.06551606288448394,0.575493612078978,0.5123643401026325,8.66745630823118e-09,0.2518796992481203,0.18636363636363637,0.8333333333333334,0.2578397212543554
2025-09-01,1S,BITGET->BYBITSPOT,0.06565295454184344,0.5177862409853334,0.5114834638995156,2.2444265557197696e-07,0.31275720164609055,0.2471042471042471,0.813953488372093,0.2961672473867596
2025-09-01,2S,BINANCE->COINBASE,-0.015643224699828484,0.0805351537688318,0.8756923206228087,0.4206168491029201,0.569811320754717,0.5854545454545454,0.8780918727915195,0.7975567190226877
2025-09-01,2S,BINANCE->BYBITSPOT,0.08366835438779457,0.48329768134764506,0.40277047152074896,1.3450645828250174e-06,0.3438914027149321,0.26022304832713755,0.7971274685816876,0.31382978723404253
2025-09-01,2S,BINANCE->BITGET,0.015252427678072111,0.5111341241448566,0.8787734443371384,3.198795777148433e-07,0.26244343891402716,0.24719101123595505,0.7907801418439716,0.27964601769911507
2025-09-01,2S,COINBASE->BINANCE,0.03892649903288198,0.43818557233191374,0.6970801316327251,1.1767272562357434e-05,0.2765151515151515,0.2375886524822695,0.9312169312169312,0.4930313588850174
2025-09-01,2S,COINBASE->BYBITSPOT,-0.046001631986944125,0.6196133128126202,0.6455045064592786,5.786717771627536e-10,0.28294573643410853,0.32894736842105265,0.9293478260869565,0.30973451327433627
2025-09-01,2S,COINBASE->BITGET,-0.03762873914724596,0.6145898110499881,0.7067032518420695,7.951230784897234e-10,0.26053639846743293,0.2981651376146789,0.9243243243243243,0.30973451327433627
2025-09-01,2S,BYBITSPOT->BINANCE,-0.06745003996802557,0.5810289865816591,0.49999323171114507,6.236476668419755e-09,0.2311111111111111,0.29856115107913667,0.851063829787234,0.2700348432055749
2025-09-01,2S,BYBITSPOT->COINBASE,0.009370015948963334,0.6071613907628438,0.925347343581771,1.2663108339694418e-09,0.24621212121212122,0.23684210526315788,0.851063829787234,0.24390243902439024
2025-09-01,2S,BYBITSPOT->BITGET,0.08086339690317207,0.5688416336079118,0.4187257196403462,1.2822290562652938e-08,0.34156378600823045,0.2607003891050584,0.8650088809946714,0.2961672473867596
2025-09-01,2S,BITGET->BINANCE,0.03909090909090909,0.5303794919360252,0.6958644340220195,1.1341972827594304e-07,0.2863636363636364,0.24727272727272728,0.8126094570928196,0.28222996515679444
2025-09-01,2S,BITGET->COINBASE,0.06551606288448394,0.575493612078978,0.5123643401026325,8.66745630823118e-09,0.2518796992481203,0.18636363636363637,0.8333333333333334,0.2578397212543554
2025-09-01,2S,BITGET->BYBITSPOT,0.06565295454184344,0.5177862409853334,0.5114834638995156,2.2444265557197696e-07,0.31275720164609055,0.2471042471042471,0.813953488372093,0.2961672473867596
2025-09-01,5S,BINANCE->COINBASE,-0.015643224699828484,0.0805351537688318,0.8756923206228087,0.4206168491029201,0.569811320754717,0.5854545454545454,0.8780918727915195,0.7975567190226877
2025-09-01,5S,BINANCE->BYBITSPOT,0.08366835438779457,0.48329768134764506,0.40277047152074896,1.3450645828250174e-06,0.3438914027149321,0.26022304832713755,0.7971274685816876,0.31382978723404253
2025-09-01,5S,BINANCE->BITGET,0.015252427678072111,0.5111341241448566,0.8787734443371384,3.198795777148433e-07,0.26244343891402716,0.24719101123595505,0.7907801418439716,0.27964601769911507
2025-09-01,5S,COINBASE->BINANCE,0.03892649903288198,0.43818557233191374,0.6970801316327251,1.1767272562357434e-05,0.2765151515151515,0.2375886524822695,0.9312169312169312,0.4930313588850174
2025-09-01,5S,COINBASE->BYBITSPOT,-0.046001631986944125,0.6196133128126202,0.6455045064592786,5.786717771627536e-10,0.28294573643410853,0.32894736842105265,0.9293478260869565,0.30973451327433627
2025-09-01,5S,COINBASE->BITGET,-0.03762873914724596,0.6145898110499881,0.7067032518420695,7.951230784897234e-10,0.26053639846743293,0.2981651376146789,0.9243243243243243,0.30973451327433627
2025-09-01,5S,BYBITSPOT->BINANCE,-0.06745003996802557,0.5810289865816591,0.49999323171114507,6.236476668419755e-09,0.2311111111111111,0.29856115107913667,0.851063829787234,0.2700348432055749
2025-09-01,5S,BYBITSPOT->COINBASE,0.009370015948963334,0.6071613907628438,0.925347343581771,1.2663108339694418e-09,0.24621212121212122,0.23684210526315788,0.851063829787234,0.24390243902439024
2025-09-01,5S,BYBITSPOT->BITGET,0.08086339690317207,0.5688416336079118,0.4187257196403462,1.2822290562652938e-08,0.34156378600823045,0.2607003891050584,0.8650088809946714,0.2961672473867596
2025-09-01,5S,BITGET->BINANCE,0.03909090909090909,0.5303794919360252,0.6958644340220195,1.1341972827594304e-07,0.2863636363636364,0.24727272727272728,0.8126094570928196,0.28222996515679444
2025-09-01,5S,BITGET->COINBASE,0.06551606288448394,0.575493612078978,0.5123643401026325,8.66745630823118e-09,0.2518796992481203,0.18636363636363637,0.8333333333333334,0.2578397212543554
2025-09-01,5S,BITGET->BYBITSPOT,0.06565295454184344,0.5177862409853334,0.5114834638995156,2.2444265557197696e-07,0.31275720164609055,0.2471042471042471,0.813953488372093,0.2961672473867596
2025-09-01,10S,BINANCE->COINBASE,0.027231121281464543,0.06322687421721235,0.7853827353102407,0.5272112850404826,0.39565217391304347,0.3684210526315789,0.5288065843621399,0.46557971014492755
2025-09-01,10S,BINANCE->BYBITSPOT,0.0551716873815041,0.07112396871316834,0.5811423473146409,0.4769357191079857,0.30198019801980197,0.24680851063829787,0.4627450980392157,0.39162112932604737
2025-09-01,10S,BINANCE->BITGET,0.10279519331243472,0.02952783675949805,0.3039724386480551,0.7677812403439501,0.3484848484848485,0.24568965517241378,0.4324853228962818,0.4029574861367837
2025-09-01,10S,COINBASE->BINANCE,-0.000770780415170369,0.12733437890273308,0.9938501229640071,0.20289607449477787,0.31759656652360513,0.3183673469387755,0.6092184368737475,0.48188405797101447
2025-09-01,10S,COINBASE->BYBITSPOT,-0.05582871446450921,0.14569711174665018,0.5766483218439107,0.14512435307075644,0.28991596638655465,0.34574468085106386,0.5249457700650759,0.37924865831842575
2025-09-01,10S,COINBASE->BITGET,-0.04188034188034184,0.14321043249835824,0.6753598060702752,0.15211396689972356,0.3247863247863248,0.36666666666666664,0.5621052631578948,0.41889483065953653
2025-09-01,10S,BYBITSPOT->BINANCE,0.03510638297872337,0.11476731910769605,0.725540462699289,0.25110350243670343,0.35,0.3148936170212766,0.5300970873786408,0.41532976827094475
2025-09-01,10S,BYBITSPOT->COINBASE,0.011172205305702176,0.07624742748417657,0.9110437929875663,0.4457769911396865,0.3305439330543933,0.3193717277486911,0.3978021978021978,0.3215547703180212
2025-09-01,10S,BYBITSPOT->BITGET,0.0638213003589948,0.10256439680827462,0.5233350335634652,0.3050594345582256,0.38990825688073394,0.32608695652173914,0.5214592274678111,0.41889483065953653
2025-09-01,10S,BITGET->BINANCE,-0.00894708128750682,0.05489228007181324,0.9287077484867392,0.5830584300914285,0.29743589743589743,0.30638297872340425,0.475,0.42010771992818674
2025-09-01,10S,BITGET->COINBASE,0.044789049640474754,0.017224991393117506,0.6542322274785297,0.8632410586093715,0.3025210084033613,0.25773195876288657,0.38675213675213677,0.36952714535901926
2025-09-01,10S,BITGET->BYBITSPOT,0.07220123284947305,0.08071221010938567,0.4702868978092123,0.4195961400851056,0.3317757009345794,0.25957446808510637,0.4577319587628866,0.3770197486535009
2025-09-01,15S,BINANCE->COINBASE,0.029556650246305438,0.15949820788530467,0.7675611583670798,0.11071624338220842,0.32019704433497537,0.29064039408866993,0.5161290322580645,0.35663082437275984
2025-09-01,15S,BINANCE->BYBITSPOT,0.08499115826702036,0.18295081967213123,0.3953742454552822,0.06732351252544944,0.40229885057471265,0.3173076923076923,0.56,0.3770491803278688
2025-09-01,15S,BINANCE->BITGET,0.038233532934131786,0.11050724637681159,0.7022126526000618,0.269128191172727,0.38323353293413176,0.345,0.4782608695652174,0.3677536231884058
2025-09-01,15S,COINBASE->BINANCE,0.013929334109881564,0.03306595879739166,0.8892183516194054,0.7409016308256406,0.4207920792079208,0.4068627450980392,0.4838709677419355,0.45080500894454384
2025-09-01,15S,COINBASE->BYBITSPOT,-0.017786323759163558,0.08366345972458022,0.8588303825935182,0.40279799226376367,0.39622641509433965,0.4140127388535032,0.5263157894736842,0.44265232974910396
2025-09-01,15S,COINBASE->BITGET,-0.0264408537112244,0.42619047619047623,0.7914651338811063,2.0269182799736996e-05,0.36619718309859156,0.39263803680981596,0.8333333333333334,0.40714285714285714
2025-09-01,15S,BYBITSPOT->BINANCE,0.017322324753116403,0.036414565826330514,0.8624759509719404,0.7157492435369859,0.40229885057471265,0.38497652582159625,0.42857142857142855,0.39215686274509803
