event_id,date,venue_i,venue_j,n_pre,n_post,pre_minutes,post_minutes,shrunk,reason
10,20250901,BITGET,BYBITSPOT,160,178,15.0,15.0,False,SUFFICIENT
11,20250901,BYBITSPOT,BINANCE,112,176,15.0,15.0,False,SUFFICIENT
11,20250901,BINANCE,BYBITSPOT,113,178,15.0,15.0,False,SUFFICIENT
11,20250901,BYBITSPOT,COINBASE,112,176,15.0,15.0,False,SUFFICIENT
11,20250901,COINBASE,BYBITSPOT,113,178,15.0,15.0,False,SUFFICIENT
11,20250901,BYBITSPOT,BITGET,105,169,15.0,15.0,False,SUFFICIENT
11,20250901,BITGET,BYBITSPOT,99,163,15.0,15.0,False,SUFFICIENT
12,20250901,BYBITSPOT,BINANCE,167,176,15.0,15.0,False,SUFFICIENT
12,20250901,BINANCE,BYBITSPOT,174,180,15.0,15.0,False,SUFFICIENT
12,20250901,BYBITSPOT,COINBASE,167,176,15.0,15.0,False,SUFFICIENT
12,20250901,COINBASE,BYBITSPOT,174,180,15.0,15.0,False,SUFFICIENT
12,20250901,BYBITSPOT,BITGET,168,180,15.0,15.0,False,SUFFICIENT
12,20250901,BITGET,BYBITSPOT,174,180,15.0,15.0,False,SUFFICIENT
13,20250901,BYBITSPOT,BINANCE,179,180,15.0,15.0,False,SUFFICIENT
13,20250901,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
13,20250901,BYBITSPOT,COINBASE,179,180,15.0,15.0,False,SUFFICIENT
13,20250901,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
13,20250901,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
13,20250901,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
14,20250901,BYBITSPOT,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
14,20250901,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
14,20250901,BYBITSPOT,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
14,20250901,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
14,20250901,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
14,20250901,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
15,20250901,BITGET,BINANCE,162,178,15.0,15.0,False,SUFFICIENT
15,20250901,BINANCE,BITGET,170,180,15.0,15.0,False,SUFFICIENT
15,20250901,BITGET,COINBASE,162,178,15.0,15.0,False,SUFFICIENT
15,20250901,COINBASE,BITGET,170,180,15.0,15.0,False,SUFFICIENT
15,20250901,BITGET,BYBITSPOT,160,178,15.0,15.0,False,SUFFICIENT
15,20250901,BYBITSPOT,BITGET,168,176,15.0,15.0,False,SUFFICIENT
