src,dst,score,p_value,t_stat,r_squared,n_obs,valid
binance,coinbase,7.5293,0.0,7.5293,0.5122,54,True
binance,kraken,7.5293,0.0,7.5293,0.5122,54,True
binance,bybit,0.0,1.0,0.0,1.0,54,True
binance,okx,0.0,1.0,0.0,1.0,54,True
coinbase,binance,7.5293,0.0,7.5293,0.5122,54,True
coinbase,kraken,7.5293,0.0,7.5293,0.5122,54,True
coinbase,bybit,0.0,1.0,0.0,1.0,54,True
coinbase,okx,0.0,1.0,0.0,1.0,54,True
kraken,binance,7.5293,0.0,7.5293,0.5122,54,True
kraken,coinbase,7.5293,0.0,7.5293,0.5122,54,True
kraken,bybit,0.0,1.0,0.0,1.0,54,True
kraken,okx,0.0,1.0,0.0,1.0,54,True
bybit,binance,0.0,1.0,0.0,0.0,54,True
bybit,coinbase,0.0,1.0,0.0,0.0,54,True
bybit,kraken,0.0,1.0,0.0,0.0,54,True
bybit,okx,0.0,1.0,0.0,1.0,54,True
okx,binance,0.0,1.0,0.0,0.0,54,True
okx,coinbase,0.0,1.0,0.0,0.0,54,True
okx,kraken,0.0,1.0,0.0,0.0,54,True
okx,bybit,0.0,1.0,0.0,1.0,54,True
