src,dst,score,p_value,t_stat,r_squared,n_obs,valid
binance,coinbase,3.9933,0.000192,3.9933,0.2156,58,True
binance,kraken,3.9933,0.000192,3.9933,0.2156,58,True
binance,bybit,0.0,1.0,0.0,1.0,58,True
binance,okx,0.0,1.0,0.0,1.0,58,True
coinbase,binance,3.9933,0.000192,3.9933,0.2156,58,True
coinbase,kraken,3.9933,0.000192,3.9933,0.2156,58,True
coinbase,bybit,0.0,1.0,0.0,1.0,58,True
coinbase,okx,0.0,1.0,0.0,1.0,58,True
kraken,binance,3.9933,0.000192,3.9933,0.2156,58,True
kraken,coinbase,3.9933,0.000192,3.9933,0.2156,58,True
kraken,bybit,0.0,1.0,0.0,1.0,58,True
kraken,okx,0.0,1.0,0.0,1.0,58,True
bybit,binance,0.0,1.0,0.0,0.0,58,True
bybit,coinbase,0.0,1.0,0.0,0.0,58,True
bybit,kraken,0.0,1.0,0.0,0.0,58,True
bybit,okx,0.0,1.0,0.0,1.0,58,True
okx,binance,0.0,1.0,0.0,0.0,58,True
okx,coinbase,0.0,1.0,0.0,0.0,58,True
okx,kraken,0.0,1.0,0.0,0.0,58,True
okx,bybit,0.0,1.0,0.0,1.0,58,True
