t0,t1,leader,infoShare_top2,episode_count
2025-09-17 08:51:03,2025-09-17 09:01:03,binance,"['binance', 'coinbase']",99
2025-09-17 08:56:03,2025-09-17 09:06:03,binance,"['binance', 'coinbase']",30
