IC_1,IC_2,IC_3,IC_4,second
0.20726116936619302,0.06687128436523498,0.019981176529885424,0.004103668803035688,0
-1.3486550503928971,1.9604300059288984,1.70027565316463,0.21603000273901576,1
-0.05856754264196152,0.053430338584613254,0.007736375927770539,-0.0013323085472785104,2
0.008089176655985846,0.056620357007974007,0.014205225294811706,-4.5491664705763225e-05,3
0.008089176675067821,0.056620356991604184,0.014205225622416743,-4.549167164695062e-05,4
-3.049062535294514,-0.09777635669603325,-0.1300140371484898,-0.06248545834619348,5
0.07381038586387222,0.06070519493246127,0.014339219187814086,-0.010929624712195728,6
0.034091576738088915,0.034313716243605616,0.46062218205188227,-0.009504026911394327,7
0.07949910816257548,-0.008305785885549678,-0.05319055028714287,1.6257560800782456,8
0.0076921699674831895,0.056960936552689787,0.0073892961062003,9.892199497629197e-05,9
0.2185532839679965,2.5536799645622583,-0.16203397644067707,-0.07889324577620475,10
-0.05877902465292559,0.053599991375907256,0.0043274506384573756,-0.0012603589781891684,11
2.661602550387117,0.2556645886923817,-1.0978288785957087,0.09420734463850142,12
1.270332799467635,0.11659360016049809,0.06924499035938599,0.025977482707263185,13
0.00789069452325797,0.05679062858363343,0.010797624866264477,2.6707449311279518e-05,14
2.4790951437107576,3.4529677873815516,-0.11608770537423539,-0.046658137659900775,15
-2.1852098808859015,-0.05006838077980504,-0.09051844916372016,-0.04495527457414999,16
0.010669978592788612,0.05440636824130361,0.058513202365483,-0.0009842744696350822,17
-0.01999383386182741,2.0868707481841224,-0.1390873372900298,-0.08083637399733938,18
0.006302377658348045,0.0581531956395076,-0.016471072598591697,0.0006044676176889878,19
0.04260102549191536,0.08740296232899178,-0.5315099047688058,0.01294120673890837,20
4.5272478592562715,0.2814507951605315,0.21586836832152995,0.0926549985478585,21
0.07382034458397149,0.06070581943511644,0.014339782996089815,-0.010931980624557035,22
3.537974425965141,-4.647570742183302,-0.17617905166774567,0.2651556898452534,23
0.010272611609882463,0.054747256871250094,0.05169108753513714,-0.0008397297506160477,24
-0.27118674281366106,3.3855492596984362,1.374318063790288,-0.15700971694926352,25
