,BINANCE,COINBASE,BYBITSPOT,BITGET
IC_1,0.023324052861386734,-0.03521831209449694,-0.0242808549039819,-0.9988123443051998
IC_2,0.050506013927652936,-0.07453281294670823,-0.9949499039688626,-0.04436993287949084
IC_3,0.9927011919377756,-0.08971432542582405,-0.06336001093012661,-0.049811568471838145
IC_4,0.053846209370119996,-0.9958726310416879,-0.05394243739665724,-0.04927983285551615
