edge,lag,lag_s,coef,se,t,p_raw,n_obs
BINANCE->BITGET,1,10,0.004766465808071676,0.011999104838007204,0.39723511648751325,0.69120543192669,7476
BINANCE->BITGET,3,30,-0.002523949914901992,0.0109684322848048,-0.23011036120435963,0.8180123129868839,7474
BINANCE->BITGET,6,60,0.035412143381288716,0.011153880000645485,3.174872186112759,0.0015051145730535787,7471
BINANCE->BYBITSPOT,1,10,0.004947807760184411,0.013035136753368357,0.37957467219558466,0.7042708535462499,8321
BINANCE->BYBITSPOT,3,30,-0.010402535629782106,0.011014091454105195,-0.9444751456013062,0.3449543327305604,8319
BINANCE->BYBITSPOT,6,60,0.012159795327266479,0.012196314859663892,0.9970056912421807,0.3187907633215816,8316
BINANCE->COINBASE,1,10,0.009115656545804535,0.012674222716241166,0.7192280544449825,0.4720200135764083,8578
BINANCE->COINBASE,3,30,-0.015384158598039176,0.011688210494514155,-1.316211630964356,0.18813820671886639,8576
BINANCE->COINBASE,6,60,0.03146831357704897,0.012274550818488836,2.5637038815016404,0.010373085717432451,8573
BITGET->BINANCE,1,10,0.01677096219648983,0.012488091880363523,1.3429563425026334,0.17932414302335165,8016
BITGET->BINANCE,3,30,0.0213575125795456,0.013845332423484211,1.5425785330599473,0.12297256316550342,8014
BITGET->BINANCE,6,60,0.01188856973913402,0.012582803617581987,0.944826773146335,0.3447758229503417,8011
BITGET->BYBITSPOT,1,10,0.013818907366785909,0.012135327764622231,1.1387337560895363,0.25484873956441567,7904
BITGET->BYBITSPOT,3,30,-0.003397811003983497,0.011854584743676557,-0.2866242114297549,0.774407590248205,7902
BITGET->BYBITSPOT,6,60,0.011577215332070552,0.010993465196392395,1.0530997392769041,0.29232750292633525,7899
BITGET->COINBASE,1,10,-0.00277816239490254,0.0106415788970347,-0.2610667478748554,0.7940477607506744,7994
BITGET->COINBASE,3,30,0.0014748446947949313,0.011144475983012736,0.1323386309991607,0.8947197852990274,7992
BITGET->COINBASE,6,60,-0.005683987906983241,0.011516234068019826,-0.4935630756904702,0.6216283544614958,7989
BYBITSPOT->BINANCE,1,10,0.001007147348460116,0.012067203404949213,0.0834615374136353,0.933486510253706,8565
BYBITSPOT->BINANCE,3,30,0.010416848543018681,0.011633425962662664,0.8954239771200184,0.3705856631206541,8563
BYBITSPOT->BINANCE,6,60,-0.007985047358259986,0.011731740731848628,-0.6806361937902922,0.4961201328153044,8560
BYBITSPOT->BITGET,1,10,-0.006578696903339171,0.011353727945505411,-0.5794305566343496,0.5623158741545544,7598
BYBITSPOT->BITGET,3,30,0.004657573663090402,0.011489416458897134,0.4053794794324551,0.6852100121574503,7596
BYBITSPOT->BITGET,6,60,0.004122935905404763,0.011247319232170792,0.36657054185960136,0.7139496016370788,7593
BYBITSPOT->COINBASE,1,10,-0.00553355963989499,0.011151563527083337,-0.4962137933802614,0.6197563404901296,8549
BYBITSPOT->COINBASE,3,30,-0.01847376699618634,0.011550100085643463,-1.5994464861087094,0.10975840048502206,8547
BYBITSPOT->COINBASE,6,60,0.010826239245443188,0.011924484015359879,0.9079000174345451,0.3639566606860696,8544
COINBASE->BINANCE,1,10,0.02793294585124463,0.015045581633097252,1.8565547369599704,0.06340863427853694,8619
COINBASE->BINANCE,3,30,-0.03411462089770555,0.015222631409302766,-2.2410462409841716,0.025048449996484035,8617
COINBASE->BINANCE,6,60,-0.0033161309496830007,0.013611323482659012,-0.24363030927211385,0.8075229550862888,8614
COINBASE->BITGET,1,10,0.012746636931104687,0.013545786320819087,0.941003839069412,0.34673326331747956,7486
COINBASE->BITGET,3,30,-0.0018080337778299134,0.011976511313828014,-0.15096497890352822,0.8800074117722263,7484
COINBASE->BITGET,6,60,-0.00025381812495404077,0.013887473889936077,-0.018276767032338166,0.9854185491234573,7481
COINBASE->BYBITSPOT,1,10,-0.003175410072108637,0.013083987656314687,-0.24269436470891945,0.8082481420335852,8341
COINBASE->BYBITSPOT,3,30,0.003968324215217223,0.01242306854073289,0.31943188610815754,0.7494070382051408,8339
COINBASE->BYBITSPOT,6,60,0.015047195254626963,0.012376428674652669,1.215794608459556,0.22409761005621065,8336
