edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,76.0,76.0,76,0.0,76.0,[76]
BINANCE->BYBITSPOT,1,9.0,9.0,9,0.0,9.0,[9]
BINANCE->BITGET,1,7.0,7.0,7,0.0,7.0,[7]
COINBASE->BINANCE,1,76.0,76.0,76,0.0,76.0,[76]
COINBASE->BYBITSPOT,1,8.0,8.0,8,0.0,8.0,[8]
COINBASE->BITGET,1,5.0,5.0,5,0.0,5.0,[5]
BYBITSPOT->BINANCE,1,9.0,9.0,9,0.0,9.0,[9]
BYBITSPOT->COINBASE,1,8.0,8.0,8,0.0,8.0,[8]
BYBITSPOT->BITGET,1,11.0,11.0,11,0.0,11.0,[11]
BITGET->BINANCE,1,7.0,7.0,7,0.0,7.0,[7]
BITGET->COINBASE,1,5.0,5.0,5,0.0,5.0,[5]
BITGET->BYBITSPOT,1,11.0,11.0,11,0.0,11.0,[11]
