edge,lag_s,n_windows,pct_significant,pct_sign_match,median_coef,stable
BINANCE->COINBASE,5,285,0.03508771929824561,0.4807017543859649,-0.00554021549039533,False
BINANCE->BYBITSPOT,5,285,0.05263157894736842,0.45964912280701753,-0.00978832808303205,False
BINANCE->BITGET,5,285,0.05964912280701754,0.5508771929824562,0.008667014832669821,False
COINBASE->BINANCE,5,285,0.0456140350877193,0.5263157894736842,0.004308371679851686,False
COINBASE->BYBITSPOT,5,285,0.042105263157894736,0.5578947368421052,0.011278196381367532,False
COINBASE->BITGET,5,285,0.03508771929824561,0.5859649122807018,0.010857652505010569,False
BYBITSPOT->BINANCE,5,285,0.08421052631578947,0.4456140350877193,-0.011521485779706842,False
BYBITSPOT->COINBASE,5,285,0.06315789473684211,0.5508771929824562,0.009961070396720912,False
BYBITSPOT->BITGET,5,285,0.07017543859649122,0.5684210526315789,0.008967458388975539,False
BITGET->BINANCE,5,285,0.07368421052631578,0.5017543859649123,0.00020117650354212172,False
BITGET->COINBASE,5,285,0.04912280701754386,0.5473684210526316,0.007808947060195049,False
BITGET->BYBITSPOT,5,285,0.09824561403508772,0.4807017543859649,-0.006139176026797547,False
