edge,lag_s,session,coef,se,t,p,n
BINANCE->COINBASE,5,Asia,-0.007599843574336314,0.013210173654009238,-0.5753023217851334,0.5651093351941938,5759
BINANCE->COINBASE,5,EU,-0.0021072191824795775,0.013265590029298177,-0.15884850789339983,0.8737938020653357,5759
BINANCE->COINBASE,5,US,0.012503561756290645,0.013083245045124165,0.9556926980398066,0.3392676406271924,5759
BINANCE->BYBITSPOT,5,Asia,0.0070176090299538104,0.013137919560053876,0.5341491853315193,0.5932589473255061,5759
BINANCE->BYBITSPOT,5,EU,-0.02078979978449137,0.012872085839471581,-1.6151072983634502,0.10634225906018213,5759
BINANCE->BYBITSPOT,5,US,-0.012293845332931251,0.013067836812164587,-0.9407712622709795,0.34686156258757306,5759
BINANCE->BITGET,5,Asia,0.015664354045544844,0.013219611013695221,1.1849330535760034,0.23609282925992447,5759
BINANCE->BITGET,5,EU,-0.0007191775991004496,0.013213907639633662,-0.054425807922507,0.9565978060903109,5759
BINANCE->BITGET,5,US,0.008117432736296056,0.012979502165842208,0.6254040126175622,0.5317307186477414,5759
COINBASE->BINANCE,5,Asia,-0.011226359928356869,0.013144882770190719,-0.854047930637725,0.3931139677039599,5759
COINBASE->BINANCE,5,EU,0.014989200636720296,0.013088473166211943,1.1452214820148086,0.2521650272980889,5759
COINBASE->BINANCE,5,US,0.02115143116418766,0.013261522914021131,1.594947375299159,0.11077889568023691,5759
COINBASE->BYBITSPOT,5,Asia,0.011305982662509833,0.013106018866490196,0.8626557597454142,0.38836269651369637,5759
COINBASE->BYBITSPOT,5,EU,0.0027882531235681107,0.01278960186039624,0.2180093762106936,0.8274295326757537,5759
COINBASE->BYBITSPOT,5,US,0.007256198350285184,0.013156915342413346,0.5515121258623371,0.5813040613647473,5759
COINBASE->BITGET,5,Asia,0.027588874128702107,0.013184633661689146,2.0925021382177382,0.036437300114098736,5759
COINBASE->BITGET,5,EU,0.0073177581899360085,0.013125964150747205,0.5575025275015275,0.5772058080513824,5759
COINBASE->BITGET,5,US,-0.012515776328132574,0.01306672254720114,-0.9578359288583367,0.3381857203066634,5759
BYBITSPOT->BINANCE,5,Asia,-0.017231499536225256,0.013210237252147785,-1.304405001009628,0.19214767528684518,5759
BYBITSPOT->BINANCE,5,EU,0.022137666896766488,0.013484453020699215,1.6417178259128655,0.10070311593842596,5759
BYBITSPOT->BINANCE,5,US,-0.02188941657597849,0.013279666788704897,-1.6483407998306605,0.09933732315223587,5759
BYBITSPOT->COINBASE,5,Asia,-0.0023448132313074257,0.013245606835200745,-0.17702573090694404,0.8594944058206386,5759
BYBITSPOT->COINBASE,5,EU,-0.006830568338140298,0.01357769464998534,-0.5030727611883417,0.6149323621102418,5759
BYBITSPOT->COINBASE,5,US,0.025114024274501576,0.013186877664474782,1.904470862132764,0.05689868276811416,5759
BYBITSPOT->BITGET,5,Asia,0.009819439143382909,0.013255708864061234,0.7407705799880148,0.4588627678486481,5759
BYBITSPOT->BITGET,5,EU,0.015618814695233796,0.013523501284348358,1.1549386779968354,0.24816347406828632,5759
BYBITSPOT->BITGET,5,US,-0.009218895130712305,0.013085274866105936,-0.7045243775957278,0.48113477246425007,5759
BITGET->BINANCE,5,Asia,0.016913755298693323,0.013133768020134539,1.2878067644231213,0.19786499952693393,5759
BITGET->BINANCE,5,EU,-0.010763613600814076,0.013140120130436587,-0.8191411869882539,0.41273977298476616,5759
BITGET->BINANCE,5,US,-0.0021210414844741606,0.013374164119504693,-0.15859245224760352,0.8739955384362932,5759
BITGET->COINBASE,5,Asia,0.019586125499517368,0.01316639014721217,1.4875850768909884,0.13691511869261408,5759
BITGET->COINBASE,5,EU,0.0057015908392523025,0.013228733688726473,0.43100050038131754,0.6664841431888591,5759
BITGET->COINBASE,5,US,-0.008426418348564635,0.01328132827401881,-0.6344559952673225,0.5258084864140904,5759
BITGET->BYBITSPOT,5,Asia,0.019409484768459464,0.013094341531010734,1.4822803210449997,0.13832045612182653,5759
BITGET->BYBITSPOT,5,EU,-0.027580376893276012,0.012834263779698128,-2.1489644725008703,0.03167878529649104,5759
BITGET->BYBITSPOT,5,US,-0.012126155577450969,0.01326515540635563,-0.9141359604155906,0.36068369210987816,5759
