edge,lag,lag_s,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs
BINANCE->BITGET,1,15,0.12164585481730869,0.023658459021519966,5.141748864820757,2.812353319114891e-07,5730
BINANCE->BITGET,3,45,0.02114453420500612,0.02075260760478243,1.0188856556095327,0.30830030111609186,5728
BINANCE->BITGET,6,90,-0.0017173028987090729,0.018149463459310455,-0.09462003670571965,0.9246199467554359,5725
BINANCE->BYBITSPOT,1,15,-0.018115102938484673,0.016608603955892788,-1.090705936910331,0.27544907430254906,5620
BINANCE->BYBITSPOT,3,45,-0.01266879407948691,0.014501250122498822,-0.8736346158067545,0.3823546229804611,5618
BINANCE->BYBITSPOT,6,90,-0.0006629501301749346,0.015576940997368621,-0.04255971248057788,0.9660540249481802,5615
BINANCE->COINBASE,1,15,-0.003157112635623715,0.018477630353955145,-0.1708613374738246,0.8643388326642747,5730
BINANCE->COINBASE,3,45,0.015471522563040758,0.01474697037226068,1.049132274120722,0.2941615220429652,5728
BINANCE->COINBASE,6,90,-0.015747470098722575,0.019353666155962394,-0.8136685820567987,0.4158686881823628,5725
BITGET->BINANCE,1,15,0.023493423628894543,0.0232475909288452,1.0105745451561743,0.31226261928396015,5753
BITGET->BINANCE,3,45,-0.01272649090129645,0.018052546599289777,-0.7049692868150323,0.4808579086664504,5751
BITGET->BINANCE,6,90,-0.025149201499281952,0.01933836658074064,-1.3004821991702447,0.19348790917428627,5748
BITGET->BYBITSPOT,1,15,-0.006649373177395443,0.01429589081514832,-0.46512478749135266,0.6418600595185313,5640
BITGET->BYBITSPOT,3,45,0.016413514027366002,0.015972292836230938,1.0276241611432402,0.3041707544907044,5638
BITGET->BYBITSPOT,6,90,-0.015740242097913658,0.015441698330614548,-1.019333609613861,0.30808838927928117,5635
BITGET->COINBASE,1,15,-0.011072188169193507,0.01736564857277923,-0.6375913990652348,0.5237650786158325,5753
BITGET->COINBASE,3,45,0.006807629754295444,0.01637874018005666,0.41563817970472827,0.6776902970058507,5751
BITGET->COINBASE,6,90,0.005599425341408318,0.014942566752357412,0.3747298194619024,0.7078752420016268,5748
BYBITSPOT->BINANCE,1,15,-0.009493054744486362,0.015795928000610016,-0.6009811353989303,0.5478762318633983,5754
BYBITSPOT->BINANCE,3,45,-0.002430633708756472,0.015588857113252906,-0.15592122572539732,0.8761005876663313,5752
BYBITSPOT->BINANCE,6,90,-0.0066030308826248545,0.01542948106941875,-0.42794899277021503,0.6687042923820306,5749
BYBITSPOT->BITGET,1,15,0.005590578873977621,0.016691982724457842,0.3349259920923626,0.7376931315194506,5752
BYBITSPOT->BITGET,3,45,-0.02109711902798427,0.015930904932413188,-1.324288803271925,0.18545980144357976,5750
BYBITSPOT->BITGET,6,90,0.014064962763070694,0.01492168048005773,0.9425857082161753,0.34593248739276916,5747
BYBITSPOT->COINBASE,1,15,0.0066808356390387165,0.015912523540292756,0.41984765157593623,0.6746124298813854,5755
BYBITSPOT->COINBASE,3,45,-0.022562112659240106,0.014023525937080257,-1.6088758818909141,0.10769837232950286,5753
BYBITSPOT->COINBASE,6,90,-0.015313053904359525,0.015159381683856594,-1.0101371034589477,0.31247212721245043,5750
COINBASE->BINANCE,1,15,-0.0006382898088128428,0.02127008332414804,-0.03000880622259664,0.9760610701887373,5759
COINBASE->BINANCE,3,45,0.021142105071617158,0.018976392254900384,1.1141266889736383,0.26527136741768587,5757
COINBASE->BINANCE,6,90,-0.024832625417914263,0.016932047154722112,-1.4666050236570944,0.14253820004079687,5754
COINBASE->BITGET,1,15,0.05228541503553954,0.017487754398205733,2.9898301317008484,0.002803149770857827,5750
COINBASE->BITGET,3,45,0.012961992729103644,0.01767266343381823,0.733448740063691,0.4633147036062324,5748
COINBASE->BITGET,6,90,-0.00748541740555549,0.017343050088294752,-0.43160905189379467,0.6660417800370904,5745
COINBASE->BYBITSPOT,1,15,-0.017491209158230304,0.01775761773186829,-0.9849975048646371,0.32466756394286067,5640
COINBASE->BYBITSPOT,3,45,0.0009476181565627726,0.018892789833673967,0.05015766146266896,0.9599985277039365,5638
COINBASE->BYBITSPOT,6,90,-0.01155210245794481,0.016517236149057143,-0.6993968212172254,0.48433295209069804,5635
