path,venue,date,pair,bytes,sha256
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,BINANCE,20250707,BTCUSDT,74300556,cd864fdabe805ad5f7d0023cb23b868f644312cbf40ad8cc41116a8d76dc4a2f
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,BINANCE,20250708,BTCUSDT,344406,6390a35eac8640d3f111f18f346518b15b82ce4f5a72984b34af292c6bfff6d1
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,BINANCE,20250708,BTCUSDT,66224363,670bd70426b567ae89bac7208951eaca7fa5897ad0af0d8a16d5566c2408445b
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,BITGET,20250708,BTCUSDT,5639034,e8e67692067f4bae33867f24e74daef26709cafa85990d1dad8be9f185b62e94
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BITGET/IDDI-6891663+SC-BITGET_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,BITGET,20250708,BTCUSDT,141817,ee8a4033ac276805ec806ff03fc07dcd6349e33e4242b65186cf0df086f4dd45
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,BYBITSPOT,20250708,BTCUSDT,16158395,6ce2a199808191925aab61d9bb8fe214547249aa4a6a913941860b823a25108a
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,BYBITSPOT,20250708,BTCUSDT,76582,6d84bc689f4bb2a27c5e6f6ea0073bfce3c2a0cac897bb46a5984c687edf5082
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BYBITSPOT/IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,BYBITSPOT,20250708,BTCUSDT,18212,ac092df5c460ab279e29dbb436f90bd5d13325dd9d8b75e3a23ff53c0302591e
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,BINANCE,20250709,BTCUSDT,598357,04ec1c7bc16fb420327fa9a231aa1a4b03f26753ce5b67d6fe8efa9b1dab2476
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,BINANCE,20250709,BTCUSDT,89418242,3e7a514038c9d9c21835a9926fe6c068906b3a5972c4348230315b914dcbe297
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,BITGET,20250709,BTCUSDT,2339521,9ffc38e508b1311839a61807c88de4f703ba28af40196764c1dd358177bb623c
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BITGET/IDDI-6891663+SC-BITGET_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,BITGET,20250709,BTCUSDT,119449,dba845b3ccbf06b6d3206c7e51cc198e59d065e00c71b8afec62372f7158efbd
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,BYBITSPOT,20250709,BTCUSDT,22530846,44601e21bb905be69298b6590b370bdf377e789a4e98d2fdafd7b431449a5766
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,BYBITSPOT,20250709,BTCUSDT,190189,87ac2dc7febe4c3f5be28b97e9d73759e0a954e5a7fff55aec63638e2a8a98a7
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,BYBITSPOT,20250709,BTCUSDT,195597,b53f7e57c5b5e2b66cbea874489eb81bb870a1bd09a3609f94ee34491a02f2ef
/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,BINANCE,20250710,BTCUSDT,751369,bfd3002f8044e414ca4257f806526e04ea052e20e9b2f28d75b7a0f5546e25f0
