edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.15872148597451544,572,90,0.0015872148597451544
BINANCE->BYBITSPOT,0.0031865289160714003,549,1,3.1865289160714e-05
BINANCE->BITGET,0.04575875961780843,570,26,0.00045758759617808435
COINBASE->BINANCE,0.15872148597451546,572,90,0.0015872148597451546
COINBASE->BYBITSPOT,0.01842019573384645,547,10,0.0001842019573384645
COINBASE->BITGET,0.03919216548765791,568,22,0.0003919216548765791
BYBITSPOT->BINANCE,0.0031865289160714003,549,1,3.1865289160714e-05
BYBITSPOT->COINBASE,0.01842019573384645,547,10,0.0001842019573384645
BYBITSPOT->BITGET,0.0055279034081253346,547,3,5.527903408125335e-05
BITGET->BINANCE,0.04575875961780843,570,26,0.00045758759617808435
BITGET->COINBASE,0.03919216548765791,568,22,0.0003919216548765791
BITGET->BYBITSPOT,0.0055279034081253346,547,3,5.527903408125335e-05
