edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,90.0,90.0,90,0.0,90.0,[90]
BINANCE->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
BINANCE->BITGET,1,26.0,26.0,26,0.0,26.0,[26]
COINBASE->BINANCE,1,90.0,90.0,90,0.0,90.0,[90]
COINBASE->BYBITSPOT,1,10.0,10.0,10,0.0,10.0,[10]
COINBASE->BITGET,1,22.0,22.0,22,0.0,22.0,[22]
BYBITSPOT->BINANCE,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->COINBASE,1,10.0,10.0,10,0.0,10.0,[10]
BYBITSPOT->BITGET,1,3.0,3.0,3,0.0,3.0,[3]
BITGET->BINANCE,1,26.0,26.0,26,0.0,26.0,[26]
BITGET->COINBASE,1,22.0,22.0,22,0.0,22.0,[22]
BITGET->BYBITSPOT,1,3.0,3.0,3,0.0,3.0,[3]
