path,filename,date,venue,pair,size_bytes,sha256
data_v6/raw/coinapi_jul/COINBASE_20250727_BTCUSDT.csv.gz,COINBASE_20250727_BTCUSDT.csv.gz,20250727,COINBASE,BTCUSDT,20705702,6fdd3e2864b527fbdf6982763a6eed2b1928b95052620c841e6562f8da173054
data_v6/raw/coinapi_jul/BITGET_20250725_BTCUSDT.csv.gz,BITGET_20250725_BTCUSDT.csv.gz,20250725,BITGET,BTCUSDT,19356481,0b3ff58c354b50ba0f5bd12168ebe068a75e714a522179f010f2b5e562a37dcb
data_v6/raw/coinapi_jul/BITGET_20250722_BTCUSDT.csv.gz,BITGET_20250722_BTCUSDT.csv.gz,20250722,BITGET,BTCUSDT,12472136,192c655bd3fec350d17d764fe6a0df81c775e98d4e045ad60a2ec534de244bfb
data_v6/raw/coinapi_jul/BITGET_20250723_BTCUSDT.csv.gz,BITGET_20250723_BTCUSDT.csv.gz,20250723,BITGET,BTCUSDT,8145767,e04ee761e13a734e224fee2c01874c7e6b07646306dd7ed17708fa85bfc72769
data_v6/raw/coinapi_jul/BITGET_20250724_BTCUSDT.csv.gz,BITGET_20250724_BTCUSDT.csv.gz,20250724,BITGET,BTCUSDT,18263568,ceec9cd86da918c675cf80c05b78adfb0e2ed65023bd6a6f5e5787ccda8643ca
data_v6/raw/coinapi_jul/COINBASE_20250726_BTCUSDT.csv.gz,COINBASE_20250726_BTCUSDT.csv.gz,20250726,COINBASE,BTCUSDT,27302863,e2bafc4dab8de9f761826916cb8f587b2ee4e62afbed7bf005f0bf340c4cc895
data_v6/raw/coinapi_jul/BITGET_20250726_BTCUSDT.csv.gz,BITGET_20250726_BTCUSDT.csv.gz,20250726,BITGET,BTCUSDT,12535793,0fdeb04f5e384f84901efab06571c427cbef55cb486b52a6519f1ed43f11b56f
data_v6/raw/coinapi_jul/COINBASE_20250724_BTCUSDT.csv.gz,COINBASE_20250724_BTCUSDT.csv.gz,20250724,COINBASE,BTCUSDT,30037426,79ad97d782ddd0433c70467ae7b3b8da6f21ab38aa68a3f2b81c085ca0ff04b4
data_v6/raw/coinapi_jul/COINBASE_20250723_BTCUSDT.csv.gz,COINBASE_20250723_BTCUSDT.csv.gz,20250723,COINBASE,BTCUSDT,28872167,e5ef94237bd9dfb3864a2d9ba77e75f0fbda05058568ad42a76167bbf1ef3d07
data_v6/raw/coinapi_jul/COINBASE_20250722_BTCUSDT.csv.gz,COINBASE_20250722_BTCUSDT.csv.gz,20250722,COINBASE,BTCUSDT,33423988,3cd955930dc3af70408508fbe915fe2b2b60d5ebe6694d1bf3995294daac2c6e
data_v6/raw/coinapi_jul/COINBASE_20250725_BTCUSDT.csv.gz,COINBASE_20250725_BTCUSDT.csv.gz,20250725,COINBASE,BTCUSDT,58962149,48d3488cc484bd1314f69ee6839e81fa0abc812ef46bcb4d8c3b251780cf717b
data_v6/raw/coinapi_jul/BITGET_20250727_BTCUSDT.csv.gz,BITGET_20250727_BTCUSDT.csv.gz,20250727,BITGET,BTCUSDT,16104208,3ffc8538a8f82bf5af010df11a06d60a2e76cdc865d3cf019ec9189d100bf37b
data_v6/raw/coinapi_jul/BYBITSPOT_20250726_BTCUSDT.csv.gz,BYBITSPOT_20250726_BTCUSDT.csv.gz,20250726,BYBITSPOT,BTCUSDT,11102234,4e73a854ebaeca6553ad25e223c6601a61bbec9a7592cc20b51221639101deab
data_v6/raw/coinapi_jul/BINANCE_20250727_BTCUSDT.csv.gz,BINANCE_20250727_BTCUSDT.csv.gz,20250727,BINANCE,BTCUSDT,116181392,d1bc73b60ac1a927fc990f3328ca00a4e4bff8dd4bc75dd0d1a80267774b98aa
data_v6/raw/coinapi_jul/BINANCE_20250726_BTCUSDT.csv.gz,BINANCE_20250726_BTCUSDT.csv.gz,20250726,BINANCE,BTCUSDT,102516611,cfa072bfbc578e85ae04f92d8d7732f7c969d60430f84aa03f89b3b14ca7951b
data_v6/raw/coinapi_jul/BYBITSPOT_20250727_BTCUSDT.csv.gz,BYBITSPOT_20250727_BTCUSDT.csv.gz,20250727,BYBITSPOT,BTCUSDT,11887386,3fb542c61405ae07fa15da55939603e03f70f9a4a4efb4b26655fb393e6f28fb
data_v6/raw/coinapi_jul/BINANCE_20250723_BTCUSDT.csv.gz,BINANCE_20250723_BTCUSDT.csv.gz,20250723,BINANCE,BTCUSDT,118009423,04c6d4110026bc50c05326e50eb7acf083dcad09c5bb4e92d48d7788823f4f3a
data_v6/raw/coinapi_jul/BYBITSPOT_20250725_BTCUSDT.csv.gz,BYBITSPOT_20250725_BTCUSDT.csv.gz,20250725,BYBITSPOT,BTCUSDT,44203439,048781ad8599f88e51277fc9cf066f2f17d7df96492d347c48809c6bcb7660c5
data_v6/raw/coinapi_jul/BINANCE_20250724_BTCUSDT.csv.gz,BINANCE_20250724_BTCUSDT.csv.gz,20250724,BINANCE,BTCUSDT,147907777,0fd28885806bbbb05670836596f7c7de9cad0498e4a938f8417ec0954c67d2f9
data_v6/raw/coinapi_jul/BYBITSPOT_20250722_BTCUSDT.csv.gz,BYBITSPOT_20250722_BTCUSDT.csv.gz,20250722,BYBITSPOT,BTCUSDT,34726440,6af42355eee7e7dc2b1c9176a72768797dc0487e7f95b3927aebf807cb61521c
data_v6/raw/coinapi_jul/BYBITSPOT_20250723_BTCUSDT.csv.gz,BYBITSPOT_20250723_BTCUSDT.csv.gz,20250723,BYBITSPOT,BTCUSDT,27954989,d9ae2f9419cdc70bf0e7f1930c7a35a6ad735a1452d3f06fc6b5c82de0a2322c
data_v6/raw/coinapi_jul/BINANCE_20250725_BTCUSDT.csv.gz,BINANCE_20250725_BTCUSDT.csv.gz,20250725,BINANCE,BTCUSDT,164816484,72654eebcb0641a0333ae9d84fa0163df73d17a85e7caf8f6b2b30efa6c539cd
data_v6/raw/coinapi_jul/BYBITSPOT_20250724_BTCUSDT.csv.gz,BYBITSPOT_20250724_BTCUSDT.csv.gz,20250724,BYBITSPOT,BTCUSDT,28615482,dd0c1df69db964dd838962ddb0d50873df314dab33d3b966abae7843f64ac309
data_v6/raw/coinapi_jul/BINANCE_20250722_BTCUSDT.csv.gz,BINANCE_20250722_BTCUSDT.csv.gz,20250722,BINANCE,BTCUSDT,132025635,90916056dcb423c16a9043b4bcb64d5598d7b7aafdc3b1bd3c3e2ddf6ba75b75
