edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.08341572211249845,283,23,0.0008341572211249845
BINANCE->BYBITSPOT,0.002369003475215139,249,0,2.369003475215139e-05
BINANCE->BITGET,7.030963848026224e-05,223,0,7.030963848026224e-07
COINBASE->BINANCE,0.08341572211249844,283,23,0.0008341572211249844
COINBASE->BYBITSPOT,0.001435468714044363,247,0,1.435468714044363e-05
COINBASE->BITGET,0.012871863350412623,221,2,0.00012871863350412624
BYBITSPOT->BINANCE,0.002369003475215139,249,0,2.369003475215139e-05
BYBITSPOT->COINBASE,0.0014354687140443632,247,0,1.4354687140443632e-05
BYBITSPOT->BITGET,0.01790319122366829,205,3,0.0001790319122366829
BITGET->BINANCE,7.030963848026224e-05,223,0,7.030963848026224e-07
BITGET->COINBASE,0.012871863350412623,221,2,0.00012871863350412624
BITGET->BYBITSPOT,0.01790319122366829,205,3,0.0001790319122366829
