edge,lag,lag_s,coef,se,t,p_raw,n_obs_x,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs_y,p_fdr,bh_significant,placebo_robust,final_kept
BINANCE->BITGET,1,10,-0.0025663608522026424,0.01200781566267346,-0.21372420465948921,0.8307672772875874,8475,-0.0025663608522026424,0.01200781566267346,-0.21372420465948921,0.8307672772875874,8475,0.960756444022208,False,True,False
BINANCE->BITGET,3,30,-0.004229121830639785,0.012014524757994732,-0.3520007587337679,0.7248464494609035,8473,-0.004229121830639785,0.012014524757994732,-0.3520007587337679,0.7248464494609035,8473,0.9479951641414184,False,True,False
BINANCE->BITGET,6,60,0.002013508299720155,0.010942060154996295,0.18401546611866867,0.8540057280197404,8470,0.002013508299720155,0.010942060154996295,0.18401546611866867,0.8540057280197404,8470,0.960756444022208,False,True,False
BINANCE->BYBITSPOT,1,10,0.016514670646955082,0.012164712205229751,1.357588274045253,0.17463046976758934,8487,0.016514670646955082,0.012164712205229751,1.357588274045253,0.17463046976758934,8487,0.5715179010575651,False,True,False
BINANCE->BYBITSPOT,3,30,-0.012489623848954828,0.011653997731260702,-1.0717029586725113,0.28388395976509195,8485,-0.012489623848954828,0.011653997731260702,-1.0717029586725113,0.28388395976509195,8485,0.6813215034362207,False,True,False
BINANCE->BYBITSPOT,6,60,0.009930879600561713,0.01057062562676717,0.9394788871733876,0.34751168569324764,8482,0.009930879600561713,0.01057062562676717,0.9394788871733876,0.34751168569324764,8482,0.755174549518101,False,True,False
BINANCE->COINBASE,1,10,0.03482526242297425,0.015016956704334049,2.3190625842933486,0.020414906463374516,8621,0.03482526242297425,0.015016956704334049,2.3190625842933486,0.020414906463374516,8621,0.19982812583765486,False,False,False
BINANCE->COINBASE,3,30,0.14792941785615113,0.03716011681052842,3.9808652542835627,6.922862751057579e-05,8619,0.14792941785615113,0.03716011681052842,3.9808652542835627,6.922862751057579e-05,8619,0.0024922305903807285,True,False,False
BINANCE->COINBASE,6,60,0.003989762591668873,0.01385509769649132,0.28796351199163644,0.7733815971695852,8616,0.003989762591668873,0.01385509769649132,0.28796351199163644,0.7733815971695852,8616,0.9479951641414184,False,True,False
BITGET->BINANCE,1,10,0.007809187292993401,0.012094814674858248,0.6456640719949621,0.518514191358828,8586,0.007809187292993401,0.012094814674858248,0.6456640719949621,0.518514191358828,8586,0.8783194160359324,False,True,False
BITGET->BINANCE,3,30,-0.009957319891116846,0.012076221160368031,-0.8245393785760536,0.4096560662443818,8584,-0.009957319891116846,0.012076221160368031,-0.8245393785760536,0.4096560662443818,8584,0.8192203794718423,False,True,False
