ts,price,size,round_level_distance,venue
2025-09-07 03:25:51.471,110710.61,0.00028,26.07117117117112,BINANCE
2025-09-07 03:25:51.773,110710.61,0.0437,26.07117117117112,BINANCE
2025-09-07 03:25:52.822,110710.61,9e-05,26.07117117117112,BINANCE
2025-09-07 03:25:53.138,110710.61,5e-05,26.07117117117112,BINANCE
2025-09-07 03:25:53.854,110710.62,0.04113,26.07027027027069,BINANCE
2025-09-07 03:25:54.229,110710.62,0.00011,26.07027027027069,BINANCE
2025-09-07 03:25:54.878,110710.61,0.0009,26.07117117117112,BINANCE
2025-09-07 03:25:55.069,110710.62,9e-05,26.07027027027069,BINANCE
2025-09-07 03:25:55.771,110710.62,0.00403,26.07027027027069,BINANCE
2025-09-07 03:25:55.972,110710.62,5e-05,26.07027027027069,BINANCE
2025-09-07 03:25:56.491,110710.61,5e-05,26.07117117117112,BINANCE
2025-09-07 03:25:59.136,110710.61,0.00013,26.07117117117112,BINANCE
2025-09-07 03:25:59.245,110710.62,6e-05,26.07027027027069,BINANCE
2025-09-07 03:25:59.382,110710.62,0.00026,26.07027027027069,BINANCE
2025-09-07 03:25:59.744,110710.61,0.00144,26.07117117117112,BINANCE
2025-09-07 03:26:00.310,110710.61,6e-05,26.07117117117112,BINANCE
2025-09-07 03:26:00.521,110710.61,0.0009,26.07117117117112,BINANCE
2025-09-07 03:26:01.148,110710.62,0.0017,26.07027027027069,BINANCE
2025-09-07 03:26:01.438,110710.62,0.0001,26.07027027027069,BINANCE
2025-09-07 03:26:02.111,110710.61,0.00024,26.07117117117112,BINANCE
2025-09-07 03:26:02.622,110710.61,0.00237,26.07117117117112,BINANCE
2025-09-07 03:26:02.693,110710.62,6e-05,26.07027027027069,BINANCE
2025-09-07 03:26:03.796,110710.61,0.00723,26.07117117117112,BINANCE
2025-09-07 03:26:03.811,110710.62,0.0026,26.07027027027069,BINANCE
2025-09-07 03:26:04.145,110710.62,0.00154,26.07027027027069,BINANCE
2025-09-07 03:26:04.799,110710.62,9e-05,26.07027027027069,BINANCE
2025-09-07 03:26:06.479,110710.61,4e-05,26.07117117117112,BINANCE
2025-09-07 03:26:06.742,110710.62,0.00071,26.07027027027069,BINANCE
2025-09-07 03:26:07.742,110710.62,0.00065,26.07027027027069,BINANCE
2025-09-07 03:26:08.569,110710.61,5e-05,26.07117117117112,BINANCE
2025-09-07 03:26:09.322,110710.61,0.00025,26.07117117117112,BINANCE
2025-09-07 03:26:11.449,110710.62,0.00102,26.07027027027069,BINANCE
2025-09-07 03:26:12.118,110710.62,0.03137,26.07027027027069,BINANCE
2025-09-07 03:26:12.957,110710.62,0.00049,26.07027027027069,BINANCE
2025-09-07 03:26:12.963,110710.62,8e-05,26.07027027027069,BINANCE
2025-09-07 03:26:13.713,110710.62,0.00051,26.07027027027069,BINANCE
2025-09-07 03:26:16.221,110710.62,0.00012,26.07027027027069,BINANCE
2025-09-07 03:26:16.250,110710.62,9e-05,26.07027027027069,BINANCE
2025-09-07 03:26:16.252,110710.61,0.01303,26.07117117117112,BINANCE
2025-09-07 03:26:16.395,110710.62,0.00091,26.07027027027069,BINANCE
2025-09-07 03:26:16.508,110710.62,7e-05,26.07027027027069,BINANCE
2025-09-07 03:26:16.709,110710.62,7e-05,26.07027027027069,BINANCE
2025-09-07 03:26:16.732,110710.62,0.00091,26.07027027027069,BINANCE
