key,losing_file,losing_tier,losing_size,winning_file,winning_tier,winning_size,reason
20250710_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,751369,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,123519354,Tier priority: v7 > v7
20250928_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250928_BTCUSDT.csv.gz,v4,7336598,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250928_BTCUSDT.csv.gz,v6,7336598,Tier priority: v6 > v4
20250927_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250927_BTCUSDT.csv.gz,v4,4851370,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250927_BTCUSDT.csv.gz,v6,4851370,Tier priority: v6 > v4
20250926_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250926_BTCUSDT.csv.gz,v4,9374436,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250926_BTCUSDT.csv.gz,v6,9374436,Tier priority: v6 > v4
20250923_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250923_BTCUSDT.csv.gz,v4,15873032,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250923_BTCUSDT.csv.gz,v6,15873032,Tier priority: v6 > v4
20250924_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250924_BTCUSDT.csv.gz,v4,14926326,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250924_BTCUSDT.csv.gz,v6,14926326,Tier priority: v6 > v4
20250925_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250925_BTCUSDT.csv.gz,v4,13304669,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250925_BTCUSDT.csv.gz,v6,13304669,Tier priority: v6 > v4
20250922_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250922_BTCUSDT.csv.gz,v4,24149919,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250922_BTCUSDT.csv.gz,v6,24149919,Tier priority: v6 > v4
20250923_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250923_BTCUSDT.csv.gz,v4,30191701,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250923_BTCUSDT.csv.gz,v6,30191701,Tier priority: v6 > v4
20250925_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250925_BTCUSDT.csv.gz,v4,215546421,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250925_BTCUSDT.csv.gz,v6,215546421,Tier priority: v6 > v4
20250924_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250924_BTCUSDT.csv.gz,v4,23919280,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250924_BTCUSDT.csv.gz,v6,23919280,Tier priority: v6 > v4
20250922_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250922_BTCUSDT.csv.gz,v4,151876622,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250922_BTCUSDT.csv.gz,v6,190657779,Tier priority: v6 > v4
20250923_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250923_BTCUSDT.csv.gz,v4,120946122,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250923_BTCUSDT.csv.gz,v6,130179220,Tier priority: v6 > v4
20250925_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250925_BTCUSDT.csv.gz,v4,38029400,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250925_BTCUSDT.csv.gz,v6,38029400,Tier priority: v6 > v4
20250924_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250924_BTCUSDT.csv.gz,v4,110012330,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250924_BTCUSDT.csv.gz,v6,178564244,Tier priority: v6 > v4
20250922_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250922_BTCUSDT.csv.gz,v4,25956974,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250922_BTCUSDT.csv.gz,v6,25956974,Tier priority: v6 > v4
20250928_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250928_BTCUSDT.csv.gz,v4,15938180,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250928_BTCUSDT.csv.gz,v6,15938180,Tier priority: v6 > v4
20250926_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250926_BTCUSDT.csv.gz,v4,159607519,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250926_BTCUSDT.csv.gz,v6,210608322,Tier priority: v6 > v4
20250927_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250927_BTCUSDT.csv.gz,v4,9571057,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250927_BTCUSDT.csv.gz,v6,9571057,Tier priority: v6 > v4
20250928_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250928_BTCUSDT.csv.gz,v4,74447420,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250928_BTCUSDT.csv.gz,v6,116761482,Tier priority: v6 > v4
20250926_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250926_BTCUSDT.csv.gz,v4,28952018,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250926_BTCUSDT.csv.gz,v6,28952018,Tier priority: v6 > v4
20250927_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250927_BTCUSDT.csv.gz,v4,46799115,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250927_BTCUSDT.csv.gz,v6,123692125,Tier priority: v6 > v4
