edge,lag,lag_s,coef,se,t,p_raw,n_obs
BINANCE->BITGET,1,5,0.0014489426164622293,0.008120694439463023,0.17842594956177663,0.8583911841385159,13326
BINANCE->BITGET,3,15,-0.008591680224967282,0.00846573457389625,-1.0148771084153028,0.3101828425322428,13324
BINANCE->BITGET,6,30,0.006550437234900825,0.007818408182985364,0.8378223650635263,0.40214550986059217,13321
BINANCE->BYBITSPOT,1,5,-0.008253133762093691,0.008615313411468557,-0.9579609432556756,0.3380989840122295,14012
BINANCE->BYBITSPOT,3,15,-0.011758813835083162,0.008407986519135007,-1.3985291018631272,0.16197637794976538,14010
BINANCE->BYBITSPOT,6,30,-0.006327715133256071,0.008386695998421193,-0.7544943961778598,0.4505650951262896,14007
BINANCE->COINBASE,1,5,-0.002161456528065594,0.012585053354536715,-0.17174790341960866,0.863637763793272,17038
BINANCE->COINBASE,3,15,0.025597358507655252,0.011898346910690286,2.151337383234039,0.03146359666662368,17036
BINANCE->COINBASE,6,30,0.034105196684652755,0.010396680615246328,3.2803928433310543,0.0010387086906105125,17033
BITGET->BINANCE,1,5,-0.011230925628690642,0.009709642031147539,-1.1566776192843136,0.24742483422856565,13326
BITGET->BINANCE,3,15,0.0034989328490508537,0.010091985177373775,0.34670412089937064,0.7288190899685139,13324
BITGET->BINANCE,6,30,-0.0077743350592976495,0.0107191684219937,-0.7252740840741143,0.4682966434978941,13321
BITGET->BYBITSPOT,1,5,0.02240144107846475,0.011669419981562594,1.9196704818113064,0.054923271721964984,11975
BITGET->BYBITSPOT,3,15,0.018942848351596313,0.011698903905058166,1.6191985595681437,0.10543089009578432,11973
BITGET->BYBITSPOT,6,30,0.013406348082642083,0.010465732175318649,1.2809756506341996,0.20022704013685289,11970
BITGET->COINBASE,1,5,-0.0022644073896757938,0.006920738867864792,-0.32719156623437456,0.7435281880332116,13201
BITGET->COINBASE,3,15,0.007185634546639809,0.007850516562022436,0.9153072272213204,0.36004708990312917,13199
BITGET->COINBASE,6,30,-0.002756359968364252,0.007681763891520673,-0.3588186264624447,0.7197365187911484,13196
BYBITSPOT->BINANCE,1,5,-0.005216380062505054,0.01042143199286536,-0.5005435017065075,0.6167002959763286,14012
BYBITSPOT->BINANCE,3,15,0.015348609620513941,0.010200321551481368,1.504718213347392,0.13241908432470662,14010
BYBITSPOT->BINANCE,6,30,-0.014299026577323206,0.009906908940154086,-1.4433388520779933,0.14894740668027318,14007
BYBITSPOT->BITGET,1,5,-0.020370547114870165,0.0107421611892601,-1.8963173942350096,0.05794213747295185,11975
BYBITSPOT->BITGET,3,15,3.818608410625793e-05,0.009781822489459847,0.003903780113307553,0.9968853070780217,11973
BYBITSPOT->BITGET,6,30,-0.021512573228615234,0.011967127520133729,-1.7976388395980625,0.07225945612069284,11970
BYBITSPOT->COINBASE,1,5,-0.008938700396690844,0.009304294177199239,-0.9607069839424999,0.33671622959720926,13902
BYBITSPOT->COINBASE,3,15,0.01110563598093561,0.008562852210228266,1.2969552327050566,0.19466812116766863,13900
BYBITSPOT->COINBASE,6,30,-0.0010546569907276702,0.007302744784103445,-0.14441925904674074,0.8851715041995492,13897
COINBASE->BINANCE,1,5,-0.004931130158394665,0.010602679496963004,-0.4650833932881892,0.6418776823795913,17038
COINBASE->BINANCE,3,15,0.0018340990606286727,0.010714818057411485,0.1711740741467858,0.8640889256326512,17036
COINBASE->BINANCE,6,30,-0.012035739773963328,0.010957050337199228,-1.0984470640882196,0.2720248491879007,17033
COINBASE->BITGET,1,5,-0.009537425366387653,0.011712665985745377,-0.8142830486240239,0.41549750882450787,13201
COINBASE->BITGET,3,15,0.0044773109397388015,0.010180196662822995,0.4398059377467106,0.6600848687776391,13199
COINBASE->BITGET,6,30,-0.004844561525560686,0.010897248524503243,-0.44456740751276275,0.6566396974103226,13196
COINBASE->BYBITSPOT,1,5,-0.023549271780281898,0.009457055811965886,-2.490127186358076,0.012781328418911997,13902
COINBASE->BYBITSPOT,3,15,-0.013471114050203056,0.008289821652684604,-1.6250185606635488,0.10418127909556318,13900
COINBASE->BYBITSPOT,6,30,0.001139491569780317,0.007678627085558305,0.14839782647127547,0.8820309686989356,13897
