edge,lag,lag_s,coef,se,t,p_raw,n_obs
BINANCE->BITGET,1,5,-0.004506911629117338,0.008792008191976947,-0.5126145848260323,0.6082293907743743,13414
BINANCE->BITGET,3,15,0.0003889877129040018,0.010557035030755876,0.03684630313063862,0.9706081029838454,13412
BINANCE->BITGET,6,30,-0.012798017918949042,0.00908894083412739,-1.408086833494912,0.15912854610141025,13409
BINANCE->BYBITSPOT,1,5,0.01312275676698618,0.009916591007623788,1.323313299590305,0.18575138850031436,14996
BINANCE->BYBITSPOT,3,15,-0.0056840809366992436,0.008375356464771055,-0.6786673451581408,0.49735913698674317,14994
BINANCE->BYBITSPOT,6,30,0.0043279544339516205,0.007391792273720656,0.5855081249155756,0.5582149198021442,14991
BINANCE->COINBASE,1,5,0.05798373214471991,0.013987977862830474,4.145254783309106,3.410842033657602e-05,16969
BINANCE->COINBASE,3,15,0.010468960604075844,0.013178945289421734,0.7943701392006615,0.4269910943086854,16967
BINANCE->COINBASE,6,30,-0.0006264753382506198,0.012774961385064457,-0.04903931365170689,0.9608885432345362,16964
BITGET->BINANCE,1,5,0.01152189295756916,0.009409665919889081,1.224474179600308,0.2207949077178446,13414
BITGET->BINANCE,3,15,8.707085559614826e-05,0.009025920624200896,0.009646756183816654,0.9923032650567101,13412
BITGET->BINANCE,6,30,-0.009750539467729417,0.009114113989424168,-1.0698285624958985,0.28471574314960346,13409
BITGET->BYBITSPOT,1,5,-0.01147810506524094,0.008956996606827155,-1.2814680600070965,0.20005337867160344,12348
BITGET->BYBITSPOT,3,15,0.0014159869612318117,0.00876588037742662,0.16153391333951786,0.8716755467388366,12346
BITGET->BYBITSPOT,6,30,0.004839281711898019,0.008834462948698777,0.5477731628962,0.5838575749545618,12343
BITGET->COINBASE,1,5,-0.0074646349106216574,0.007307641019030881,-1.0214835254197525,0.3070440291741492,13274
BITGET->COINBASE,3,15,-0.010142759430189338,0.007068402429913063,-1.4349436850490822,0.15132671283788834,13272
BITGET->COINBASE,6,30,-0.006829343368290415,0.005830585934167139,-1.171296237702385,0.2415007588494842,13269
BYBITSPOT->BINANCE,1,5,-0.011371919237405687,0.010358459929374914,-1.0978388018045777,0.2722925140847632,14996
BYBITSPOT->BINANCE,3,15,0.0019069269481445986,0.007501933060501511,0.25419141076914903,0.7993511720377369,14994
BYBITSPOT->BINANCE,6,30,-0.012723335748963817,0.009168954899873417,-1.3876538698144834,0.16526309735355071,14991
BYBITSPOT->BITGET,1,5,-0.012167426686044577,0.009801267044757958,-1.2414136489171692,0.21447656460225462,12348
BYBITSPOT->BITGET,3,15,0.00029682827092424063,0.011154460788786583,0.026610723417723407,0.9787706503989586,12346
BYBITSPOT->BITGET,6,30,0.0018918111895228837,0.009423000387677502,0.20076526707956133,0.8408854312141429,12343
BYBITSPOT->COINBASE,1,5,-0.0011835026319395323,0.009236950650475093,-0.12812698440460543,0.8980502151673817,14864
BYBITSPOT->COINBASE,3,15,-0.007890745318277754,0.007870462381583314,-1.0025770959457099,0.316081276338974,14862
BYBITSPOT->COINBASE,6,30,0.0028808714889015734,0.009165988374534934,0.314300146496503,0.753297500145993,14859
COINBASE->BINANCE,1,5,0.11543180472013805,0.027149821426505464,4.251659814139544,2.1332483395530843e-05,16998
COINBASE->BINANCE,3,15,0.005396168779623311,0.010925788970857815,0.4938928249498894,0.6213882553298671,16996
COINBASE->BINANCE,6,30,-0.01746525691159164,0.0141388780458984,-1.2352646974459336,0.21674908766843282,16993
COINBASE->BITGET,1,5,-0.005551838594368558,0.007914500225574238,-0.7014768382252138,0.4830177837821612,13274
COINBASE->BITGET,3,15,0.00203987701164216,0.008988001453653886,0.22695557206578892,0.8204617850793126,13272
COINBASE->BITGET,6,30,-0.00913772548594174,0.008022278588440443,-1.139043650155528,0.25470551450293666,13269
COINBASE->BYBITSPOT,1,5,0.0056449682344568855,0.012735939329835966,0.4432314011760914,0.6576048198186508,14864
COINBASE->BYBITSPOT,3,15,-0.010227325172507618,0.009148660881659046,-1.1179040632067854,0.2636260418058003,14862
COINBASE->BYBITSPOT,6,30,0.007805826630823482,0.009909585606948743,0.7877046468370912,0.4308820533692552,14859
