edge,lag,lag_s,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs
BINANCE->BITGET,1,5,0.1006516995437239,0.011551606780674156,8.713220719399335,0.0,17120
BINANCE->BITGET,3,15,0.11779456349124239,0.012594172593098184,9.353100620186495,0.0,17118
BINANCE->BITGET,6,30,0.028296716599543952,0.013131394569033988,2.154890438390475,0.03118431536469668,17115
BINANCE->BYBITSPOT,1,5,0.017070866935634667,0.01047044162733407,1.6303865245826468,0.10303894089313714,16482
BINANCE->BYBITSPOT,3,15,-0.01912326487509638,0.010406479354999254,-1.8376305975093872,0.06613485068980385,16480
BINANCE->BYBITSPOT,6,30,-0.00034877344785599147,0.010326644372231256,-0.033774131778359355,0.973057673174387,16477
BINANCE->COINBASE,1,5,0.05060488263785404,0.011273662029795468,4.488770596821957,7.210161319992636e-06,17160
BINANCE->COINBASE,3,15,-0.006474382724945031,0.012131289207099263,-0.5336928841129437,0.5935609474542667,17158
BINANCE->COINBASE,6,30,0.017153754826757586,0.01195200740193879,1.4352195618599597,0.15124277408623366,17155
BITGET->BINANCE,1,5,-0.003401614662440414,0.014671964367092605,-0.23184452860789476,0.81666154165928,17120
BITGET->BINANCE,3,15,0.01007314663694025,0.012212939127291008,0.8247929947043474,0.40950061867365317,17118
BITGET->BINANCE,6,30,0.003867488400187021,0.014538260114018344,0.26602140626565357,0.7902259277825867,17115
BITGET->BYBITSPOT,1,5,-0.015879557874107213,0.010956959773620923,-1.4492667858777335,0.14728220299756223,16411
BITGET->BYBITSPOT,3,15,0.00552538335374705,0.009650925492273504,0.5725236774618819,0.5669750946139613,16409
BITGET->BYBITSPOT,6,30,0.009124110324160458,0.010493672280264946,0.8694868755640319,0.3845936053919585,16406
BITGET->COINBASE,1,5,0.0033902272290391613,0.012435411922489327,0.27262685387268654,0.7851433670218004,17061
BITGET->COINBASE,3,15,0.00442386333515366,0.011349023026171199,0.38980124764502583,0.6966883880406827,17059
BITGET->COINBASE,6,30,0.011243688151092711,0.011847829882132047,0.9490082372004299,0.34262987027783254,17056
BYBITSPOT->BINANCE,1,5,-0.01112718989015933,0.011096728281202912,-1.0027450982113366,0.31599858715614637,16482
BYBITSPOT->BINANCE,3,15,-0.007086686558467738,0.010842283817841235,-0.6536156659915532,0.5133685690405243,16480
BYBITSPOT->BINANCE,6,30,-0.01467893261176525,0.010524603124887968,-1.3947255243338692,0.16311742895006986,16477
BYBITSPOT->BITGET,1,5,0.010350546707061358,0.010629742867754123,0.9737344389072927,0.3302027667351508,16411
BYBITSPOT->BITGET,3,15,-0.007595156818801701,0.010543786799934996,-0.7203443092047846,0.4713232919119492,16409
BYBITSPOT->BITGET,6,30,-0.020630046270594612,0.010169015344803488,-2.028716210083886,0.04250332366076193,16406
BYBITSPOT->COINBASE,1,5,-0.006711130005740736,0.010189194385554528,-0.6586516805740079,0.5101287021367744,16424
BYBITSPOT->COINBASE,3,15,-0.0007343229996105471,0.010239356555125723,-0.07171573679040917,0.9428290056947359,16422
BYBITSPOT->COINBASE,6,30,0.00040920959741293667,0.010419491735510784,0.039273470126983734,0.968672835612024,16419
COINBASE->BINANCE,1,5,0.04028092110289207,0.01125016168531036,3.5804748615735855,0.00034391758232121816,17160
COINBASE->BINANCE,3,15,0.0018737716574273116,0.012214677597347618,0.15340328408129214,0.8780820594288525,17158
COINBASE->BINANCE,6,30,-0.020990385649084727,0.014762622586808733,-1.4218602098410933,0.1550850181394552,17155
COINBASE->BITGET,1,5,0.04623448503575706,0.01270961257966631,3.637757228707828,0.00027583327657798584,17061
COINBASE->BITGET,3,15,0.030913887643175677,0.011026559983460457,2.8035840452095373,0.005059513420248907,17059
COINBASE->BITGET,6,30,0.00264245090040089,0.012498818938650506,0.2114160476578753,0.8325651617519181,17056
COINBASE->BYBITSPOT,1,5,-0.004097886371606853,0.011272934705388161,-0.36351548897450575,0.7162245239157401,16424
COINBASE->BYBITSPOT,3,15,-0.005420753555120273,0.011551944620223712,-0.4692503066219942,0.6388969613006537,16422
COINBASE->BYBITSPOT,6,30,-0.007440751891939559,0.010885491401237738,-0.6835476339720875,0.4942705083906731,16419
