session,predictor,coefficient,r2,n_obs
Asia,binance_return_0,-0.0010690046895721135,0.33439740899052517,1800
Asia,binance_return_1,-0.0020481124836171185,0.33439740899052517,1800
Asia,binance_return_5,-0.0020936706232044474,0.33439740899052517,1800
Asia,binance_spread,0.00033109916392364615,0.33439740899052517,1800
Asia,binance_spread_change,-0.00011844523125376223,0.33439740899052517,1800
Asia,binance_basis,-0.0015307767195762237,0.33439740899052517,1800
Asia,coinbase_return_0,-0.00017301772244268063,0.33439740899052517,1800
Asia,coinbase_return_1,-3.838416939096432e-05,0.33439740899052517,1800
Asia,coinbase_return_5,-0.00012389316813918197,0.33439740899052517,1800
Asia,coinbase_spread,0.0007879832926797832,0.33439740899052517,1800
Asia,coinbase_spread_change,-0.0004968885507042536,0.33439740899052517,1800
Asia,coinbase_basis,0.000801563618729257,0.33439740899052517,1800
Asia,kraken_return_0,-0.0010367195940705904,0.33439740899052517,1800
Asia,kraken_return_1,0.0004370264562294866,0.33439740899052517,1800
Asia,kraken_return_5,0.0012705239630413274,0.33439740899052517,1800
Asia,kraken_spread,7.770739485673515e-05,0.33439740899052517,1800
Asia,kraken_spread_change,4.8067481470722924e-08,0.33439740899052517,1800
Asia,kraken_basis,-0.0026975456381385494,0.33439740899052517,1800
Asia,okx_return_0,-0.0019046788684748991,0.33439740899052517,1800
Asia,okx_return_1,-0.001206556395304827,0.33439740899052517,1800
Asia,okx_return_5,-0.0003910874613597597,0.33439740899052517,1800
Asia,okx_spread,-3.270443898294612e-05,0.33439740899052517,1800
Asia,okx_spread_change,-7.52835107581301e-05,0.33439740899052517,1800
Asia,okx_basis,0.0007205488736608597,0.33439740899052517,1800
Asia,bybit_return_0,-0.0012255625261559848,0.33439740899052517,1800
Asia,bybit_return_1,-0.0013195999723905666,0.33439740899052517,1800
Asia,bybit_return_5,-0.001405709666670553,0.33439740899052517,1800
Asia,bybit_spread,-0.00016204632739885675,0.33439740899052517,1800
Asia,bybit_spread_change,0.0003259435749632804,0.33439740899052517,1800
Asia,bybit_basis,0.0023841854697682174,0.33439740899052517,1800
Asia,dispersion,-0.0022861666375592867,0.33439740899052517,1800
Europe,binance_return_0,-0.001960982945598389,0.30718488207511874,16204
Europe,binance_return_1,-0.0009601238903470965,0.30718488207511874,16204
Europe,binance_return_5,-0.0003635230276763543,0.30718488207511874,16204
Europe,binance_spread,7.8666791452962e-05,0.30718488207511874,16204
Europe,binance_spread_change,-3.227550075581208e-05,0.30718488207511874,16204
Europe,binance_basis,-0.00033735098318196834,0.30718488207511874,16204
Europe,coinbase_return_0,-0.0015612930958371748,0.30718488207511874,16204
Europe,coinbase_return_1,-0.0008154373573290968,0.30718488207511874,16204
Europe,coinbase_return_5,-0.00015523976863815247,0.30718488207511874,16204
Europe,coinbase_spread,0.00031399458020035695,0.30718488207511874,16204
