date,venue,filename,url,http_status,content_length,sha256,status
20250901,BINANCE,BINANCE_20250901_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250901/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,103704323,746d8175c1be1ff68bb182d024e701a37313c27340b1f981c5374ee4a7246eb4,SUCCESS
20250901,COINBASE,COINBASE_20250901_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250901/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,39113048,b6710270cae45bf2b3463839e15e6799e97b6446264c1f841e148c3d7c0e5fc5,SUCCESS
20250901,BYBITSPOT,BYBITSPOT_20250901_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250901/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,24252733,475fd529888a0412340a6240ba0c22fe7db4e1396cd5b77348e6a47142739ff7,SUCCESS
20250901,BITGET,BITGET_20250901_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250901/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,13151610,071066b235a5dc782b28b2d41cb833b2fd2699ef0e14b2ba4f4c09b6ee24c57a,SUCCESS
20250902,BINANCE,BINANCE_20250902_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250902/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,99109875,7f9919a85ea80aa11451ee509c8d1d78966046f717bdf9d767f077ae8456b82b,SUCCESS
20250902,COINBASE,COINBASE_20250902_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250902/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,34858538,04f3b480f35ee7d6b23ff292e6a0f00ff5e63201068671476f4ee798a4517f83,SUCCESS
20250902,BYBITSPOT,BYBITSPOT_20250902_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250902/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,25145369,3f6111e1b20ba0ed4e2d0e735880dfa64da72665de24491b8e31c41218b40f47,SUCCESS
20250902,BITGET,BITGET_20250902_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250902/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,18133935,abef780b03b3e74ce6e1d8e6e36a40680f45ce7a7cdaec61babb69001192eb1b,SUCCESS
20250903,BINANCE,BINANCE_20250903_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250903/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,86951018,51cfe4aedd8b3105e0579754e070c5f51ff3a7e2dbc6360b4fff63c29fd1ed59,SUCCESS
20250903,COINBASE,COINBASE_20250903_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250903/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,29854875,f43387306b144e98a42d01ea6abf3379ea5ee5c4f9b1a1cbfc3b6f3abc108901,SUCCESS
20250903,BYBITSPOT,BYBITSPOT_20250903_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250903/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,18478944,88b5cc309a9498592a874fdcb3f93056f8f0672c2f77726ddd2ea7758bd0f1c7,SUCCESS
20250903,BITGET,BITGET_20250903_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250903/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,10329636,c5541af453fa54829fa49cc3b2871c52d9c57019ee3d82cb3cf2a4ec7bf4ff23,SUCCESS
20250904,BINANCE,BINANCE_20250904_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250904/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,86469717,8e79fc1282d63de83f28a49ea917bc53ec6cabec3737e6a65d7f5ca6acc988f2,SUCCESS
20250904,COINBASE,COINBASE_20250904_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250904/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,30565853,b347b2020501cb44c15ca01bba9d16acc786448b3b504214f0cdf2aa6a6bec97,SUCCESS
20250904,BYBITSPOT,BYBITSPOT_20250904_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250904/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,17694354,516b6405d0a5ab8e7d2ab93a17c75e6e18a04dbfec1326f95ee11fb40b83390c,SUCCESS
20250904,BITGET,BITGET_20250904_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250904/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,9066790,905896fdc62f7a1ed9615a84160fb7be99d28bf1a3cfe2dda5b1fe4a75ccc5ba,SUCCESS
20250905,BINANCE,BINANCE_20250905_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250905/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,67604144,b28c7acdafac918b14f784dff45cd9497c73f6990d6eeb1f3320e30b0be4e121,SUCCESS
20250905,COINBASE,COINBASE_20250905_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250905/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,33756007,50d4f50bf85dd7aa350bbe8ccd0ca1f04fdde214b9ee6fef1ab033e547058e5f,SUCCESS
20250905,BYBITSPOT,BYBITSPOT_20250905_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250905/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,26037133,fb0ec20eadafc94f464e235852ae718e846f0e7e4f978598aa120891ae10632c,SUCCESS
20250905,BITGET,BITGET_20250905_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250905/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,10679384,5762a23608971d7da50ca93f2a914695ec227d5f2e2eb020b47a31a3528dd956,SUCCESS
20250906,BINANCE,BINANCE_20250906_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250906/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,48708542,3e36e5ea037d320cf17a19db6cbcde1051205dd50643c5c3b29be3a2350abd07,SUCCESS
20250906,COINBASE,COINBASE_20250906_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250906/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,18035169,a06c4bce69c17855daae3c7bc54b6135984ceec8c2529f47b4607a19ef7416b1,SUCCESS
20250906,BYBITSPOT,BYBITSPOT_20250906_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250906/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,7146089,5ce499c7de0eb13ef7b484a47f6ee0fbb4314335362909eebb0c8c8e3a7dd702,SUCCESS
20250906,BITGET,BITGET_20250906_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250906/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,4625901,05642eec23ccb9482572010caaac9ef64ac3d2b5eaab6cc93f623f8f99ccc0b4,SUCCESS
20250907,BINANCE,BINANCE_20250907_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250907/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,54630281,fc66d338051b298825cea3d4e237d48bbc625986de0ee96ed8038876bd8b6481,SUCCESS
20250907,COINBASE,COINBASE_20250907_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250907/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,16897219,ac1142b33a75e3656272b35e83044dd4881711c84f91d1bff5281be426471022,SUCCESS
20250907,BYBITSPOT,BYBITSPOT_20250907_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250907/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,8281826,26a320a80ccae716fe1fc6edb3a644d642fdc43e2f5a1f983b477520c1764004,SUCCESS
20250907,BITGET,BITGET_20250907_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250907/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,4661605,df2a89bb1579532d00deca925d3f7842191d88f155042863af867891c87743f9,SUCCESS
