ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:04:25.890701,kraken,6,,,0,0
2025-09-28T00:04:25.890701,okx,80,,,0,0
2025-09-28T00:04:25.890701,bybit,32,,,0,0
2025-09-28T00:04:25.891046,binance,18,1759010665017,1759010665124,0,0
2025-09-28T00:04:25.891046,coinbase,40,,,0,0
2025-09-28T00:04:25.891046,kraken,6,,,0,0
2025-09-28T00:04:25.891046,okx,80,,,0,0
2025-09-28T00:04:25.891046,bybit,32,,,0,0
2025-09-28T00:04:30.892804,binance,23,1759010670020,1759010670127,0,0
2025-09-28T00:04:30.892804,coinbase,48,,,0,0
2025-09-28T00:04:30.892804,kraken,6,,,0,0
2025-09-28T00:04:30.892804,okx,109,,,0,0
2025-09-28T00:04:30.892804,bybit,40,,,0,0
2025-09-28T00:04:30.893677,binance,23,1759010670020,1759010670127,0,0
2025-09-28T00:04:30.893677,coinbase,48,,,0,0
2025-09-28T00:04:30.893677,kraken,6,,,0,0
2025-09-28T00:04:30.893677,okx,109,,,0,0
2025-09-28T00:04:30.893677,bybit,40,,,0,0
2025-09-28T00:04:30.894192,binance,23,1759010670020,1759010670127,0,0
2025-09-28T00:04:30.894192,coinbase,48,,,0,0
2025-09-28T00:04:30.894192,kraken,6,,,0,0
2025-09-28T00:04:30.894192,okx,109,,,0,0
2025-09-28T00:04:30.894192,bybit,40,,,0,0
2025-09-28T00:04:30.894615,binance,23,1759010670020,1759010670127,0,0
2025-09-28T00:04:30.894615,coinbase,48,,,0,0
2025-09-28T00:04:30.894615,kraken,6,,,0,0
2025-09-28T00:04:30.894615,okx,109,,,0,0
2025-09-28T00:04:30.894615,bybit,40,,,0,0
2025-09-28T00:04:30.894982,binance,23,1759010670020,1759010670127,0,0
2025-09-28T00:04:30.894982,coinbase,48,,,0,0
2025-09-28T00:04:30.894982,kraken,6,,,0,0
2025-09-28T00:04:30.894982,okx,109,,,0,0
2025-09-28T00:04:30.894982,bybit,40,,,0,0
2025-09-28T00:04:35.970562,binance,28,1759010675016,1759010675125,0,0
2025-09-28T00:04:35.970562,coinbase,59,,,0,0
2025-09-28T00:04:35.970562,kraken,7,,,0,0
2025-09-28T00:04:35.970562,okx,131,,,0,0
2025-09-28T00:04:35.970562,bybit,43,,,0,0
2025-09-28T00:04:35.971156,binance,28,1759010675016,1759010675125,0,0
2025-09-28T00:04:35.971156,coinbase,59,,,0,0
2025-09-28T00:04:35.971156,kraken,7,,,0,0
2025-09-28T00:04:35.971156,okx,131,,,0,0
