edge,lag,lag_s,coef_D1,se_D1,t_D1,p_D1,p_fdr_D1,coef_D2,se_D2,t_D2,p_D2,p_fdr_D2,abs_coef_D1,abs_coef_D2
BINANCE->COINBASE,1,5,0.0564126224053119,0.0014294838054823,39.46363168925719,0.0,0.0,-0.002060221361402,0.0047840716316569,-0.4306418298106719,0.666734230778085,0.7500760096253457,0.0564126224053119,0.002060221361402
BINANCE->COINBASE,3,15,0.0080112540270382,0.0014924873825087,5.367719768305326,8.080302937862882e-08,2.9089090576306375e-07,0.0032724882089512,0.0047842917171513,0.6840068295207757,0.4939800924572881,0.6132166664987025,0.0080112540270382,0.0032724882089512
BINANCE->COINBASE,6,30,0.0006679485312648,0.0014936112362117,0.44720374021754,0.6547337623380041,0.673440441261947,0.0129072967592146,0.0047835278005268,2.698279867380089,0.0069767024386537,0.0179400919851097,0.0006679485312648,0.0129072967592146
BINANCE->BYBITSPOT,1,5,0.0243096195695968,0.0012144483829171,20.01700517827173,0.0,0.0,-0.0399996618322433,0.0054456170025329,-7.345294723010803,2.149391775674303e-13,1.1054014846324986e-12,0.0243096195695968,0.0399996618322433
BINANCE->BYBITSPOT,3,15,0.0058319270714194,0.0012278441881202,4.749728937795878,2.053823491943163e-06,6.721604155450351e-06,-0.0016832511748447,0.005454749397151,-0.3085845109078605,0.757641505909268,0.8022086533156956,0.0058319270714194,0.0016832511748447
BINANCE->BYBITSPOT,6,30,0.0010616917556755,0.00122787133805,0.8646604271760547,0.3872376181612873,0.4646851417935447,0.00149780774637,0.0054552506202509,0.2745625912785484,0.7836557527429764,0.8047006863910311,0.0010616917556755,0.00149780774637
BINANCE->BITGET,1,5,0.0203254178318334,0.0013047333154402,15.57821632306204,0.0,0.0,0.0084927157307554,0.0051913069413241,1.6359494490975437,0.1018685531228669,0.1666939960192367,0.0203254178318334,0.0084927157307554
BINANCE->BITGET,3,15,0.0038368040304374,0.0013136536703801,2.9207119935402552,0.003496997671234,0.0074054068332014,0.0678475957990172,0.005166172290245,13.133049381091851,0.0,0.0,0.0038368040304374,0.0678475957990172
BINANCE->BITGET,6,30,0.0023982774218659,0.0013139555039178,1.825234884069497,0.0679834485431558,0.1288107446080847,0.0165163508174289,0.0051909608361539,3.1817521531651582,0.0014664849580618,0.0040610352684791,0.0023982774218659,0.0165163508174289
COINBASE->BINANCE,1,5,-0.0295766057814882,0.0016268653026675,-18.180119603627485,0.0,0.0,-0.0415098813418252,0.0051044395716276,-8.132113380781723,4.440892098500626e-16,2.664535259100376e-15,0.0295766057814882,0.0415098813418252
COINBASE->BINANCE,3,15,-0.007488613429403,0.0016417148612776,-4.561458025406008,5.116096990054331e-06,1.5348290970162992e-05,0.0066935385346683,0.0051143424102755,1.3087779420517291,0.1906271128487744,0.2859406692731616,0.007488613429403,0.0066935385346683
COINBASE->BINANCE,6,30,6.726634727950026e-05,0.0016425599444122,0.0409521415083401,0.9673345390422584,0.9673345390422584,-0.0094840066610388,0.0051142838418064,-1.854415389210949,0.0636969066106016,0.1235803532556825,6.726634727950026e-05,0.0094840066610388
COINBASE->BYBITSPOT,1,5,-0.0178598691512236,0.0014644664168104,-12.195478807988916,0.0,0.0,-0.0536435835931037,0.0055836441545973,-9.60727118488308,0.0,0.0,0.0178598691512236,0.0536435835931037
COINBASE->BYBITSPOT,3,15,-0.0018971849451884,0.0014708547340781,-1.2898520168121697,0.1971199058018824,0.2957920147795086,0.0054737291162319,0.0055994000808542,0.977556351964913,0.3283081966509185,0.4545805799781948,0.0018971849451884,0.0054737291162319
COINBASE->BYBITSPOT,6,30,0.0016836024205388,0.0014708759992192,1.1446256662237349,0.2523806640285597,0.3494501501933904,-0.0049219691261888,0.0055998643552117,-0.8789443482872862,0.3794443161752596,0.5059257549003462,0.0016836024205388,0.0049219691261888
COINBASE->BITGET,1,5,-0.0179607449121211,0.0016800283491074,-10.690739190004274,0.0,0.0,-0.0247490987574246,0.0053951632565816,-4.58727522790577,4.52263860450941e-06,1.480136270566716e-05,0.0179607449121211,0.0247490987574246
COINBASE->BITGET,3,15,-0.0036226999301737,0.001685427054529,-2.149425524195181,0.0316150073687648,0.0632300147375297,0.0220167671536551,0.0053961445182005,4.080092199049746,4.5222568120451e-05,0.0001356677043613,0.0036226999301737,0.0220167671536551
COINBASE->BITGET,6,30,0.0021345277492801,0.0016855958982685,1.266334209446512,0.2054111213746587,0.2957920147795086,0.0032717890552533,0.0053990738001987,0.6059908007060187,0.5445289275960592,0.653434713115271,0.0021345277492801,0.0032717890552533
BYBITSPOT->BINANCE,1,5,-0.0046690635277802,0.0012637838180014,-3.694511245731913,0.000221013288538,0.0005304318924913,-0.0632645104318288,0.0055214626143682,-11.457926069661076,0.0,0.0,0.0046690635277802,0.0632645104318288
BYBITSPOT->BINANCE,3,15,-0.0052383047668835,0.0012637160936299,-4.145159496890413,3.412524354651225e-05,8.775062626246007e-05,0.0022135420137507,0.0055435790237927,0.3992983601839782,0.6896785503877516,0.7523766004230018,0.0052383047668835,0.0022135420137507
BYBITSPOT->BINANCE,6,30,-0.0013193328136281,0.0012635180150211,-1.0441741217326317,0.2964199552524342,0.3952266070032457,-0.0092718073686415,0.0055438963298181,-1.6724352002710727,0.0944575248836625,0.1632627477255841,0.0013193328136281,0.0092718073686415
BYBITSPOT->COINBASE,1,5,0.0437806904309317,0.0013345138301053,32.80647187258846,0.0,0.0,-0.0325326424813163,0.005324635248103,-6.109834939943842,1.0198395461458174e-09,4.0793581845832705e-09,0.0437806904309317,0.0325326424813163
BYBITSPOT->COINBASE,3,15,0.0017441240194999,0.0013763338948927,1.2672244910715202,0.2050927027165254,0.2957920147795086,0.0066121755233735,0.0053307529343271,1.2403830387251178,0.2148514760913231,0.3093861255715053,0.0017441240194999,0.0066121755233735
BYBITSPOT->COINBASE,6,30,-0.0008766785627078,0.0013763845007353,-0.6369430651387886,0.5241706629067329,0.5718225413527995,0.0013184004906639,0.0053317786736569,0.2472721715133861,0.8047006863910311,0.8047006863910311,0.0008766785627078,0.0013184004906639
BYBITSPOT->BITGET,1,5,0.0057202039332297,0.0012890979394887,4.437369541912789,9.164751543000447e-06,2.537931196523201e-05,-0.0390923918658593,0.0054569958555441,-7.163720277731674,8.184564137536654e-13,3.683053861891494e-12,0.0057202039332297,0.0390923918658593
BYBITSPOT->BITGET,3,15,-0.0011173639587952,0.001289778287344,-0.866322506557483,0.386325774032398,0.4646851417935447,0.0041428282810725,0.005465694232652,0.7579692724710595,0.4484802652714919,0.5766174839204895,0.0011173639587952,0.0041428282810725
BYBITSPOT->BITGET,6,30,0.0009371715331615,0.0012894314913128,0.7268098689038013,0.4673526265173902,0.525771704832064,-0.0108290161782194,0.0054656207888894,-1.9812966534803749,0.0475746860874526,0.1020016753040823,0.0009371715331615,0.0108290161782194
BITGET->BINANCE,1,5,0.0023677066201076,0.0013643881100027,1.7353615168215542,0.0826952377072909,0.1417632646410701,-0.0604339113708018,0.0053454818805841,-11.305605878173388,0.0,0.0,0.0023677066201076,0.0604339113708018
BITGET->BINANCE,3,15,-0.0044751285435964,0.0013640492781698,-3.2807675024767224,0.0010373722738976,0.0023340876162697,0.0106015048239104,0.0053650536419368,1.976029604073681,0.0481674577824833,0.1020016753040823,0.0044751285435964,0.0106015048239104
BITGET->BINANCE,6,30,-0.0017447650432676,0.0013645519937022,-1.2786358096431414,0.2010431064828368,0.2957920147795086,0.0023914278962881,0.0053660879549531,0.4456557395934499,0.6558515785596741,0.7500760096253457,0.0017447650432676,0.0023914278962881
BITGET->COINBASE,1,5,0.0517750775244518,0.001541211706042,33.59374790723304,0.0,0.0,-0.0278027269741921,0.005208597375375,-5.3378529708662965,9.525653510422673e-08,3.4292352637521615e-07,0.0517750775244518,0.0278027269741921
BITGET->COINBASE,3,15,0.0028118406512385,0.0015915653564022,1.7667139083717944,0.0772944175834342,0.1391299516501816,0.0086976283831552,0.0052128702473279,1.668491247717806,0.095236602839924,0.1632627477255841,0.0028118406512385,0.0086976283831552
BITGET->COINBASE,6,30,-0.001251614757902,0.0015917416211008,-0.7863177926053686,0.4316924910102999,0.5013203121409935,0.0096121689677259,0.0052131091194743,1.8438457257336585,0.0652229642182768,0.1235803532556825,0.001251614757902,0.0096121689677259
BITGET->BYBITSPOT,1,5,0.0171308839383016,0.0012949812609038,13.22867322909708,0.0,0.0,-0.0588703581193152,0.00552421859703,-10.65677562994438,0.0,0.0,0.0171308839383016,0.0588703581193152
BITGET->BYBITSPOT,3,15,0.0012102788457881,0.0013015334740573,0.9298868372668868,0.3524431205626297,0.4531411550090953,0.0113230075566944,0.0055428736526081,2.042804557048955,0.0410877370459732,0.0986105689103357,0.0012102788457881,0.0113230075566944
BITGET->BYBITSPOT,6,30,-0.0007516820411542,0.0013012332319383,-0.5776689548840812,0.5634954328460839,0.5966422230135007,0.0079442774014155,0.0055437230922278,1.433022044797519,0.1518705958476052,0.2377104978484255,0.0007516820411542,0.0079442774014155
