start_time,end_time,duration,start_dispersion,end_dispersion,leader,start_idx,end_idx
2025-09-17 08:54:43+00:00,2025-09-17 08:54:47+00:00,5,0.0,0.0,binance,4179283,4179287
2025-09-17 08:54:44+00:00,2025-09-17 08:54:47+00:00,4,0.0,0.0,binance,4179284,4179287
2025-09-17 08:54:45+00:00,2025-09-17 08:54:47+00:00,3,0.0,0.0,binance,4179285,4179287
2025-09-17 08:54:49+00:00,2025-09-17 08:54:51+00:00,3,0.0,0.0,binance,4179289,4179291
2025-09-17 08:54:53+00:00,2025-09-17 08:54:56+00:00,4,0.0,0.0,binance,4179293,4179296
2025-09-17 08:54:54+00:00,2025-09-17 08:54:56+00:00,3,0.0,0.0,binance,4179294,4179296
2025-09-17 08:55:08+00:00,2025-09-17 08:55:10+00:00,3,0.0,0.0,binance,4179308,4179310
2025-09-17 08:55:14+00:00,2025-09-17 08:55:16+00:00,3,0.0,0.0,binance,4179314,4179316
2025-09-17 08:55:19+00:00,2025-09-17 08:55:21+00:00,3,0.0,0.0,binance,4179319,4179321
2025-09-17 08:55:34+00:00,2025-09-17 08:55:36+00:00,3,0.0,0.0,binance,4179334,4179336
2025-09-17 08:55:43+00:00,2025-09-17 08:55:47+00:00,5,0.0,0.0,binance,4179343,4179347
2025-09-17 08:55:44+00:00,2025-09-17 08:55:47+00:00,4,0.0,0.0,binance,4179344,4179347
2025-09-17 08:55:45+00:00,2025-09-17 08:55:47+00:00,3,0.0,0.0,binance,4179345,4179347
2025-09-17 08:55:49+00:00,2025-09-17 08:55:52+00:00,4,0.0,0.0,binance,4179349,4179352
2025-09-17 08:55:50+00:00,2025-09-17 08:55:52+00:00,3,0.0,0.0,binance,4179350,4179352
2025-09-17 08:55:59+00:00,2025-09-17 08:56:05+00:00,7,0.0,0.0,binance,4179359,4179365
2025-09-17 08:56:00+00:00,2025-09-17 08:56:05+00:00,6,0.0,0.0,binance,4179360,4179365
2025-09-17 08:56:01+00:00,2025-09-17 08:56:05+00:00,5,0.0,0.0,binance,4179361,4179365
2025-09-17 08:56:02+00:00,2025-09-17 08:56:05+00:00,4,0.0,0.0,binance,4179362,4179365
2025-09-17 08:56:03+00:00,2025-09-17 08:56:05+00:00,3,0.0,0.0,binance,4179363,4179365
2025-09-17 08:56:09+00:00,2025-09-17 08:56:11+00:00,3,0.0,0.0,binance,4179369,4179371
2025-09-17 08:56:15+00:00,2025-09-17 08:56:18+00:00,4,0.0,0.0,binance,4179375,4179378
2025-09-17 08:56:16+00:00,2025-09-17 08:56:18+00:00,3,0.0,0.0,binance,4179376,4179378
2025-09-17 08:56:29+00:00,2025-09-17 08:56:34+00:00,6,0.0,0.0,binance,4179389,4179394
2025-09-17 08:56:30+00:00,2025-09-17 08:56:34+00:00,5,0.0,0.0,binance,4179390,4179394
2025-09-17 08:56:31+00:00,2025-09-17 08:56:34+00:00,4,0.0,0.0,binance,4179391,4179394
2025-09-17 08:56:32+00:00,2025-09-17 08:56:34+00:00,3,0.0,0.0,binance,4179392,4179394
2025-09-17 08:56:36+00:00,2025-09-17 08:56:38+00:00,3,0.0,0.0,binance,4179396,4179398
2025-09-17 08:56:48+00:00,2025-09-17 08:56:53+00:00,6,0.0,0.0,binance,4179408,4179413
2025-09-17 08:56:49+00:00,2025-09-17 08:56:53+00:00,5,0.0,0.0,binance,4179409,4179413
2025-09-17 08:56:50+00:00,2025-09-17 08:56:53+00:00,4,0.0,0.0,binance,4179410,4179413
2025-09-17 08:56:51+00:00,2025-09-17 08:56:53+00:00,3,0.0,0.0,binance,4179411,4179413
2025-09-17 08:57:00+00:00,2025-09-17 08:57:02+00:00,3,0.0,0.0,binance,4179420,4179422
2025-09-17 08:57:06+00:00,2025-09-17 08:57:09+00:00,4,0.0,0.0,binance,4179426,4179429
2025-09-17 08:57:07+00:00,2025-09-17 08:57:09+00:00,3,0.0,0.0,binance,4179427,4179429
2025-09-17 08:57:29+00:00,2025-09-17 08:57:32+00:00,4,0.0,0.0,binance,4179449,4179452
2025-09-17 08:57:30+00:00,2025-09-17 08:57:32+00:00,3,0.0,0.0,binance,4179450,4179452
2025-09-17 08:57:43+00:00,2025-09-17 08:57:46+00:00,4,0.0,0.0,binance,4179463,4179466
2025-09-17 08:57:44+00:00,2025-09-17 08:57:46+00:00,3,0.0,0.0,binance,4179464,4179466
2025-09-17 08:57:59+00:00,2025-09-27 00:00:59+00:00,831781,0.0,0.0,binance,4179479,5011259
2025-09-17 08:58:00+00:00,2025-09-27 00:00:59+00:00,831780,0.0,0.0,binance,4179480,5011259
2025-09-17 08:58:01+00:00,2025-09-27 00:00:59+00:00,831779,0.0,0.0,binance,4179481,5011259
2025-09-17 08:58:02+00:00,2025-09-27 00:00:59+00:00,831778,0.0,0.0,binance,4179482,5011259
2025-09-17 08:58:03+00:00,2025-09-27 00:00:59+00:00,831777,0.0,0.0,binance,4179483,5011259
2025-09-17 08:58:04+00:00,2025-09-27 00:00:59+00:00,831776,0.0,0.0,binance,4179484,5011259
2025-09-17 08:58:05+00:00,2025-09-27 00:00:59+00:00,831775,0.0,0.0,binance,4179485,5011259
2025-09-17 08:58:06+00:00,2025-09-27 00:00:59+00:00,831774,0.0,0.0,binance,4179486,5011259
2025-09-17 08:58:07+00:00,2025-09-27 00:00:59+00:00,831773,0.0,0.0,binance,4179487,5011259
2025-09-17 08:58:08+00:00,2025-09-27 00:00:59+00:00,831772,0.0,0.0,binance,4179488,5011259
