,granger_results,significant_count,total_tests
2_lags,"{'mid_binance_causes_mid_coinbase': {'p_value': 0.9704387809152257, 'significant': False}, 'mid_binance_causes_mid_kraken': {'p_value': 0.14508625567062164, 'significant': False}, 'mid_binance_causes_mid_okx': {'p_value': 0.0035297866115862873, 'significant': True}, 'mid_binance_causes_mid_bybit': {'p_value': 0.6964980333026625, 'significant': False}, 'mid_coinbase_causes_mid_binance': {'p_value': 0.9769521716980668, 'significant': False}, 'mid_coinbase_causes_mid_kraken': {'p_value': 0.9946458804696283, 'significant': False}, 'mid_coinbase_causes_mid_okx': {'p_value': 0.8661677971415495, 'significant': False}, 'mid_coinbase_causes_mid_bybit': {'p_value': 0.8540665828820828, 'significant': False}, 'mid_kraken_causes_mid_binance': {'p_value': 0.001409349713160129, 'significant': True}, 'mid_kraken_causes_mid_coinbase': {'p_value': 0.9474774491609623, 'significant': False}, 'mid_kraken_causes_mid_okx': {'p_value': 0.09490899543588542, 'significant': False}, 'mid_kraken_causes_mid_bybit': {'p_value': 0.589960778509957, 'significant': False}, 'mid_okx_causes_mid_binance': {'p_value': 0.013819680728951242, 'significant': True}, 'mid_okx_causes_mid_coinbase': {'p_value': 0.7306429691031824, 'significant': False}, 'mid_okx_causes_mid_kraken': {'p_value': 0.009868980598675836, 'significant': True}, 'mid_okx_causes_mid_bybit': {'p_value': 0.18208672382268326, 'significant': False}, 'mid_bybit_causes_mid_binance': {'p_value': 0.6613617102177918, 'significant': False}, 'mid_bybit_causes_mid_coinbase': {'p_value': 0.8620791413828477, 'significant': False}, 'mid_bybit_causes_mid_kraken': {'p_value': 0.3520304681879397, 'significant': False}, 'mid_bybit_causes_mid_okx': {'p_value': 0.38803061016180707, 'significant': False}}",4,20
5_lags,"{'mid_binance_causes_mid_coinbase': {'p_value': 0.9704387809152257, 'significant': False}, 'mid_binance_causes_mid_kraken': {'p_value': 0.035233545270370176, 'significant': True}, 'mid_binance_causes_mid_okx': {'p_value': 0.00305611115237812, 'significant': True}, 'mid_binance_causes_mid_bybit': {'p_value': 0.3999829734199272, 'significant': False}, 'mid_coinbase_causes_mid_binance': {'p_value': 0.9769521716980668, 'significant': False}, 'mid_coinbase_causes_mid_kraken': {'p_value': 0.9946458804696283, 'significant': False}, 'mid_coinbase_causes_mid_okx': {'p_value': 0.8661677971415495, 'significant': False}, 'mid_coinbase_causes_mid_bybit': {'p_value': 0.8540665828820828, 'significant': False}, 'mid_kraken_causes_mid_binance': {'p_value': 1.1032636302693804e-05, 'significant': True}, 'mid_kraken_causes_mid_coinbase': {'p_value': 0.9474774491609623, 'significant': False}, 'mid_kraken_causes_mid_okx': {'p_value': 0.000666489356710537, 'significant': True}, 'mid_kraken_causes_mid_bybit': {'p_value': 0.589960778509957, 'significant': False}, 'mid_okx_causes_mid_binance': {'p_value': 8.798183959731223e-07, 'significant': True}, 'mid_okx_causes_mid_coinbase': {'p_value': 0.7306429691031824, 'significant': False}, 'mid_okx_causes_mid_kraken': {'p_value': 1.2319955046388437e-08, 'significant': True}, 'mid_okx_causes_mid_bybit': {'p_value': 0.08376248530737951, 'significant': False}, 'mid_bybit_causes_mid_binance': {'p_value': 0.07285415583770465, 'significant': False}, 'mid_bybit_causes_mid_coinbase': {'p_value': 0.8620791413828477, 'significant': False}, 'mid_bybit_causes_mid_kraken': {'p_value': 0.3520304681879397, 'significant': False}, 'mid_bybit_causes_mid_okx': {'p_value': 0.2983124225043946, 'significant': False}}",6,20
