edge,lag,wash_D1,vol_D1,wash_D2,vol_D2,correlation_D1,correlation_D2
BINANCE->COINBASE,1,0.00564126224053119,0.014294838054823001,0.0002060221361402,0.047840716316569006,,
BINANCE->COINBASE,3,0.0008011254027038201,0.014924873825087,0.00032724882089512004,0.047842917171513,,
BINANCE->COINBASE,6,6.679485312648e-05,0.014936112362117001,0.00129072967592146,0.047835278005268,,
BINANCE->BYBITSPOT,1,0.0024309619569596805,0.012144483829171,0.0039999661832243304,0.054456170025329,,
BINANCE->BYBITSPOT,3,0.00058319270714194,0.012278441881202001,0.00016832511748447003,0.05454749397151,,
BINANCE->BYBITSPOT,6,0.00010616917556755,0.0122787133805,0.00014978077463700002,0.054552506202509,,
BINANCE->BITGET,1,0.00203254178318334,0.013047333154402,0.0008492715730755401,0.051913069413241,,
BINANCE->BITGET,3,0.00038368040304374005,0.013136536703801,0.00678475957990172,0.05166172290245,,
BINANCE->BITGET,6,0.00023982774218659004,0.013139555039178,0.0016516350817428903,0.051909608361539,,
COINBASE->BINANCE,1,0.00295766057814882,0.016268653026675,0.00415098813418252,0.051044395716276,,
COINBASE->BINANCE,3,0.0007488613429403,0.016417148612776,0.00066935385346683,0.051143424102755006,,
COINBASE->BINANCE,6,6.726634727950026e-06,0.016425599444122,0.00094840066610388,0.051142838418063996,,
COINBASE->BYBITSPOT,1,0.00178598691512236,0.014644664168104,0.00536435835931037,0.055836441545972997,,
COINBASE->BYBITSPOT,3,0.00018971849451884,0.014708547340781,0.00054737291162319,0.055994000808542,,
COINBASE->BYBITSPOT,6,0.00016836024205388,0.014708759992192,0.00049219691261888,0.055998643552117,,
COINBASE->BITGET,1,0.0017960744912121102,0.016800283491074,0.0024749098757424603,0.053951632565816005,,
COINBASE->BITGET,3,0.00036226999301737,0.016854270545289998,0.00220167671536551,0.053961445182005005,,
COINBASE->BITGET,6,0.00021345277492801001,0.016855958982685,0.00032717890552533003,0.053990738001987,,
BYBITSPOT->BINANCE,1,0.00046690635277802,0.012637838180014,0.006326451043182881,0.055214626143682,,
BYBITSPOT->BINANCE,3,0.00052383047668835,0.012637160936299002,0.00022135420137507002,0.055435790237927,,
BYBITSPOT->BINANCE,6,0.00013193328136281002,0.012635180150211,0.00092718073686415,0.055438963298181,,
BYBITSPOT->COINBASE,1,0.00437806904309317,0.013345138301053001,0.0032532642481316303,0.053246352481030004,,
BYBITSPOT->COINBASE,3,0.00017441240194999,0.013763338948927001,0.00066121755233735,0.053307529343271,,
BYBITSPOT->COINBASE,6,8.766785627078002e-05,0.013763845007353,0.00013184004906639001,0.053317786736569,,
BYBITSPOT->BITGET,1,0.00057202039332297,0.012890979394887,0.00390923918658593,0.054569958555441,,
BYBITSPOT->BITGET,3,0.00011173639587952,0.012897782873440001,0.00041428282810725,0.054656942326520006,,
BYBITSPOT->BITGET,6,9.371715331615e-05,0.012894314913128,0.00108290161782194,0.054656207888894,,
BITGET->BINANCE,1,0.00023677066201076,0.013643881100027,0.00604339113708018,0.05345481880584099,,
BITGET->BINANCE,3,0.00044751285435964,0.013640492781697999,0.00106015048239104,0.053650536419368004,,
BITGET->BINANCE,6,0.00017447650432676,0.013645519937022,0.00023914278962881,0.053660879549531006,,
BITGET->COINBASE,1,0.00517750775244518,0.01541211706042,0.00278027269741921,0.05208597375375,,
BITGET->COINBASE,3,0.00028118406512385,0.015915653564021998,0.0008697628383155199,0.052128702473279,,
BITGET->COINBASE,6,0.0001251614757902,0.015917416211008,0.0009612168967725901,0.052131091194743,,
BITGET->BYBITSPOT,1,0.00171308839383016,0.012949812609038,0.005887035811931521,0.0552421859703,,
BITGET->BYBITSPOT,3,0.00012102788457881,0.013015334740573,0.0011323007556694401,0.055428736526081,,
BITGET->BYBITSPOT,6,7.516820411542001e-05,0.013012332319382999,0.0007944277401415499,0.055437230922277994,,
