event_id,date,venue_event,venue_i,venue_j,lag,beta_pre,beta_post,delta_beta,p_delta,n_pre,n_post,insufficient,notes
84,20250904,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,57,46,True,insufficient_data
103,20250905,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,45,66,True,insufficient_data
103,20250905,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,47,66,True,insufficient_data
104,20250905,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,47,66,True,insufficient_data
104,20250905,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,49,67,True,insufficient_data
108,20250905,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,49,68,True,insufficient_data
109,20250905,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,49,57,True,insufficient_data
110,20250905,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,49,59,True,insufficient_data
112,20250905,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,47,54,True,insufficient_data
113,20250905,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,43,62,True,insufficient_data
115,20250905,BYBITSPOT,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,49,69,True,insufficient_data
116,20250905,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,43,57,True,insufficient_data
117,20250905,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,47,66,True,insufficient_data
118,20250905,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,49,67,True,insufficient_data
123,20250905,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,43,57,True,insufficient_data
124,20250905,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,45,66,True,insufficient_data
124,20250905,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,42,63,True,insufficient_data
125,20250905,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,49,66,True,insufficient_data
127,20250905,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,60,49,True,insufficient_data
128,20250906,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,45,70,True,insufficient_data
128,20250906,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,48,54,True,insufficient_data
129,20250906,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,58,45,True,insufficient_data
130,20250906,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,46,57,True,insufficient_data
132,20250906,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,48,54,True,insufficient_data
132,20250906,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,54,46,True,insufficient_data
133,20250906,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,58,45,True,insufficient_data
133,20250906,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,46,57,True,insufficient_data
134,20250906,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,46,57,True,insufficient_data
136,20250906,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,45,70,True,insufficient_data
139,20250906,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,47,56,True,insufficient_data
143,20250906,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,52,49,True,insufficient_data
143,20250906,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,47,56,True,insufficient_data
145,20250907,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,41,73,True,insufficient_data
147,20250907,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,48,59,True,insufficient_data
157,20250907,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,41,73,True,insufficient_data
157,20250907,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,41,67,True,insufficient_data
159,20250907,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,48,59,True,insufficient_data
