venue,date,anchor_price,anchor_type,t0,pre_start,pre_end,post_start,post_end,pre_count,post_count,session,wash_tercile
BYBITSPOT,20250905,111500.0,Round,2025-09-05 05:06:47.074000,2025-09-05 04:51:47.074000,2025-09-05 05:06:47.074000,2025-09-05 05:06:47.074000,2025-09-05 05:21:47.074000,1909,1708,Asia,Low
BYBITSPOT,20250905,112000.0,Round,2025-09-05 07:01:18.047000,2025-09-05 06:46:18.047000,2025-09-05 07:01:18.047000,2025-09-05 07:01:18.047000,2025-09-05 07:16:18.047000,6268,15895,Asia,Low
BYBITSPOT,20250905,112183.3,Prior_HL,2025-09-05 07:01:53.296000,2025-09-05 06:46:53.296000,2025-09-05 07:01:53.296000,2025-09-05 07:01:53.296000,2025-09-05 07:16:53.296000,8621,13690,Asia,Low
BYBITSPOT,20250905,112500.0,Round,2025-09-05 07:11:51.610000,2025-09-05 06:56:51.610000,2025-09-05 07:11:51.610000,2025-09-05 07:11:51.610000,2025-09-05 07:26:51.610000,14356,14858,Asia,Low
BYBITSPOT,20250905,113000.0,Round,2025-09-05 12:30:08.604000,2025-09-05 12:15:08.604000,2025-09-05 12:30:08.604000,2025-09-05 12:30:08.604000,2025-09-05 12:45:08.604000,7766,47978,EU,Medium
BITGET,20250905,110500.0,Round,2025-09-05 00:55:24.112000,2025-09-05 00:40:24.112000,2025-09-05 00:55:24.112000,2025-09-05 00:55:24.112000,2025-09-05 01:10:24.112000,2275,1970,Asia,Low
BITGET,20250905,111000.0,Round,2025-09-05 01:43:22.276000,2025-09-05 01:28:22.276000,2025-09-05 01:43:22.276000,2025-09-05 01:43:22.276000,2025-09-05 01:58:22.276000,1337,1691,Asia,Low
BITGET,20250905,111500.0,Round,2025-09-05 05:06:49.516000,2025-09-05 04:51:49.516000,2025-09-05 05:06:49.516000,2025-09-05 05:06:49.516000,2025-09-05 05:21:49.516000,1342,1437,Asia,Low
BITGET,20250905,112000.0,Round,2025-09-05 07:01:18.028000,2025-09-05 06:46:18.028000,2025-09-05 07:01:18.028000,2025-09-05 07:01:18.028000,2025-09-05 07:16:18.028000,2282,6611,Asia,Low
BITGET,20250905,112185.01,Prior_HL,2025-09-05 07:01:53.103000,2025-09-05 06:46:53.103000,2025-09-05 07:01:53.103000,2025-09-05 07:01:53.103000,2025-09-05 07:16:53.103000,3445,5494,Asia,Low
BITGET,20250905,112500.0,Round,2025-09-05 07:12:00.549000,2025-09-05 06:57:00.549000,2025-09-05 07:12:00.549000,2025-09-05 07:12:00.549000,2025-09-05 07:27:00.549000,6053,6595,Asia,Low
BITGET,20250905,113000.0,Round,2025-09-05 12:30:08.670000,2025-09-05 12:15:08.670000,2025-09-05 12:30:08.670000,2025-09-05 12:30:08.670000,2025-09-05 12:45:08.670000,3138,22019,EU,Medium
BINANCE,20250906,110000.0,Round,2025-09-06 16:21:22.000000,2025-09-06 16:06:22.000000,2025-09-06 16:21:22.000000,2025-09-06 16:21:22.000000,2025-09-06 16:36:22.000000,16441,16785,US,High
BINANCE,20250906,110206.96,Prior_HL,2025-09-06 16:04:46.198000,2025-09-06 15:49:46.198000,2025-09-06 16:04:46.198000,2025-09-06 16:04:46.198000,2025-09-06 16:19:46.198000,18709,19671,US,High
BINANCE,20250906,110500.0,Round,2025-09-06 15:47:32.042000,2025-09-06 15:32:32.042000,2025-09-06 15:47:32.042000,2025-09-06 15:47:32.042000,2025-09-06 16:02:32.042000,8428,17179,EU,Medium
BINANCE,20250906,111000.0,Round,2025-09-06 02:46:50.749000,2025-09-06 02:31:50.749000,2025-09-06 02:46:50.749000,2025-09-06 02:46:50.749000,2025-09-06 03:01:50.749000,3951,6058,Asia,Low
COINBASE,20250906,110000.0,Round,2025-09-06 16:21:22.863815,2025-09-06 16:06:22.863815,2025-09-06 16:21:22.863815,2025-09-06 16:21:22.863815,2025-09-06 16:36:22.863815,4548,4345,US,High
COINBASE,20250906,110202.36,Prior_HL,2025-09-06 16:04:46.390750,2025-09-06 15:49:46.390750,2025-09-06 16:04:46.390750,2025-09-06 16:04:46.390750,2025-09-06 16:19:46.390750,4905,4494,US,High
COINBASE,20250906,110500.0,Round,2025-09-06 15:47:32.102987,2025-09-06 15:32:32.102987,2025-09-06 15:47:32.102987,2025-09-06 15:47:32.102987,2025-09-06 16:02:32.102987,3349,4586,EU,Medium
COINBASE,20250906,111000.0,Round,2025-09-06 02:46:21.537670,2025-09-06 02:31:21.537670,2025-09-06 02:46:21.537670,2025-09-06 02:46:21.537670,2025-09-06 03:01:21.537670,2617,2558,Asia,Low
BYBITSPOT,20250906,110000.0,Round,2025-09-06 16:21:20.360000,2025-09-06 16:06:20.360000,2025-09-06 16:21:20.360000,2025-09-06 16:21:20.360000,2025-09-06 16:36:20.360000,5417,7063,US,High
BYBITSPOT,20250906,110205.7,Prior_HL,2025-09-06 16:04:46.224000,2025-09-06 15:49:46.224000,2025-09-06 16:04:46.224000,2025-09-06 16:04:46.224000,2025-09-06 16:19:46.224000,5775,6745,US,High
BYBITSPOT,20250906,110500.0,Round,2025-09-06 15:47:29.072000,2025-09-06 15:32:29.072000,2025-09-06 15:47:29.072000,2025-09-06 15:47:29.072000,2025-09-06 16:02:29.072000,2588,5359,EU,Medium
BYBITSPOT,20250906,111000.0,Round,2025-09-06 02:46:22.401000,2025-09-06 02:31:22.401000,2025-09-06 02:46:22.401000,2025-09-06 02:46:22.401000,2025-09-06 03:01:22.401000,1442,2270,Asia,Low
BITGET,20250906,110000.0,Round,2025-09-06 16:21:21.039000,2025-09-06 16:06:21.039000,2025-09-06 16:21:21.039000,2025-09-06 16:21:21.039000,2025-09-06 16:36:21.039000,4024,3885,US,High
BITGET,20250906,110217.47,Prior_HL,2025-09-06 16:04:45.883000,2025-09-06 15:49:45.883000,2025-09-06 16:04:45.883000,2025-09-06 16:04:45.883000,2025-09-06 16:19:45.883000,4504,4339,US,High
BITGET,20250906,110500.0,Round,2025-09-06 15:47:32.047000,2025-09-06 15:32:32.047000,2025-09-06 15:47:32.047000,2025-09-06 15:47:32.047000,2025-09-06 16:02:32.047000,2716,3918,EU,Medium
BITGET,20250906,111000.0,Round,2025-09-06 02:46:21.990000,2025-09-06 02:31:21.990000,2025-09-06 02:46:21.990000,2025-09-06 02:46:21.990000,2025-09-06 03:01:21.990000,546,861,Asia,Low
BINANCE,20250907,110500.0,Round,2025-09-07 01:27:24.047000,2025-09-07 01:12:24.047000,2025-09-07 01:27:24.047000,2025-09-07 01:27:24.047000,2025-09-07 01:42:24.047000,5095,4725,Asia,Low
BINANCE,20250907,111000.0,Round,2025-09-07 08:21:28.802000,2025-09-07 08:06:28.802000,2025-09-07 08:21:28.802000,2025-09-07 08:21:28.802000,2025-09-07 08:36:28.802000,6059,19468,EU,Medium
BINANCE,20250907,111307.7,Prior_HL,2025-09-07 08:30:08.878000,2025-09-07 08:15:08.878000,2025-09-07 08:30:08.878000,2025-09-07 08:30:08.878000,2025-09-07 08:45:08.878000,16267,11076,EU,Medium
BINANCE,20250907,111500.0,Round,2025-09-07 23:25:23.961000,2025-09-07 23:10:23.961000,2025-09-07 23:25:23.961000,2025-09-07 23:25:23.961000,2025-09-07 23:40:23.961000,7593,8696,US,High
COINBASE,20250907,110500.0,Round,2025-09-07 01:27:08.021033,2025-09-07 01:12:08.021033,2025-09-07 01:27:08.021033,2025-09-07 01:27:08.021033,2025-09-07 01:42:08.021033,2425,2084,Asia,Low
COINBASE,20250907,111000.0,Round,2025-09-07 08:21:28.856836,2025-09-07 08:06:28.856836,2025-09-07 08:21:28.856836,2025-09-07 08:21:28.856836,2025-09-07 08:36:28.856836,2011,3140,EU,Medium
COINBASE,20250907,111317.65,Prior_HL,2025-09-07 08:30:17.282411,2025-09-07 08:15:17.282411,2025-09-07 08:30:17.282411,2025-09-07 08:30:17.282411,2025-09-07 08:45:17.282411,3063,2101,EU,Medium
COINBASE,20250907,111500.0,Round,2025-09-07 23:25:24.019601,2025-09-07 23:10:24.019601,2025-09-07 23:25:24.019601,2025-09-07 23:25:24.019601,2025-09-07 23:40:24.019601,3455,3077,US,High
BYBITSPOT,20250907,110500.0,Round,2025-09-07 01:27:09.428000,2025-09-07 01:12:09.428000,2025-09-07 01:27:09.428000,2025-09-07 01:27:09.428000,2025-09-07 01:42:09.428000,1492,1416,Asia,Low
BYBITSPOT,20250907,111000.0,Round,2025-09-07 08:21:28.834000,2025-09-07 08:06:28.834000,2025-09-07 08:21:28.834000,2025-09-07 08:21:28.834000,2025-09-07 08:36:28.834000,2444,7856,EU,Medium
BYBITSPOT,20250907,111310.7,Prior_HL,2025-09-07 08:30:17.381000,2025-09-07 08:15:17.381000,2025-09-07 08:30:17.381000,2025-09-07 08:30:17.381000,2025-09-07 08:45:17.381000,6803,4274,EU,Medium
BYBITSPOT,20250907,111500.0,Round,2025-09-07 23:25:24.081000,2025-09-07 23:10:24.081000,2025-09-07 23:25:24.081000,2025-09-07 23:25:24.081000,2025-09-07 23:40:24.081000,2782,3358,US,High
BITGET,20250907,110500.0,Round,2025-09-07 01:27:10.636000,2025-09-07 01:12:10.636000,2025-09-07 01:27:10.636000,2025-09-07 01:27:10.636000,2025-09-07 01:42:10.636000,1381,1590,Asia,Low
BITGET,20250907,111000.0,Round,2025-09-07 08:21:28.802000,2025-09-07 08:06:28.802000,2025-09-07 08:21:28.802000,2025-09-07 08:21:28.802000,2025-09-07 08:36:28.802000,958,4250,EU,Medium
BITGET,20250907,111315.05,Prior_HL,2025-09-07 08:30:17.702000,2025-09-07 08:15:17.702000,2025-09-07 08:30:17.702000,2025-09-07 08:30:17.702000,2025-09-07 08:45:17.702000,3139,2455,EU,Medium
BITGET,20250907,111500.0,Round,2025-09-07 23:25:23.954000,2025-09-07 23:10:23.954000,2025-09-07 23:25:23.954000,2025-09-07 23:25:23.954000,2025-09-07 23:40:23.954000,969,1879,US,High
