venue,date,anchor_price,anchor_type,t0,pre_start,pre_end,post_start,post_end,pre_count,post_count,session,wash_tercile
COINBASE,20250902,108500.0,Round,2025-09-02 12:46:09.615805,2025-09-02 12:31:09.615805,2025-09-02 12:46:09.615805,2025-09-02 12:46:09.615805,2025-09-02 13:01:09.615805,6378,7931,EU,Medium
COINBASE,20250902,109000.0,Round,2025-09-02 00:30:02.441069,2025-09-02 00:15:02.441069,2025-09-02 00:30:02.441069,2025-09-02 00:30:02.441069,2025-09-02 00:45:02.441069,4874,5050,Asia,Low
COINBASE,20250902,109500.0,Round,2025-09-02 01:44:33.593190,2025-09-02 01:29:33.593190,2025-09-02 01:44:33.593190,2025-09-02 01:44:33.593190,2025-09-02 01:59:33.593190,4672,5762,Asia,Low
COINBASE,20250902,109907.51,Prior_HL,2025-09-02 02:51:32.348641,2025-09-02 02:36:32.348641,2025-09-02 02:51:32.348641,2025-09-02 02:51:32.348641,2025-09-02 03:06:32.348641,4089,5762,Asia,Low
COINBASE,20250902,110000.0,Round,2025-09-02 02:58:36.367464,2025-09-02 02:43:36.367464,2025-09-02 02:58:36.367464,2025-09-02 02:58:36.367464,2025-09-02 03:13:36.367464,4563,6241,Asia,Low
COINBASE,20250902,110500.0,Round,2025-09-02 03:16:20.947751,2025-09-02 03:01:20.947751,2025-09-02 03:16:20.947751,2025-09-02 03:16:20.947751,2025-09-02 03:31:20.947751,5446,5657,Asia,Low
COINBASE,20250902,111000.0,Round,2025-09-02 13:46:21.026203,2025-09-02 13:31:21.026203,2025-09-02 13:46:21.026203,2025-09-02 13:46:21.026203,2025-09-02 14:01:21.026203,16852,14657,EU,Medium
COINBASE,20250902,111500.0,Round,2025-09-02 14:00:38.078537,2025-09-02 13:45:38.078537,2025-09-02 14:00:38.078537,2025-09-02 14:00:38.078537,2025-09-02 14:15:38.078537,14543,10745,EU,Medium
BYBITSPOT,20250902,108500.0,Round,2025-09-02 12:46:09.587000,2025-09-02 12:31:09.587000,2025-09-02 12:46:09.587000,2025-09-02 12:46:09.587000,2025-09-02 13:01:09.587000,13741,15005,EU,Medium
BYBITSPOT,20250902,109000.0,Round,2025-09-02 00:30:02.336000,2025-09-02 00:15:02.336000,2025-09-02 00:30:02.336000,2025-09-02 00:30:02.336000,2025-09-02 00:45:02.336000,4136,4591,Asia,Low
BYBITSPOT,20250902,109500.0,Round,2025-09-02 01:44:41.358000,2025-09-02 01:29:41.358000,2025-09-02 01:44:41.358000,2025-09-02 01:44:41.358000,2025-09-02 01:59:41.358000,4914,6072,Asia,Low
BYBITSPOT,20250902,109905.0,Prior_HL,2025-09-02 02:51:32.274000,2025-09-02 02:36:32.274000,2025-09-02 02:51:32.274000,2025-09-02 02:51:32.274000,2025-09-02 03:06:32.274000,6018,10900,Asia,Low
BYBITSPOT,20250902,110000.0,Round,2025-09-02 02:58:36.335000,2025-09-02 02:43:36.335000,2025-09-02 02:58:36.335000,2025-09-02 02:58:36.335000,2025-09-02 03:13:36.335000,6844,12195,Asia,Low
BYBITSPOT,20250902,110500.0,Round,2025-09-02 03:16:20.876000,2025-09-02 03:01:20.876000,2025-09-02 03:16:20.876000,2025-09-02 03:16:20.876000,2025-09-02 03:31:20.876000,8381,7577,Asia,Low
BYBITSPOT,20250902,111000.0,Round,2025-09-02 13:46:21.238000,2025-09-02 13:31:21.238000,2025-09-02 13:46:21.238000,2025-09-02 13:46:21.238000,2025-09-02 14:01:21.238000,30172,19310,EU,Medium
BYBITSPOT,20250902,111500.0,Round,2025-09-02 14:00:38.057000,2025-09-02 13:45:38.057000,2025-09-02 14:00:38.057000,2025-09-02 14:00:38.057000,2025-09-02 14:15:38.057000,21137,13659,EU,Medium
BITGET,20250902,108500.0,Round,2025-09-02 12:46:09.566000,2025-09-02 12:31:09.566000,2025-09-02 12:46:09.566000,2025-09-02 12:46:09.566000,2025-09-02 13:01:09.566000,8331,7645,EU,Medium
BITGET,20250902,109000.0,Round,2025-09-02 00:30:02.528000,2025-09-02 00:15:02.528000,2025-09-02 00:30:02.528000,2025-09-02 00:30:02.528000,2025-09-02 00:45:02.528000,3200,3394,Asia,Low
BITGET,20250902,109500.0,Round,2025-09-02 01:44:33.424000,2025-09-02 01:29:33.424000,2025-09-02 01:44:33.424000,2025-09-02 01:44:33.424000,2025-09-02 01:59:33.424000,3615,5662,Asia,Low
BITGET,20250902,109910.16,Prior_HL,2025-09-02 02:51:17.777000,2025-09-02 02:36:17.777000,2025-09-02 02:51:17.777000,2025-09-02 02:51:17.777000,2025-09-02 03:06:17.777000,3952,6417,Asia,Low
BITGET,20250902,110000.0,Round,2025-09-02 02:58:30.215000,2025-09-02 02:43:30.215000,2025-09-02 02:58:30.215000,2025-09-02 02:58:30.215000,2025-09-02 03:13:30.215000,4461,6505,Asia,Low
