edge,lag,lag_s,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs
BINANCE->BITGET,1,15,0.032820355975781874,0.017174658558735595,1.9109757474094509,0.056061135593098665,5347
BINANCE->BITGET,3,45,-0.004350349659882031,0.014379674864765674,-0.30253463313983786,0.7622563127335082,5345
BINANCE->BITGET,6,90,0.0071711473379600585,0.013932725637473872,0.514698094583326,0.6067853068345896,5342
BINANCE->BYBITSPOT,1,15,0.020454556212416906,0.014653960337148714,1.3958381039535992,0.16281887710501697,5573
BINANCE->BYBITSPOT,3,45,0.006179203669051788,0.014264650564421102,0.43318296800511613,0.6648986279418088,5571
BINANCE->BYBITSPOT,6,90,-0.02820655162020059,0.015502998950808915,-1.819425500169361,0.0689002380312016,5568
BINANCE->COINBASE,1,15,0.007961996110149814,0.015341031090315519,0.5190000635078603,0.6037807720648669,5723
BINANCE->COINBASE,3,45,0.013906352632210177,0.018914034005373167,0.7352399085387924,0.4622235468482647,5721
BINANCE->COINBASE,6,90,-0.003184822331604768,0.014826251791756055,-0.21480967518544686,0.8299233723510135,5718
BITGET->BINANCE,1,15,0.005290742892244196,0.01822251647923497,0.2903409580270176,0.7715660593908606,5654
BITGET->BINANCE,3,45,0.02515977836649712,0.01640744226402013,1.5334369587677894,0.12522421789688654,5652
BITGET->BINANCE,6,90,-0.0013960113556662254,0.01651052342625795,-0.08455282244087074,0.9326199041693961,5649
BITGET->BYBITSPOT,1,15,-0.014329112737458247,0.01563806903410983,-0.9162968078861603,0.35955064184956576,5610
BITGET->BYBITSPOT,3,45,0.02189102405252826,0.01598099093189531,1.3698164366539711,0.17079907096111802,5608
BITGET->BYBITSPOT,6,90,-0.00019168955668182782,0.01653356245392707,-0.011593965741865721,0.9907499737499734,5605
BITGET->COINBASE,1,15,0.014164658073441718,0.013359339747424369,1.0602812969235709,0.28906200776955115,5647
BITGET->COINBASE,3,45,-0.0029957654697847893,0.0168350480989778,-0.17794813844141544,0.8587700923832036,5645
BITGET->COINBASE,6,90,-0.00513731472038856,0.01550352283055765,-0.33136434709296164,0.7403816031176877,5642
BYBITSPOT->BINANCE,1,15,0.02715264334108321,0.018512760780522906,1.4666987632471458,0.1425126971101749,5753
BYBITSPOT->BINANCE,3,45,0.007480673909463868,0.018650185209442265,0.40110453732526646,0.6883580673258398,5751
BYBITSPOT->BINANCE,6,90,-0.01299875544715319,0.018199163258368848,-0.7142501697805111,0.47510151205974127,5748
BYBITSPOT->BITGET,1,15,0.019792435241699873,0.020425614943479487,0.9690007031106916,0.3325876572776201,5475
BYBITSPOT->BITGET,3,45,-0.017430280662336158,0.01878506922263691,-0.9278795013079767,0.3535110111587243,5473
BYBITSPOT->BITGET,6,90,-0.037426404074039604,0.016077504768286763,-2.3278739215717117,0.019955097364842356,5470
BYBITSPOT->COINBASE,1,15,0.002218578681005904,0.017371778157314225,0.1277116631881344,0.8983816250048939,5753
BYBITSPOT->COINBASE,3,45,0.0046094541235680445,0.015286921056952828,0.30152926847696143,0.763021840675314,5751
BYBITSPOT->COINBASE,6,90,-0.0038049894766613527,0.014131768827696711,-0.2692507585606688,0.7877463897816437,5748
COINBASE->BINANCE,1,15,-0.010129324348530536,0.01882010995572012,-0.538218127968581,0.5904472732405199,5759
COINBASE->BINANCE,3,45,0.011408180793013496,0.019483923537403806,0.5855176330944282,0.5582226719066408,5757
COINBASE->BINANCE,6,90,0.005921642424180078,0.018242654532195094,0.3246042078870383,0.7454924461869856,5754
COINBASE->BITGET,1,15,-0.016608734777738627,0.020175931583268483,-0.8231954350753219,0.41043344631642387,5368
COINBASE->BITGET,3,45,0.007365055244371581,0.019604650550785543,0.3756789862330124,0.7071704174790803,5366
COINBASE->BITGET,6,90,0.0004070097906140337,0.01693326768449939,0.02403610444229899,0.9808247044070919,5363
COINBASE->BYBITSPOT,1,15,0.02041769338958574,0.023568273752290272,0.8663211232261603,0.3863512203328594,5599
COINBASE->BYBITSPOT,3,45,0.010728005021672442,0.015873275247681663,0.6758532725147129,0.4991617411110665,5597
COINBASE->BYBITSPOT,6,90,-0.022108010143047824,0.01893249448106559,-1.167728328940387,0.2429661518614692,5594
