day,frequency,edge,lag,lag_s,n_obs,observed_beta,hac_se,mde_05,mde_10,power_05,power_10,exceeds_mde_05,exceeds_mde_10
2025-09-01,1S,BINANCE->BITGET,1,1,1000,0.0107260982014092,0.0081588204794589,0.022857630852489416,0.020286702013706075,0.25936602949989496,0.37062790846572674,False,False
2025-09-01,1S,BINANCE->BITGET,3,3,1000,-0.0108746335676928,0.0085650849534481,0.023995815397462,0.021296868415004385,0.0006197940076642706,0.001781291031139689,False,False
2025-09-01,1S,BINANCE->BITGET,6,6,1000,-0.0015338055690609,0.0084221560187596,0.02359538780679806,0.020941479212059896,0.016093541255255042,0.03385220202087723,False,False
2025-09-01,1S,BINANCE->BYBITSPOT,1,1,1000,0.0236689502553835,0.0094114884035712,0.026367086791886693,0.023401429315596578,0.7105307166554156,0.8078624127643759,False,True
2025-09-01,1S,BINANCE->BYBITSPOT,3,3,1000,0.030256474577919,0.0089322032126018,0.025024328485606373,0.022209698737229538,0.9232652836321407,0.9592889525946203,True,True
2025-09-01,1S,BINANCE->BYBITSPOT,6,6,1000,-0.0098554075091887,0.0083635817737741,0.02343128706788456,0.020795835824429256,0.0008495510392125991,0.0023771577307352865,False,False
2025-09-01,1S,BINANCE->COINBASE,1,1,1000,0.2498749343344799,0.0186799400823108,0.05233344400983788,0.046447201410767636,1.0,1.0,True,True
2025-09-01,1S,BINANCE->COINBASE,3,3,1000,0.027299725891324,0.0109970718169611,0.03080923384492494,0.02734394261225501,0.699335432489419,0.798872433172997,False,False
2025-09-01,1S,BINANCE->COINBASE,6,6,1000,0.1627944945608171,0.0218843873850629,0.06131097620545014,0.05441497907093591,0.9999999785984041,0.999999996563284,True,True
2025-09-01,1S,BITGET->BINANCE,1,1,1000,0.0095677810675308,0.0089133418526142,0.0249714867782716,0.022162800439785066,0.1876628859915343,0.2838536933200007,False,False
2025-09-01,1S,BITGET->BINANCE,3,3,1000,-0.0043351608642866,0.008810793592555,0.024684189088746547,0.021907816769157352,0.0071033830043802,0.016303793220002586,False,False
2025-09-01,1S,BITGET->BINANCE,6,6,1000,-0.0035904377352282,0.0085139307658938,0.02385250258176529,0.021169674813640064,0.008616996801996825,0.019387490534813392,False,False
2025-09-01,1S,BITGET->BYBITSPOT,1,1,1000,0.0176944312925454,0.0098954752794215,0.027723017269029572,0.024604850515222088,0.4317854171363018,0.5569654424375996,False,False
2025-09-01,1S,BITGET->BYBITSPOT,3,3,1000,0.0121751193950047,0.0107671784212171,0.030165167905666757,0.02677231846313697,0.2034951448845434,0.30359406911035886,False,False
2025-09-01,1S,BITGET->BYBITSPOT,6,6,1000,0.0097462671765916,0.0098183980728932,0.02750707890656644,0.02441319997887002,0.16669442110341404,0.2571360378924338,False,False
2025-09-01,1S,BITGET->COINBASE,1,1,1000,-0.0043622753009042,0.0084410531485435,0.0236483297262654,0.020988466450203632,0.006629111154063925,0.015322720855927523,False,False
2025-09-01,1S,BITGET->COINBASE,3,3,1000,0.0012935926689524,0.0080930296560466,0.022673312254130037,0.02012311478523819,0.03592055900005244,0.06877015315017831,False,False
2025-09-01,1S,BITGET->COINBASE,6,6,1000,0.0128664151216487,0.00819501600488,0.022959035701471002,0.02037670127772911,0.3482924172920605,0.47017723715655296,False,False
2025-09-01,1S,BYBITSPOT->BINANCE,1,1,1000,-0.0016704699978179,0.0091528354829083,0.025642448592735765,0.022758295330767068,0.016077741481632667,0.03382267216869716,False,False
2025-09-01,1S,BYBITSPOT->BINANCE,3,3,1000,0.0170723310495142,0.0087585784662228,0.02453790396265235,0.021777985170193227,0.49571088004483105,0.6195727698356769,False,False
2025-09-01,1S,BYBITSPOT->BINANCE,6,6,1000,-0.0034181464446733,0.0090027709752748,0.025222030086386352,0.0223851637050794,0.009651138459856093,0.021457784187575685,False,False
2025-09-01,1S,BYBITSPOT->BITGET,1,1,1000,0.002988264517524,0.0096885493533363,0.02714329665326494,0.024090334402020512,0.04931505938872977,0.0907058495170292,False,False
2025-09-01,1S,BYBITSPOT->BITGET,3,3,1000,-0.0039022345367622,0.0125228074516094,0.03508371224570383,0.031137645911614227,0.011556120788065609,0.025205269815051057,False,False
2025-09-01,1S,BYBITSPOT->BITGET,6,6,1000,0.024975743962681,0.0117632518615632,0.03295575253229532,0.029249030031793584,0.5648339495502591,0.6837983823847916,False,False
2025-09-01,1S,BYBITSPOT->COINBASE,1,1,1000,0.0013457965915185,0.0080509293568944,0.022555364678347095,0.020018433449775688,0.036502168270373,0.06974495437784702,False,False
2025-09-01,1S,BYBITSPOT->COINBASE,3,3,1000,0.025862667473997,0.0078559158540074,0.022009017731326446,0.019533537277384362,0.90859657743882,0.9502489975931979,True,True
2025-09-01,1S,BYBITSPOT->COINBASE,6,6,1000,-0.0083983101666215,0.0076081038589563,0.0213147513091202,0.01891735898155341,0.0010926234584907727,0.0029914473064150413,False,False
2025-09-01,1S,COINBASE->BINANCE,1,1,1000,0.0120563148427007,0.0121019252728885,0.03390457495523217,0.03009113295498198,0.16758994218335244,0.2582912093937276,False,False
2025-09-01,1S,COINBASE->BINANCE,3,3,1000,0.0118266200366214,0.0144993610211968,0.04062119550906831,0.03605229667287304,0.12624981397636598,0.20349881494538707,False,False
2025-09-01,1S,COINBASE->BINANCE,6,6,1000,0.0322375021262034,0.013306801509296,0.037280138408807006,0.03308702742685246,0.6781993371781883,0.7816505804642947,False,False
2025-09-01,1S,COINBASE->BITGET,1,1,1000,-0.0166329416307261,0.0091632077934717,0.025671507504687864,0.022784085820228513,7.99551794912095e-05,0.00027004629420400314,False,False
2025-09-01,1S,COINBASE->BITGET,3,3,1000,-0.0044846847727308,0.0094908482955412,0.026589420292140887,0.023598755691913914,0.0074976765171991255,0.017113766455102083,False,False
