edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,38.0,38.0,38,0.0,38.0,[38]
BINANCE->BYBITSPOT,1,4.0,4.0,4,0.0,4.0,[4]
BINANCE->BITGET,1,3.0,3.0,3,0.0,3.0,[3]
COINBASE->BINANCE,1,38.0,38.0,38,0.0,38.0,[38]
COINBASE->BYBITSPOT,1,4.0,4.0,4,0.0,4.0,[4]
COINBASE->BITGET,1,2.0,2.0,2,0.0,2.0,[2]
BYBITSPOT->BINANCE,1,4.0,4.0,4,0.0,4.0,[4]
BYBITSPOT->COINBASE,1,4.0,4.0,4,0.0,4.0,[4]
BYBITSPOT->BITGET,1,5.0,5.0,5,0.0,5.0,[5]
BITGET->BINANCE,1,3.0,3.0,3,0.0,3.0,[3]
BITGET->COINBASE,1,2.0,2.0,2,0.0,2.0,[2]
BITGET->BYBITSPOT,1,5.0,5.0,5,0.0,5.0,[5]
