venue,date,round_level,band_pct,within_band_count
BITGET,20250903,111000,0.25,102270
BITGET,20250903,112000,0.1,22935
BITGET,20250903,112000,0.25,62021
BITGET,20250904,109000,0.1,0
BITGET,20250904,109000,0.25,0
BITGET,20250904,110000,0.1,24477
BITGET,20250904,110000,0.25,47984
BITGET,20250904,111000,0.1,21777
BITGET,20250904,111000,0.25,62522
BITGET,20250904,112000,0.1,4891
BITGET,20250904,112000,0.25,10543
BITGET,20250905,110000,0.1,0
BITGET,20250905,110000,0.25,630
BITGET,20250905,111000,0.1,17443
BITGET,20250905,111000,0.25,71272
BITGET,20250905,112000,0.1,3434
BITGET,20250905,112000,0.25,21598
BITGET,20250905,113000,0.1,23120
BITGET,20250905,113000,0.25,51393
BITGET,20250906,109000,0.1,0
BITGET,20250906,109000,0.25,0
BITGET,20250906,110000,0.1,6709
BITGET,20250906,110000,0.25,35915
BITGET,20250906,111000,0.1,12401
BITGET,20250906,111000,0.25,62053
BITGET,20250907,110000,0.1,0
BITGET,20250907,110000,0.25,1455
BITGET,20250907,111000,0.1,21310
BITGET,20250907,111000,0.25,70368
